Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2001-12-11,4.5967,4.6467,4.4843,4.5718,15203168
1.0,2001-12-12,4.487,4.497,4.4245,4.457,3605990
2.0,2001-12-13,4.4043,4.4418,4.3592,4.3592,1919739
3.0,2001-12-14,4.2875,4.2875,4.25,4.275,1186000
4.0,2001-12-17,4.3887,4.4488,4.3637,4.4488,646222
5.0,2001-12-18,4.425,4.495,4.425,4.49,344800
6.0,2001-12-19,4.372,4.4597,4.3244,4.397,1066076
7.0,2001-12-20,4.375,4.375,4.3125,4.325,157200
8.0,2001-12-21,4.35,4.3625,4.3,4.345,258800
9.0,2001-12-24,4.1745,4.312,4.167,4.262,183221
10.0,2001-12-26,4.25,4.275,4.25,4.275,149200
11.0,2001-12-27,4.2745,4.337,4.2745,4.287,712482
12.0,2001-12-28,4.3,4.325,4.3,4.3,428800
13.0,2001-12-31,4.3,4.3725,4.3,4.37,549600
14.0,2002-01-02,4.3787,4.4038,4.3662,4.3913,828084
15.0,2002-01-03,4.427,4.482,4.3996,4.462,915512
16.0,2002-01-04,4.6005,4.688,4.563,4.688,1796614
17.0,2002-01-07,5.0255,5.0255,4.838,4.988,1061502
18.0,2002-01-08,4.9505,4.963,4.888,4.938,225587
19.0,2002-01-09,4.9125,4.92,4.85,4.85,83200
20.0,2002-01-10,4.8755,4.8755,4.8005,4.838,163588
21.0,2002-01-11,4.825,4.8375,4.795,4.795,92000
22.0,2002-01-14,4.763,4.763,4.7005,4.713,665934
23.0,2002-01-15,4.6567,4.6567,4.5768,4.6193,229879
24.0,2002-01-16,4.6625,4.7248,4.6375,4.6375,111496
25.0,2002-01-17,4.713,4.7505,4.7055,4.738,553945
26.0,2002-01-18,4.7125,4.7125,4.6,4.675,63200
27.0,2002-01-22,4.7495,4.7495,4.7045,4.727,92007
28.0,2002-01-23,4.8005,4.813,4.738,4.813,295977
29.0,2002-01-24,4.9505,4.9755,4.933,4.938,300776
30.0,2002-01-25,5.2682,5.3308,5.2307,5.2808,1271418
31.0,2002-01-28,5.375,5.4475,5.375,5.4,735200
32.0,2002-01-29,5.3125,5.3125,5.225,5.225,140000
33.0,2002-01-30,5.287,5.312,5.262,5.287,401236
34.0,2002-01-31,5.2625,5.2625,5.25,5.25,116000
35.0,2002-02-01,5.0,5.0125,4.975,4.975,308000
36.0,2002-02-04,5.2505,5.2505,5.188,5.188,236380
37.0,2002-02-05,5.2213,5.2463,5.2087,5.2112,392147
38.0,2002-02-06,5.2,5.2,5.175,5.175,20800
39.0,2002-02-07,5.1881,5.1881,5.1004,5.1004,158001
40.0,2002-02-08,5.1005,5.1005,5.088,5.088,17599
41.0,2002-02-11,5.1,5.125,5.0875,5.125,98000
42.0,2002-02-12,5.1005,5.1205,5.1005,5.113,39197
43.0,2002-02-13,5.125,5.125,5.0875,5.12,79600
44.0,2002-02-14,5.125,5.15,5.125,5.15,29600
45.0,2002-02-15,5.3088,5.3837,5.3088,5.3687,103672
46.0,2002-02-19,5.4245,5.562,5.4245,5.512,894878
47.0,2002-02-20,5.5195,5.5245,5.487,5.512,997689
48.0,2002-02-21,5.5255,5.5255,5.5005,5.503,761133
49.0,2002-02-22,5.495,5.52,5.43,5.52,29600
50.0,2002-02-25,5.463,5.463,5.4255,5.463,140787
51.0,2002-02-26,5.3745,5.432,5.3745,5.412,64404
52.0,2002-02-27,5.687,5.687,5.637,5.637,110007
53.0,2002-02-28,5.8,5.8075,5.775,5.775,211200
54.0,2002-03-01,5.775,5.775,5.7,5.7,142800
55.0,2002-03-04,5.8375,6.0,5.8375,5.995,201600
56.0,2002-03-05,6.1755,6.1755,6.0505,6.063,100796
57.0,2002-03-06,5.9625,6.025,5.9625,6.025,374400
58.0,2002-03-07,5.875,5.8875,5.8375,5.85,37600
59.0,2002-03-08,5.9745,5.987,5.9045,5.912,266022
60.0,2002-03-11,6.0505,6.0505,6.0005,6.003,61196
61.0,2002-03-12,5.9375,5.9375,5.8375,5.875,24000
62.0,2002-03-13,5.738,5.773,5.728,5.773,10800
63.0,2002-03-14,5.5745,5.5745,5.4995,5.512,55203
64.0,2002-03-15,5.5375,5.5375,5.515,5.515,11200
65.0,2002-03-18,5.4375,5.4425,5.29,5.36,220800
66.0,2002-03-19,5.387,5.412,5.367,5.367,92407
67.0,2002-03-20,5.375,5.375,5.325,5.325,21200
68.0,2002-03-21,5.313,5.3405,5.303,5.3355,18394
69.0,2002-03-22,5.3375,5.3375,5.32,5.32,17200
70.0,2002-03-25,5.45,5.4525,5.45,5.45,16000
71.0,2002-03-26,5.35,5.395,5.345,5.375,11200
72.0,2002-03-27,5.5255,5.5255,5.493,5.523,97992
73.0,2002-03-28,5.5495,5.5495,5.527,5.537,72405
74.0,2002-04-01,5.537,5.537,5.512,5.537,53205
75.0,2002-04-02,5.4755,5.4755,5.438,5.438,69994
76.0,2002-04-03,5.463,5.463,5.438,5.438,69594
77.0,2002-04-04,5.438,5.438,5.438,5.438,2800
78.0,2002-04-05,5.4545,5.512,5.4545,5.512,40403
79.0,2002-04-08,5.7,5.7,5.65,5.65,78800
80.0,2002-04-09,5.6125,5.6125,5.6,5.6,16400
81.0,2002-04-10,5.51,5.535,5.51,5.535,43122
82.0,2002-04-11,5.4,5.5,5.375,5.45,76400
83.0,2002-04-12,5.45,5.45,5.45,5.45,1200
84.0,2002-04-15,5.4625,5.6,5.4625,5.55,56800
85.0,2002-04-16,5.3875,5.425,5.3875,5.425,55600
86.0,2002-04-17,5.3755,5.3755,5.313,5.313,23599
87.0,2002-04-18,5.275,5.275,5.255,5.255,25200
88.0,2002-04-19,4.987,4.987,4.8245,4.927,325630
89.0,2002-04-22,5.075,5.1,5.075,5.1,35200
90.0,2002-04-23,5.0,5.025,4.9875,5.0,52400
91.0,2002-04-24,4.6995,4.6995,4.662,4.677,291627
92.0,2002-04-25,4.675,4.675,4.525,4.53,95600
93.0,2002-04-26,4.675,4.675,4.67,4.67,48000
94.0,2002-04-29,4.637,4.637,4.617,4.617,6800
95.0,2002-04-30,4.545,4.5625,4.545,4.55,8400
96.0,2002-05-01,4.5625,4.575,4.56,4.575,15600
97.0,2002-05-02,4.59,4.6,4.59,4.6,6800
98.0,2002-05-03,4.6005,4.618,4.6005,4.613,8000
99.0,2002-05-06,4.7095,4.7095,4.707,4.707,33887
100.0,2002-05-07,4.8875,4.8875,4.85,4.85,200000
101.0,2002-05-08,4.8499,4.9576,4.8248,4.9576,28329
102.0,2002-05-09,4.8755,4.8755,4.838,4.863,17198
103.0,2002-05-10,4.85,4.875,4.85,4.875,6400
104.0,2002-05-13,4.9375,4.95,4.9375,4.95,29600
105.0,2002-05-14,5.0342,5.0843,5.0342,5.0793,93826
106.0,2002-05-15,5.075,5.0875,5.075,5.075,2000
107.0,2002-05-16,4.937,4.937,4.927,4.927,22803
108.0,2002-05-17,4.938,5.0255,4.938,4.988,47998
109.0,2002-05-20,4.975,5.005,4.975,5.005,20000
110.0,2002-05-21,4.775,4.8325,4.7375,4.75,114800
111.0,2002-05-22,4.6995,4.6995,4.662,4.662,21602
112.0,2002-05-23,4.662,4.662,4.662,4.662,800
113.0,2002-05-24,4.6645,4.6645,4.637,4.637,114012
114.0,2002-05-28,4.65,4.68,4.645,4.645,41600
115.0,2002-05-29,4.637,4.637,4.637,4.637,4000
116.0,2002-05-30,4.545,4.5475,4.545,4.545,3200
117.0,2002-05-31,4.5455,4.548,4.5455,4.548,15999
118.0,2002-06-03,4.6,4.6,4.58,4.58,35200
119.0,2002-06-04,4.6255,4.6255,4.613,4.613,2400
120.0,2002-06-05,4.7005,4.713,4.698,4.713,7599
121.0,2002-06-06,4.6562,4.6562,4.6562,4.6562,401
122.0,2002-06-07,4.575,4.575,4.545,4.545,18400
123.0,2002-06-10,4.6255,4.6255,4.613,4.613,2400
124.0,2002-06-11,4.613,4.613,4.613,4.613,5199
125.0,2002-06-12,4.55,4.55,4.5375,4.55,7200
126.0,2002-06-13,4.53,4.53,4.5,4.5,37600
127.0,2002-06-14,4.5,4.5075,4.5,4.5,1200
128.0,2002-06-17,4.4125,4.4125,4.4,4.4,36800
129.0,2002-06-18,4.42,4.475,4.42,4.45,28000
130.0,2002-06-19,4.287,4.367,4.287,4.367,15601
131.0,2002-06-20,4.5125,4.5125,4.495,4.495,56000
132.0,2002-06-21,4.488,4.488,4.4255,4.438,161185
133.0,2002-06-24,4.4905,4.4905,4.4605,4.4605,10792
134.0,2002-06-25,4.4943,4.4943,4.4943,4.4943,401
135.0,2002-06-26,4.3875,4.3976,4.3625,4.3625,153567
136.0,2002-06-27,4.5495,4.6295,4.5294,4.6295,29971
137.0,2002-06-28,4.625,4.775,4.625,4.775,1022800
138.0,2002-07-01,4.775,4.775,4.7,4.7,94400
139.0,2002-07-02,4.6975,4.7,4.665,4.67,76800
140.0,2002-07-03,4.7745,4.7745,4.742,4.742,2400
141.0,2002-07-05,4.8625,4.875,4.8575,4.875,56800
142.0,2002-07-08,4.9555,4.968,4.943,4.9455,37254
143.0,2002-07-09,4.8505,4.8505,4.813,4.813,36798
144.0,2002-07-10,4.8125,4.8125,4.775,4.775,8000
145.0,2002-07-11,4.625,4.625,4.56,4.56,39200
