Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2004-05-06,24.25,24.25,22.5,23.25,20500
1.0,2004-05-07,22.25,22.5,20.25,21.42,27000
2.0,2004-05-10,21.6,21.8,20.0,20.5,33300
3.0,2004-05-11,20.5,21.35,20.5,20.55,21500
4.0,2004-05-12,21.0,21.25,20.75,21.06,88800
5.0,2004-05-13,21.0,22.5,21.0,21.35,45000
6.0,2004-05-14,21.5,22.3,21.01,21.85,13600
7.0,2004-05-17,21.79,22.7,21.79,22.25,20600
8.0,2004-05-18,22.5,23.1,21.8,22.4,17200
9.0,2004-05-19,22.6,23.4,22.0,22.0,11900
10.0,2004-05-20,22.5,23.0,22.0,22.51,17600
11.0,2004-05-21,23.4,23.75,22.75,23.25,24000
12.0,2004-05-24,23.45,23.51,22.75,23.2,17100
13.0,2004-05-25,23.1,24.25,23.1,24.0,16200
14.0,2004-05-26,24.0,24.25,23.49,23.6,16400
15.0,2004-05-27,23.85,24.05,23.52,23.6,17900
16.0,2004-05-28,23.5,24.0,23.5,23.79,8400
17.0,2004-06-01,23.95,23.95,23.71,23.71,7300
18.0,2004-06-02,23.9,23.9,23.71,23.84,23900
19.0,2004-06-03,23.75,24.09,23.5,23.65,29100
20.0,2004-06-04,23.9,23.9,23.7,23.79,3800
21.0,2004-06-07,23.9,23.9,23.1,23.38,21300
22.0,2004-06-08,23.13,23.29,23.0,23.14,11000
23.0,2004-06-09,23.27,23.29,22.9,23.01,17500
24.0,2004-06-10,23.01,23.34,23.01,23.34,7200
25.0,2004-06-14,23.29,23.29,22.7,22.8,23100
26.0,2004-06-15,23.05,23.14,22.8,22.91,15000
27.0,2004-06-16,23.12,23.4,22.9,23.3,10900
28.0,2004-06-17,23.25,23.4,22.85,23.4,8900
29.0,2004-06-18,23.4,23.5,23.25,23.39,11500
30.0,2004-06-21,23.24,23.58,22.6,23.3,114900
31.0,2004-06-22,23.55,23.65,23.4,23.4,16200
32.0,2004-06-23,23.25,23.59,23.25,23.45,8400
33.0,2004-06-24,23.46,23.47,23.45,23.45,2200
34.0,2004-06-25,23.6,23.64,23.21,23.5,10100
35.0,2004-06-28,23.0,23.3,23.0,23.1,9500
36.0,2004-06-29,23.14,23.19,22.86,22.95,9400
37.0,2004-06-30,22.8,23.0,21.5,22.84,33600
38.0,2004-07-01,22.64,23.0,22.64,22.94,34100
39.0,2004-07-02,23.05,23.45,23.0,23.44,8600
40.0,2004-07-06,23.15,23.24,22.95,23.24,11000
41.0,2004-07-07,23.16,23.45,23.13,23.45,19900
42.0,2004-07-08,23.49,23.9,23.46,23.9,9600
43.0,2004-07-09,23.6,24.03,23.6,24.03,10200
44.0,2004-07-12,24.0,24.2,23.8,24.2,7100
45.0,2004-07-13,24.2,24.25,23.51,23.85,7800
46.0,2004-07-14,24.0,24.01,23.52,23.53,6000
47.0,2004-07-15,23.7,24.0,23.51,23.99,6700
48.0,2004-07-16,24.1,24.24,23.96,24.0,6900
