Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,5.7812,5.7812,5.25,5.375,218200
1.0,2000-01-04,5.4062,5.4062,5.1562,5.2188,188200
2.0,2000-01-05,5.2188,5.2188,5.0312,5.1562,118800
3.0,2000-01-06,5.2188,5.2188,5.0312,5.0625,344800
4.0,2000-01-07,5.0625,5.0625,4.9688,5.0,326600
5.0,2000-01-10,5.0,5.0,4.875,4.9375,380600
6.0,2000-01-11,5.0,5.2188,4.9688,5.2188,929200
7.0,2000-01-12,5.1875,5.1875,4.9688,5.0625,917400
8.0,2000-01-13,5.0312,5.25,5.0312,5.2188,393000
9.0,2000-01-14,5.25,5.25,4.9062,5.0,1046400
10.0,2000-01-18,5.0625,5.2188,5.0,5.2188,398400
11.0,2000-01-19,5.2812,5.2812,5.0625,5.25,697600
12.0,2000-01-20,5.2812,5.5312,5.1562,5.5,654800
13.0,2000-01-21,5.5312,5.75,5.4375,5.6562,713000
14.0,2000-01-24,5.7188,5.7188,5.5,5.5312,747600
15.0,2000-01-25,5.75,6.2188,5.75,6.1875,760800
16.0,2000-01-26,6.25,6.5,6.25,6.375,462400
17.0,2000-01-27,6.375,6.375,5.9688,5.9688,252400
18.0,2000-01-28,5.9062,6.0312,5.6562,5.7812,628200
19.0,2000-01-31,5.7812,5.7812,5.5,5.5,245200
20.0,2000-02-01,5.4688,5.5625,5.375,5.5,361200
21.0,2000-02-02,5.4688,5.7188,5.4375,5.4688,544600
22.0,2000-02-03,5.5,5.5625,5.375,5.4375,162800
23.0,2000-02-04,5.4688,5.4688,5.2812,5.375,249600
24.0,2000-02-07,5.4375,5.4375,5.25,5.4062,161800
25.0,2000-02-08,5.4062,5.5,5.2812,5.3438,128600
26.0,2000-02-09,5.375,5.375,5.1562,5.2188,279800
27.0,2000-02-10,5.2188,5.2188,5.125,5.1562,248800
28.0,2000-02-11,5.1562,5.1562,4.9688,5.0312,500600
29.0,2000-02-14,5.0625,5.0938,4.9375,5.0,1221200
30.0,2000-02-15,5.0,5.0,4.875,4.875,468800
31.0,2000-02-16,4.875,4.9062,4.6875,4.875,595400
32.0,2000-02-17,5.0,5.0,4.875,4.9688,321400
33.0,2000-02-18,4.9062,4.9375,4.75,4.7812,189800
34.0,2000-02-22,4.7812,4.7812,4.625,4.6562,188200
35.0,2000-02-23,4.625,4.7188,4.5,4.5,431000
36.0,2000-02-24,4.5,4.8125,4.5,4.625,155800
37.0,2000-02-25,4.5938,4.6562,4.5,4.625,165000
38.0,2000-02-28,4.625,4.7812,4.5625,4.6562,182200
39.0,2000-02-29,4.6875,4.8125,4.625,4.625,419800
40.0,2000-03-01,4.6562,4.75,4.5938,4.7188,676400
41.0,2000-03-02,4.7188,5.0,4.7188,4.7812,649800
42.0,2000-03-03,4.875,4.875,4.6562,4.75,1622800
43.0,2000-03-06,4.8125,4.8125,4.6562,4.6562,1328200
44.0,2000-03-07,4.7188,4.9375,4.7188,4.8125,401600
45.0,2000-03-08,4.8438,4.875,4.6875,4.875,265800
