Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,195.0,195.5,171.63,191.75,3488600
1.0,2000-01-04,186.38,196.88,175.0,185.0,3085400
2.0,2000-01-05,180.0,181.0,160.19,172.38,4189700
3.0,2000-01-06,169.0,169.88,150.0,150.13,2735400
4.0,2000-01-07,154.69,170.25,153.0,169.19,3372200
5.0,2000-01-10,189.0,196.0,175.5,194.0,4055900
6.0,2000-01-11,189.0,205.88,186.25,191.0,4487000
7.0,2000-01-12,205.88,207.0,170.06,172.88,6241700
8.0,2000-01-13,180.63,184.13,172.94,178.69,3098000
9.0,2000-01-14,179.25,180.5,168.38,173.38,3056600
10.0,2000-01-18,174.94,183.5,173.94,179.5,2938400
11.0,2000-01-19,184.63,187.63,181.0,186.13,2489700
12.0,2000-01-20,189.38,190.13,178.19,182.0,2414700
13.0,2000-01-21,184.75,190.0,181.0,185.75,2933600
14.0,2000-01-24,190.0,195.31,176.0,182.38,3814100
15.0,2000-01-25,181.25,182.88,170.75,177.94,2039400
16.0,2000-01-26,176.94,182.25,174.0,178.0,1269300
17.0,2000-01-27,181.0,183.63,174.69,179.75,1557600
18.0,2000-01-28,175.0,182.63,165.13,173.75,1895400
19.0,2000-01-31,169.88,172.38,155.0,162.63,2748900
20.0,2000-02-01,166.0,166.06,157.63,161.25,2274300
21.0,2000-02-02,163.0,176.75,160.25,172.31,2535300
22.0,2000-02-03,177.13,178.0,170.5,175.13,2953700
23.0,2000-02-04,177.13,195.5,174.5,185.44,6643400
24.0,2000-02-07,185.13,197.5,184.88,194.63,3447200
25.0,2000-02-08,198.5,199.0,187.0,188.25,1935600
26.0,2000-02-09,194.0,195.5,185.13,188.75,1802700
27.0,2000-02-10,191.13,196.5,187.13,195.06,1830900
28.0,2000-02-11,197.0,215.5,196.5,212.0,6458300
29.0,2000-02-14,217.5,218.0,199.0,213.25,4279700
30.0,2000-02-15,213.0,222.31,206.5,219.69,2454900
31.0,2000-02-16,218.0,224.0,211.0,215.63,2286300
32.0,2000-02-17,217.88,229.0,216.0,226.19,3053700
33.0,2000-02-18,228.25,236.5,221.0,229.0,1963500
34.0,2000-02-22,232.56,238.31,218.0,234.25,3392400
35.0,2000-02-23,235.0,245.88,234.25,239.0,2754900
36.0,2000-02-24,244.75,256.88,241.0,252.81,2851800
37.0,2000-02-25,260.5,269.94,254.13,264.13,2649300
38.0,2000-02-28,268.75,272.75,242.0,272.25,3330300
39.0,2000-02-29,267.0,270.0,258.13,264.5,2304300
40.0,2000-03-01,268.69,282.94,267.0,279.88,2329800
41.0,2000-03-02,286.25,304.5,284.63,299.69,2590200
42.0,2000-03-03,321.56,338.0,313.63,329.98,3523500
43.0,2000-03-06,331.63,333.88,306.0,317.0,2613000
44.0,2000-03-07,320.0,330.69,313.75,324.5,1831800
45.0,2000-03-08,352.0,366.69,320.88,331.0,5610800
46.0,2000-03-09,328.94,333.0,317.0,320.88,4061400
47.0,2000-03-10,323.5,326.0,304.25,305.38,2754600
48.0,2000-03-13,291.0,316.0,287.13,298.0,5886200
49.0,2000-03-14,316.5,316.5,280.0,281.06,4134000
50.0,2000-03-15,286.0,286.06,260.0,269.31,4602800
51.0,2000-03-16,273.13,275.0,252.0,263.23,4443200
52.0,2000-03-17,267.25,277.94,262.0,266.19,2655300
53.0,2000-03-20,271.63,276.69,244.0,248.94,3192900
54.0,2000-03-21,239.0,247.0,210.5,240.75,5331500
55.0,2000-03-22,247.5,265.5,247.5,261.06,3164400
56.0,2000-03-23,270.0,276.0,262.0,265.5,3069900
