Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-04,8.125,8.25,7.9062,7.9375,72200
1.0,2000-01-05,8.0,8.0,7.8125,7.875,107800
2.0,2000-01-06,7.875,7.9375,7.6562,7.8125,81600
3.0,2000-01-07,7.7812,7.8125,7.625,7.75,28400
4.0,2000-01-10,7.7188,7.7812,7.5938,7.7188,94200
5.0,2000-01-11,7.7188,7.7188,7.5,7.625,51800
6.0,2000-01-12,7.7188,7.7188,7.625,7.625,13600
7.0,2000-01-13,7.6875,8.0938,7.6875,7.9688,23600
8.0,2000-01-14,7.9375,8.0,7.8125,7.8125,33000
9.0,2000-01-18,7.8125,7.8125,7.75,7.7812,30800
10.0,2000-01-19,7.75,7.8438,7.6875,7.8125,19400
11.0,2000-01-20,7.8125,7.9375,7.625,7.625,49000
12.0,2000-01-21,7.625,7.75,7.625,7.7188,39400
13.0,2000-01-24,7.6562,7.8125,7.5625,7.5625,71600
14.0,2000-01-25,7.5625,7.6562,7.5,7.5,47200
15.0,2000-01-26,7.5625,7.5938,7.5,7.5938,10800
16.0,2000-01-27,7.6562,7.6562,7.4375,7.4688,51600
17.0,2000-01-28,7.4688,7.5312,7.3438,7.4688,37000
18.0,2000-01-31,7.4375,7.5,7.2812,7.2812,78800
19.0,2000-02-01,7.3438,7.4062,7.2188,7.2812,57400
20.0,2000-02-02,7.3438,7.375,7.2188,7.2812,51800
21.0,2000-02-03,7.4062,7.4062,7.125,7.25,62400
22.0,2000-02-04,7.2188,7.2812,7.1562,7.2188,47200
23.0,2000-02-07,7.3125,7.4688,7.2188,7.2188,64600
24.0,2000-02-08,7.25,7.3438,7.2188,7.3125,85000
25.0,2000-02-09,7.25,7.3125,7.125,7.25,60600
26.0,2000-02-10,7.0938,7.2188,7.0,7.0312,139400
27.0,2000-02-11,7.0312,7.0312,6.6875,6.75,74200
28.0,2000-02-14,6.75,7.0625,6.5938,6.9688,70000
29.0,2000-02-15,6.9062,6.9062,6.75,6.7812,53200
30.0,2000-02-16,6.7812,6.9062,6.7188,6.75,59800
31.0,2000-02-17,6.875,7.125,6.875,7.0625,55400
32.0,2000-02-18,7.125,7.1562,7.0,7.0,30000
33.0,2000-02-22,6.9375,6.9375,6.75,6.75,25400
34.0,2000-02-23,6.75,7.0,6.75,6.9375,31400
35.0,2000-02-24,6.9375,6.9688,6.7812,6.7812,37600
36.0,2000-02-25,6.8125,6.9062,6.7812,6.7812,32600
37.0,2000-02-28,6.7188,6.9062,6.6562,6.8438,22000
38.0,2000-02-29,6.8125,7.0938,6.8125,7.0938,60800
39.0,2000-03-01,7.0938,7.0938,6.9062,6.9688,129400
40.0,2000-03-02,7.0,7.0312,6.9375,7.0,57000
41.0,2000-03-03,7.0312,7.0312,6.75,6.8125,77000
42.0,2000-03-06,6.8125,6.8438,6.75,6.75,41400
43.0,2000-03-07,6.8125,6.8125,6.5625,6.5625,179400
44.0,2000-03-08,6.5625,6.75,6.4688,6.625,224600
45.0,2000-03-09,6.5625,6.5625,6.1875,6.4375,55000
46.0,2000-03-10,6.4688,6.5,6.2188,6.3125,258800
47.0,2000-03-13,6.3125,6.5,6.2812,6.4375,34600
48.0,2000-03-14,6.375,6.4688,6.25,6.25,49400
49.0,2000-03-15,6.25,6.25,6.0,6.0938,221800
50.0,2000-03-16,6.1562,6.9375,6.1562,6.9375,79400
51.0,2000-03-17,7.0,7.375,7.0,7.0,44000
52.0,2000-03-20,7.125,7.1562,7.0625,7.0938,5800
53.0,2000-03-21,7.125,7.2188,6.875,7.125,19000
54.0,2000-03-22,7.1562,7.625,7.125,7.4062,40400
55.0,2000-03-23,7.4375,7.75,7.4062,7.5312,74200
56.0,2000-03-24,7.5938,7.7188,7.5,7.5625,64200
57.0,2000-03-27,7.75,7.9375,7.625,7.6562,21000
58.0,2000-03-28,7.6562,7.6875,7.4375,7.625,54400
59.0,2000-03-29,7.5625,7.5625,7.3125,7.3125,16400
60.0,2000-03-30,7.375,7.4688,7.0,7.4375,25800
61.0,2000-03-31,7.5,7.5,7.0,7.25,133200
62.0,2000-04-03,7.375,7.6875,7.3125,7.6875,36400
63.0,2000-04-04,7.6875,7.75,7.5,7.75,50800
64.0,2000-04-05,7.6875,8.0,7.6875,7.9688,40800
65.0,2000-04-06,7.9688,8.4375,7.9688,8.3125,82800
66.0,2000-04-07,8.3438,8.4531,8.0,8.0,86400
67.0,2000-04-10,8.3125,8.5,8.3125,8.375,35000
68.0,2000-04-11,8.4062,8.5,8.125,8.4688,34600
69.0,2000-04-12,8.4688,8.6562,8.4688,8.625,87000
70.0,2000-04-13,8.6875,8.8125,8.625,8.6875,71600
71.0,2000-04-14,8.7188,8.8438,8.125,8.25,98200
72.0,2000-04-17,8.375,8.625,8.3438,8.5,28200
73.0,2000-04-18,8.4375,8.5625,8.3125,8.5,10400
74.0,2000-04-19,8.4375,8.5312,8.4375,8.5312,12000
75.0,2000-04-20,8.5312,8.625,8.4375,8.5,17400
76.0,2000-04-24,8.5625,8.5625,8.3125,8.4375,10200
77.0,2000-04-25,8.4375,8.6875,8.3125,8.5625,26000
78.0,2000-04-26,8.625,8.7188,8.5,8.5,13600
79.0,2000-04-27,8.4688,8.4688,8.25,8.4688,10200
80.0,2000-04-28,8.4375,8.5,8.3125,8.4688,23600
81.0,2000-05-01,9.0,9.125,8.9688,9.0312,51400
82.0,2000-05-02,9.0625,9.0625,8.8438,8.875,6000
83.0,2000-05-03,8.875,9.0,8.75,8.9062,23200
84.0,2000-05-04,8.8438,8.9688,8.7812,8.9688,23400
85.0,2000-05-05,8.875,9.0,8.5938,8.7812,50400
86.0,2000-05-08,8.7812,8.7812,8.375,8.5312,14400
87.0,2000-05-09,8.5625,8.7188,8.5,8.7188,68400
88.0,2000-05-10,8.6875,8.6875,8.4375,8.4688,25800
