Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2005-01-03,39.84,40.17,39.7,39.91,3710545
1.0,2005-01-04,40.1,40.28,39.59,39.66,2678977
2.0,2005-01-05,39.72,40.14,39.65,40.01,3220261
3.0,2005-01-06,40.03,40.19,39.8,39.96,2117917
4.0,2005-01-07,40.01,40.37,39.75,39.8,2270774
5.0,2005-01-10,39.8,40.19,39.72,39.91,2149404
6.0,2005-01-11,39.695,40.35,39.6,40.23,3202541
7.0,2005-01-12,40.24,40.96,39.98,40.92,3302233
8.0,2005-01-13,40.83,40.95,40.6,40.75,5974003
9.0,2005-01-14,40.81,41.2,40.5,41.17,2362920
10.0,2005-01-18,41.11,41.78,40.73,41.58,2582104
11.0,2005-01-19,41.67,41.88,41.42,41.51,2551790
12.0,2005-01-20,41.49,41.98,40.88,40.98,2955447
13.0,2005-01-21,40.91,41.02,39.94,40.15,3647376
14.0,2005-01-24,40.16,40.38,39.82,39.9,2271648
15.0,2005-01-25,40.16,40.3,39.79,39.87,1799516
16.0,2005-01-26,40.15,40.26,39.74,39.87,1840314
17.0,2005-01-27,39.73,39.9,39.39,39.66,3280926
18.0,2005-01-28,39.66,39.78,39.14,39.64,2865342
19.0,2005-01-31,40.14,40.44,39.82,40.29,2175702
20.0,2005-02-01,40.29,41.2,40.29,40.9,2990850
21.0,2005-02-02,41.03,41.04,40.1,40.29,3936688
22.0,2005-02-03,40.25,40.78,39.47,39.95,4410836
23.0,2005-02-04,39.75,40.49,39.75,40.46,3111473
24.0,2005-02-07,40.49,40.76,40.28,40.37,1578303
25.0,2005-02-08,40.63,40.67,39.68,39.79,2688433
26.0,2005-02-09,39.74,39.99,39.1,39.23,2972949
27.0,2005-02-10,39.35,39.44,38.5,38.8,3759508
28.0,2005-02-11,38.71,39.77,38.47,39.45,2396310
29.0,2005-02-14,39.485,39.61,39.17,39.32,1236190
30.0,2005-02-15,39.15,39.78,38.95,39.32,2255758
31.0,2005-02-16,39.6,39.61,39.19,39.47,2060754
32.0,2005-02-17,39.55,39.73,38.63,38.76,2609711
33.0,2005-02-18,38.9,38.91,37.51,37.89,4557093
34.0,2005-02-22,37.45,37.68,36.84,37.15,5272002
35.0,2005-02-23,37.49,37.55,36.98,36.99,2335641
36.0,2005-02-24,36.79,37.45,36.55,37.42,4066050
37.0,2005-02-25,37.41,37.5,36.7,37.4,2951309
38.0,2005-02-28,37.47,37.64,37.25,37.52,2361651
39.0,2005-03-01,37.51,38.99,37.51,38.96,4200683
40.0,2005-03-02,38.88,39.4,38.44,38.5,2699076
41.0,2005-03-03,38.55,38.7,37.68,38.25,2600110
42.0,2005-03-04,38.4,38.99,38.14,38.23,2097046
43.0,2005-03-07,38.43,39.22,38.2,38.88,1879556
44.0,2005-03-08,38.91,39.01,38.6,38.67,1717323
45.0,2005-03-09,38.67,38.95,38.42,38.5,1963165
46.0,2005-03-10,38.425,38.69,37.95,38.4,2495240
47.0,2005-03-11,38.24,38.35,37.4,37.53,3145491
48.0,2005-03-14,37.52,38.24,37.41,37.94,2149984
49.0,2005-03-15,38.09,38.12,37.1,37.24,3330990
50.0,2005-03-16,37.11,37.4,36.67,36.82,2459897
51.0,2005-03-17,36.65,36.86,36.46,36.55,1832142
52.0,2005-03-18,36.5,36.69,35.5,36.19,5478354
53.0,2005-03-21,36.21,36.32,35.61,35.79,2740842
54.0,2005-03-22,35.77,36.53,35.51,36.14,3974103
55.0,2005-03-23,36.19,36.2,35.75,35.79,3347184
56.0,2005-03-24,36.0,36.001,35.55,35.57,2356071
57.0,2005-03-28,35.7,36.35,35.7,36.11,2629752
58.0,2005-03-29,36.72,36.85,36.1,36.33,3249296
59.0,2005-03-30,36.33,36.85,36.17,36.52,2415145
60.0,2005-03-31,36.5,36.78,36.32,36.54,2066594
61.0,2005-04-01,36.69,37.17,36.22,36.4,3137074
62.0,2005-04-04,36.57,37.23,36.32,36.98,2867875
63.0,2005-04-05,37.12,37.55,36.92,37.3,2870674
64.0,2005-04-06,37.5,37.62,36.52,36.74,4336744
65.0,2005-04-07,38.61,40.86,38.5,40.8,14225698
66.0,2005-04-08,40.395,40.797,39.45,39.83,5346734
67.0,2005-04-11,39.92,40.05,39.57,39.74,1922383
68.0,2005-04-12,39.71,40.2,38.89,39.95,5061321
69.0,2005-04-13,39.86,39.95,38.85,39.19,2438984
70.0,2005-04-14,39.25,39.5,38.74,38.76,2395814
71.0,2005-04-15,38.36,39.0,37.85,37.96,3539825
72.0,2005-04-18,38.12,38.45,37.74,38.15,2553565
73.0,2005-04-19,38.43,38.45,37.5,38.041,2266129
74.0,2005-04-20,37.77,38.05,36.97,37.3,2498288
75.0,2005-04-21,37.6,37.79,36.73,37.49,2551205
76.0,2005-04-22,37.38,37.52,36.95,37.07,2166846
77.0,2005-04-25,37.2,37.86,37.1,37.46,1440289
78.0,2005-04-26,37.52,37.81,37.04,37.04,2041615
79.0,2005-04-27,37.085,38.12,36.76,37.81,2940248
80.0,2005-04-28,37.76,37.76,37.04,37.18,2315912
81.0,2005-04-29,37.11,37.43,36.28,37.21,2715218
82.0,2005-05-02,37.2,37.49,36.92,37.22,2046918
83.0,2005-05-03,37.37,37.43,36.9,37.07,1632506
84.0,2005-05-04,37.39,37.56,36.98,37.5,2506780
85.0,2005-05-05,37.14,37.5,36.92,37.1,1668767
86.0,2005-05-06,37.45,37.47,36.54,36.83,1845009
87.0,2005-05-09,36.83,37.2,36.65,37.06,2857695
88.0,2005-05-10,36.97,36.97,36.53,36.69,2011980
89.0,2005-05-11,36.93,37.42,36.59,37.32,2571586
90.0,2005-05-12,37.43,37.48,37.1,37.23,2891526
91.0,2005-05-13,37.4,37.63,36.93,37.38,2421897
92.0,2005-05-16,37.58,38.22,37.22,38.04,1929223
93.0,2005-05-17,38.07,38.79,37.87,38.74,2398540
94.0,2005-05-18,38.95,40.1,38.8,39.77,3879806
95.0,2005-05-19,39.9,39.94,39.51,39.65,2187672
96.0,2005-05-20,39.77,39.94,39.21,39.53,1776136
97.0,2005-05-23,39.22,39.6,39.22,39.47,1270756
98.0,2005-05-24,39.37,39.43,39.2,39.41,1081733
99.0,2005-05-25,39.43,39.53,39.02,39.46,1148765
100.0,2005-05-26,39.7,39.84,39.28,39.72,1236492
101.0,2005-05-27,40.05,40.76,40.04,40.42,2312834
102.0,2005-05-31,40.9,41.49,40.51,40.65,2980620
103.0,2005-06-01,40.84,41.44,40.5,40.74,2906769
104.0,2005-06-02,40.84,41.42,40.75,41.38,1890150
105.0,2005-06-03,41.39,41.76,41.06,41.14,1905203
106.0,2005-06-06,41.16,41.66,41.1,41.63,1939346
107.0,2005-06-07,41.62,42.25,41.32,41.35,2131908
108.0,2005-06-08,41.49,41.82,41.25,41.25,2172967
109.0,2005-06-09,41.32,42.08,40.98,41.74,1789601
110.0,2005-06-10,41.48,41.79,41.07,41.22,1589136
111.0,2005-06-13,41.25,41.97,41.1,41.76,1512371
112.0,2005-06-14,41.55,41.75,41.01,41.22,2536150
113.0,2005-06-15,41.5,42.0,41.25,41.99,2951160
114.0,2005-06-16,43.21,44.01,43.02,43.92,5536711
115.0,2005-06-17,44.1,44.44,42.97,43.42,4958879
116.0,2005-06-20,43.15,44.32,43.15,44.11,3075742
