Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,1.8125,1.9375,1.8125,1.8125,12100
1.0,2000-01-04,1.6875,1.75,1.6875,1.75,5800
2.0,2000-01-05,1.75,1.75,1.6875,1.6875,5000
3.0,2000-01-06,1.875,1.9375,1.75,1.9375,17400
4.0,2000-01-07,1.9375,1.9375,1.6875,1.6875,6700
5.0,2000-01-10,1.75,1.875,1.6875,1.6875,12100
6.0,2000-01-11,1.6875,1.75,1.6875,1.6875,3100
7.0,2000-01-12,1.75,1.75,1.4688,1.4688,26000
8.0,2000-01-13,1.5625,1.6875,1.5625,1.6875,9600
9.0,2000-01-14,1.875,2.0,1.75,2.0,72200
10.0,2000-01-18,2.0,2.0,1.8125,1.9062,27000
11.0,2000-01-19,1.75,1.75,1.75,1.75,1100
12.0,2000-01-20,1.875,2.0625,1.75,1.8125,41300
13.0,2000-01-21,1.875,1.875,1.5625,1.875,24500
14.0,2000-01-24,1.875,2.0,1.875,1.9375,24100
15.0,2000-01-25,1.9375,1.9688,1.9375,1.9375,13900
16.0,2000-01-26,2.1562,2.25,1.9375,2.0,31800
17.0,2000-01-27,2.0,2.0625,2.0,2.0625,15100
18.0,2000-01-28,2.125,2.125,1.9062,1.9062,6800
19.0,2000-01-31,2.125,2.2188,1.9375,2.0,33200
20.0,2000-02-01,2.0,2.125,2.0,2.0,27500
21.0,2000-02-02,2.0,2.125,2.0,2.0312,5400
22.0,2000-02-03,2.0312,2.125,2.0312,2.125,19600
23.0,2000-02-04,2.125,2.125,2.125,2.125,800
24.0,2000-02-08,2.0625,2.0938,2.0312,2.0938,14100
25.0,2000-02-09,2.0938,2.125,2.0938,2.125,4300
26.0,2000-02-10,2.0938,2.0938,2.0,2.0,5700
27.0,2000-02-11,2.0625,2.0625,2.0,2.0,16400
28.0,2000-02-14,2.0625,2.0625,2.0,2.0,7400
29.0,2000-02-15,2.0312,2.125,2.0,2.0,27000
30.0,2000-02-16,2.0,2.0,2.0,2.0,8000
31.0,2000-02-17,2.0625,2.2188,2.0625,2.125,45200
32.0,2000-02-18,2.0938,2.0938,1.875,1.875,20600
33.0,2000-02-22,2.0,2.0625,1.875,1.875,15600
34.0,2000-02-23,2.0625,2.0625,1.9375,1.9375,21500
35.0,2000-02-24,2.0312,2.0625,2.0,2.0,18600
36.0,2000-02-25,2.0,2.0,1.9375,1.9375,7100
37.0,2000-02-28,2.0625,2.125,1.9375,2.0,25900
38.0,2000-02-29,2.0,2.0312,1.9375,2.0312,24400
39.0,2000-03-01,2.0,2.0,1.8125,2.0,22200
40.0,2000-03-02,2.0,2.875,2.0,2.75,348800
41.0,2000-03-03,2.75,2.75,2.3125,2.5,73300
42.0,2000-03-06,2.5625,2.875,2.5,2.875,52700
43.0,2000-03-07,2.75,2.875,2.6875,2.6875,75800
44.0,2000-03-08,2.75,2.8125,2.5625,2.7188,48600
45.0,2000-03-09,2.5938,2.5938,2.4375,2.5,33800
