Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,44.91,45.5,40.98,43.72,6557600
1.0,2000-01-04,42.75,42.75,37.25,38.38,6035200
2.0,2000-01-05,37.5,42.75,33.12,42.5,8422400
3.0,2000-01-06,41.5,41.5,36.75,37.27,7460400
4.0,2000-01-07,37.94,40.09,37.22,39.97,7886800
5.0,2000-01-10,40.0,42.11,39.0,42.0,8496800
6.0,2000-01-11,40.97,41.0,37.5,40.5,7270000
7.0,2000-01-12,42.12,42.16,39.03,40.38,5269600
8.0,2000-01-13,41.48,41.48,38.5,40.16,3761600
9.0,2000-01-14,40.16,40.31,38.13,39.93,3812000
10.0,2000-01-18,40.48,41.25,39.81,40.02,5258400
11.0,2000-01-19,40.28,42.12,40.0,40.86,3804000
12.0,2000-01-20,41.38,42.75,41.0,41.88,4680800
13.0,2000-01-21,42.39,42.98,41.22,42.48,5875600
14.0,2000-01-24,43.97,46.46,41.0,44.12,8346400
15.0,2000-01-25,44.0,44.16,41.25,42.12,3914400
16.0,2000-01-26,43.27,43.75,41.47,42.39,2969200
17.0,2000-01-27,42.0,42.06,39.75,41.5,6627200
18.0,2000-01-28,40.0,40.75,38.0,40.0,5372000
19.0,2000-01-31,39.83,41.06,38.19,40.5,3458800
20.0,2000-02-01,41.78,43.0,40.41,42.48,5426800
21.0,2000-02-02,42.78,44.84,42.25,44.66,6515200
22.0,2000-02-03,45.5,45.5,43.38,43.56,4246400
23.0,2000-02-04,43.69,44.09,42.75,43.12,5209600
24.0,2000-02-07,43.75,45.22,43.0,45.06,6652400
25.0,2000-02-08,47.03,47.88,45.72,47.52,9279600
26.0,2000-02-09,47.66,48.25,45.5,48.22,6238000
27.0,2000-02-10,47.8,50.62,47.8,50.41,8474000
28.0,2000-02-11,50.62,51.62,50.19,51.25,7246400
29.0,2000-02-14,52.88,56.61,52.66,55.5,9615600
30.0,2000-02-15,54.53,57.0,53.09,56.64,6026800
31.0,2000-02-16,57.59,59.53,57.25,58.38,8912400
32.0,2000-02-17,59.75,61.62,58.75,60.91,7108400
33.0,2000-02-18,69.64,71.0,65.5,68.97,11395200
34.0,2000-02-22,68.91,69.25,65.34,66.78,7678800
35.0,2000-02-23,67.0,67.78,66.25,66.69,4428400
36.0,2000-02-24,67.5,67.76,64.98,66.72,7498400
37.0,2000-02-25,67.47,69.31,66.0,66.81,6353200
38.0,2000-02-28,67.81,73.0,67.0,70.77,7062800
39.0,2000-02-29,72.5,74.37,71.5,72.28,5369200
40.0,2000-03-01,74.31,75.75,73.16,74.64,6980400
41.0,2000-03-02,76.0,79.86,72.41,77.95,4229600
42.0,2000-03-03,80.75,81.06,77.75,78.81,4640000
43.0,2000-03-06,80.0,81.38,79.41,80.38,3947200
44.0,2000-03-07,85.5,85.94,80.75,82.48,6264400
45.0,2000-03-08,84.62,84.75,72.25,79.88,8734000
46.0,2000-03-09,80.31,84.75,77.5,81.77,5841600
47.0,2000-03-10,82.78,88.16,82.25,83.25,4118000
48.0,2000-03-13,80.25,84.88,77.5,82.75,4260800
49.0,2000-03-14,84.95,84.98,76.75,77.03,4970400
50.0,2000-03-15,77.75,78.0,65.38,68.59,5708000
51.0,2000-03-16,72.0,73.5,61.0,70.06,6686600
52.0,2000-03-17,71.5,82.38,71.5,79.5,6483000
53.0,2000-03-20,82.31,87.38,72.5,74.59,5767800
54.0,2000-03-21,74.5,78.94,67.5,77.31,4931800
55.0,2000-03-22,78.44,86.44,77.0,85.81,5313000
56.0,2000-03-23,87.09,89.5,81.81,84.66,3653000
57.0,2000-03-24,87.0,89.12,79.25,82.25,2948600
58.0,2000-03-27,84.69,86.81,79.63,81.47,2103600
59.0,2000-03-28,82.0,84.0,81.38,83.97,2617200
60.0,2000-03-29,83.81,85.5,78.38,80.75,3767400
61.0,2000-03-30,75.5,88.0,75.0,80.31,6961000
62.0,2000-03-31,84.37,92.5,80.44,89.66,6510200
63.0,2000-04-03,85.0,87.47,66.53,69.98,11877200
64.0,2000-04-04,72.06,72.06,53.0,67.5,20804000
65.0,2000-04-05,63.5,72.44,60.0,67.5,9216600
66.0,2000-04-06,70.41,72.22,65.5,71.47,4178400
67.0,2000-04-07,73.75,74.12,68.62,72.38,3561800
68.0,2000-04-10,73.03,73.72,62.0,64.78,5600400
69.0,2000-04-11,61.0,70.0,58.0,61.03,6285400
70.0,2000-04-12,62.59,63.56,57.38,57.5,6107600
71.0,2000-04-13,57.5,67.0,57.0,60.5,6531000
72.0,2000-04-14,55.97,58.5,45.5,46.94,10495200
73.0,2000-04-17,43.25,49.5,39.5,49.5,10581400
74.0,2000-04-18,50.75,57.37,49.0,54.03,6039200
75.0,2000-04-19,56.44,59.88,52.62,53.75,4117800
76.0,2000-04-20,54.12,55.5,50.97,52.5,2167600
77.0,2000-04-24,48.0,48.5,40.0,45.53,5194200
78.0,2000-04-25,47.75,56.5,47.75,55.38,6539800
79.0,2000-04-26,57.13,60.0,54.0,54.94,6020800
80.0,2000-04-27,50.5,59.0,49.12,57.5,4757200
81.0,2000-04-28,61.5,64.88,60.0,62.0,4354000
82.0,2000-05-01,64.97,67.0,62.29,66.47,3469800
83.0,2000-05-02,64.06,66.5,62.16,63.44,3520400
84.0,2000-05-03,61.53,64.09,53.0,57.38,6216800
85.0,2000-05-04,58.5,62.0,56.25,59.0,4023800
86.0,2000-05-05,57.62,68.25,57.5,68.03,6547800
87.0,2000-05-08,65.5,66.94,60.69,62.0,6094800
88.0,2000-05-09,63.03,64.0,53.56,55.03,9887200
89.0,2000-05-10,52.03,53.75,48.5,50.94,8686000
90.0,2000-05-11,52.75,54.13,49.19,50.94,5883800
91.0,2000-05-12,56.13,58.0,53.25,53.44,10882400
92.0,2000-05-15,54.38,57.98,51.88,57.47,6576200
93.0,2000-05-16,62.0,65.25,60.0,63.0,11440400
94.0,2000-05-17,60.0,63.0,59.0,61.0,5015800
95.0,2000-05-18,61.88,62.84,58.81,58.81,3795800
96.0,2000-05-19,57.39,58.0,53.25,55.12,5733800
97.0,2000-05-22,50.5,54.97,44.0,54.66,17130400
98.0,2000-05-23,53.41,56.12,47.0,47.5,7972000
99.0,2000-05-24,47.0,51.09,43.25,50.44,10393800
100.0,2000-05-25,52.44,55.5,50.25,52.31,5978000
101.0,2000-05-26,51.25,53.69,48.5,52.5,3864400
102.0,2000-05-30,54.72,60.25,53.81,60.03,4608200
103.0,2000-05-31,58.32,62.88,56.75,58.97,6539200
104.0,2000-06-01,59.87,60.94,56.81,59.28,4193600
105.0,2000-06-02,63.31,69.25,62.81,67.0,9067600
106.0,2000-06-05,65.0,69.03,64.97,68.75,5417600
107.0,2000-06-06,69.75,73.81,69.44,69.44,6512800
108.0,2000-06-07,70.06,75.0,69.97,74.81,6328000
109.0,2000-06-08,77.75,78.94,73.5,75.69,6830400
110.0,2000-06-09,77.31,78.0,72.56,73.5,4073600
111.0,2000-06-12,74.87,76.3,66.12,67.16,7354800
112.0,2000-06-13,68.53,73.0,63.5,72.88,8865600
113.0,2000-06-14,73.06,73.75,68.87,69.07,4913200
114.0,2000-06-15,69.38,72.0,67.5,71.5,5286600
115.0,2000-06-16,71.09,72.75,70.5,72.47,3918400
116.0,2000-06-19,72.25,80.0,70.59,79.72,8160800
117.0,2000-06-20,79.72,82.28,76.37,79.66,7387400
118.0,2000-06-21,78.75,84.44,77.97,81.75,7877400
119.0,2000-06-22,82.25,84.5,78.88,79.09,4562000
120.0,2000-06-23,79.75,79.75,75.38,78.0,4841800
121.0,2000-06-26,78.81,80.12,77.0,79.75,3641200
122.0,2000-06-27,79.75,82.75,78.91,80.94,3566800
123.0,2000-06-28,81.25,87.38,80.69,86.5,6992200
124.0,2000-06-29,84.97,88.91,84.13,88.19,7072400
125.0,2000-06-30,88.59,92.06,87.87,91.74,8766800
126.0,2000-07-03,91.34,92.5,88.25,88.94,2285200
127.0,2000-07-05,87.97,91.0,87.16,89.47,4405400
128.0,2000-07-06,90.03,90.19,84.78,87.69,5405600
129.0,2000-07-07,87.03,96.0,86.19,92.78,7607200
130.0,2000-07-10,93.75,98.63,93.06,96.56,5348800
131.0,2000-07-11,97.47,100.34,95.62,97.78,6812000
