Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2014-04-10,50.0,50.0,45.0,45.0,165
1.0,2014-04-22,55.0,55.0,55.0,55.0,276
2.0,2014-04-23,63.3333,63.3333,63.3333,63.3333,405
3.0,2014-04-24,63.3333,63.3333,63.3333,63.3333,72
4.0,2014-04-28,55.6667,55.6667,47.3333,47.3333,150
5.0,2014-06-05,66.6667,66.6667,66.6667,66.6667,30
6.0,2014-06-26,55.6667,55.6667,55.6667,55.6667,270
7.0,2014-06-27,56.0,56.0,56.0,56.0,330
8.0,2014-07-09,56.6667,56.6667,56.6667,56.6667,123
9.0,2014-07-16,63.3333,63.3333,63.3333,63.3333,120
10.0,2014-07-23,66.6667,66.6667,66.6667,66.6667,60
11.0,2014-07-30,66.6667,66.6667,66.6667,66.6667,67
12.0,2014-07-31,59.3333,59.3333,59.3333,59.3333,30
13.0,2014-08-01,66.6667,66.6667,66.6667,66.6667,30
14.0,2014-08-04,52.6667,52.6667,52.6667,52.6667,30
15.0,2014-08-11,33.3333,33.3333,33.3333,33.3333,30
16.0,2014-09-10,40.0,40.0,40.0,40.0,300
17.0,2015-05-12,11.2233,11.2233,11.2233,11.2233,31
18.0,2015-05-13,400.0,400.0,400.0,400.0,10
19.0,2015-06-23,300.0,300.0,300.0,300.0,10
20.0,2015-06-25,300.0,300.0,300.0,300.0,10
21.0,2015-07-29,200.0,200.0,190.0,190.0,42
22.0,2015-07-30,300.0,300.0,300.0,300.0,10
23.0,2015-08-25,300.0,300.0,300.0,300.0,10
24.0,2015-09-08,300.0,300.0,300.0,300.0,10
25.0,2015-09-22,350.0,350.0,350.0,350.0,275
26.0,2015-09-29,356.0,356.0,352.0,352.0,101
27.0,2015-10-13,300.0,300.0,300.0,300.0,10
28.0,2015-12-17,300.0,300.0,300.0,300.0,132
29.0,2016-01-29,350.0,350.0,300.0,300.0,20
30.0,2016-03-28,225.0,225.0,225.0,225.0,10
31.0,2016-03-31,300.0,300.0,300.0,300.0,10
32.0,2016-04-11,300.0,300.0,300.0,300.0,330
33.0,2016-04-12,350.0,350.0,349.99,350.0,94
