Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2011-05-26,19.0,19.5,18.26,18.36,22030537
1.0,2011-05-27,18.67,18.81,18.25,18.62,1909493
2.0,2011-05-31,18.82,18.98,18.46,18.5,787022
3.0,2011-06-01,18.42,18.43,18.19,18.23,850592
4.0,2011-06-02,18.11,18.68,18.05,18.61,927903
5.0,2011-06-03,18.25,18.82,18.1,18.15,784537
6.0,2011-06-06,18.24,18.31,18.1,18.22,882806
7.0,2011-06-07,18.34,18.4,18.1,18.13,1627765
8.0,2011-06-08,18.09,18.37,18.0,18.0,2225948
9.0,2011-06-09,18.0,18.09,17.18,17.53,4336954
10.0,2011-06-10,17.28,17.35,16.04,16.3,3289740
11.0,2011-06-13,16.67,16.75,16.01,16.3,1261824
12.0,2011-06-14,16.37,16.94,16.0,16.15,1295760
13.0,2011-06-15,15.95,16.43,15.35,15.85,959413
14.0,2011-06-16,15.78,15.81,15.06,15.33,687684
15.0,2011-06-17,15.47,15.55,14.88,14.97,1074814
16.0,2011-06-20,15.03,15.345,14.71,14.89,413059
17.0,2011-06-21,14.56,16.05,14.29,16.05,1377900
18.0,2011-06-22,15.98,17.76,15.93,16.9,1623623
19.0,2011-06-23,16.8,17.36,16.75,17.05,2351219
20.0,2011-06-24,17.01,17.55,16.7,16.87,4755836
21.0,2011-06-27,16.88,17.18,16.31,17.04,459023
22.0,2011-06-28,17.0,17.63,16.86,17.52,570407
23.0,2011-06-29,17.54,18.34,17.36,17.72,1020217
24.0,2011-06-30,17.62,18.49,17.56,18.36,811102
25.0,2011-07-01,18.47,19.9,18.43,19.75,1439666
26.0,2011-07-05,20.36,20.97,19.32,19.58,1562784
27.0,2011-07-06,19.59,19.59,18.88,18.92,1370548
28.0,2011-07-07,19.06,20.15,18.94,20.02,846317
29.0,2011-07-08,19.67,19.69,19.05,19.3,1116323
30.0,2011-07-11,19.1,19.18,18.37,18.45,1024161
31.0,2011-07-12,18.18,18.18,16.59,17.08,3819576
32.0,2011-07-13,17.19,17.63,17.06,17.56,1129347
33.0,2011-07-14,17.71,17.99,17.66,17.86,1097519
34.0,2011-07-15,18.0,18.04,17.12,17.31,613763
35.0,2011-07-18,17.32,17.64,16.75,16.89,870706
36.0,2011-07-19,16.96,17.43,16.84,17.15,798279
37.0,2011-07-20,17.26,17.49,16.83,17.2,899796
38.0,2011-07-21,16.25,16.96,16.07,16.85,2617874
39.0,2011-07-22,16.93,17.11,16.84,16.92,829351
40.0,2011-07-25,16.87,17.45,16.76,17.13,2068913
41.0,2011-07-26,17.05,17.47,17.0,17.43,749175
42.0,2011-07-27,17.24,17.37,16.18,16.5,1259688
43.0,2011-07-28,16.53,16.64,16.16,16.21,973496
44.0,2011-07-29,16.14,16.51,15.07,16.31,1060605
45.0,2011-08-01,16.68,16.73,15.53,15.7,1338353
46.0,2011-08-02,15.56,15.59,14.69,14.82,770285
47.0,2011-08-03,14.82,15.01,14.5,14.75,806171
48.0,2011-08-04,14.61,14.88,12.25,12.6,3011245
49.0,2011-08-05,12.85,12.99,11.49,11.86,2164770
50.0,2011-08-08,11.5,11.58,9.43,10.55,4073866
51.0,2011-08-09,10.73,13.49,10.65,12.28,3871230
52.0,2011-08-10,11.89,12.76,11.56,12.2,1910214
53.0,2011-08-11,12.39,13.01,12.09,12.95,1272690
54.0,2011-08-12,13.03,13.51,12.62,12.98,663710
55.0,2011-08-15,13.09,13.6,13.09,13.52,529309
56.0,2011-08-16,13.34,13.91,13.12,13.17,1131612
57.0,2011-08-17,13.34,13.58,12.6,12.73,517840
58.0,2011-08-18,12.28,12.39,11.57,12.13,829297
59.0,2011-08-19,12.02,12.37,11.81,11.83,878783
60.0,2011-08-22,12.13,12.13,11.39,11.43,651157
61.0,2011-08-23,11.26,12.07,10.61,11.59,2025572
62.0,2011-08-24,11.62,11.63,10.57,10.945,1614875
63.0,2011-08-25,11.12,11.18,10.58,10.77,706906
64.0,2011-08-26,10.81,10.95,10.5,10.845,520976
65.0,2011-08-29,10.99,11.17,10.69,11.08,2152256
66.0,2011-08-30,11.08,12.005,10.87,11.71,1704211
67.0,2011-08-31,11.85,12.03,11.42,11.48,639146
68.0,2011-09-01,11.54,11.82,11.29,11.45,551249
69.0,2011-09-02,11.25,11.5,11.0,11.14,535968
70.0,2011-09-06,10.775,11.02,10.49,10.97,908085
71.0,2011-09-07,11.15,11.55,10.97,11.5,730765
72.0,2011-09-08,11.46,11.8,11.3,11.59,449877
73.0,2011-09-09,11.45,11.71,10.8,11.17,1122929
74.0,2011-09-12,11.05,11.7,11.03,11.59,979235
75.0,2011-09-13,11.63,12.43,11.4,12.24,910378
76.0,2011-09-14,12.35,13.52,12.2,13.21,1318906
77.0,2011-09-15,13.36,13.71,13.14,13.49,826606
78.0,2011-09-16,13.6,13.66,12.98,13.2,799158
79.0,2011-09-19,12.93,13.33,12.5,13.08,575814
80.0,2011-09-20,13.06,13.5,12.58,12.61,429786
81.0,2011-09-21,12.69,12.91,12.44,12.48,382839
82.0,2011-09-22,11.93,12.42,11.71,11.99,558664
83.0,2011-09-23,11.94,12.74,11.86,12.21,615375
84.0,2011-09-26,11.69,12.6,11.69,12.15,1071348
85.0,2011-09-27,12.41,12.78,12.3,12.64,1261981
86.0,2011-09-28,12.58,12.775,12.14,12.21,848417
87.0,2011-09-29,12.43,12.78,11.44,11.81,1017152
88.0,2011-09-30,11.6,11.7,10.8,11.0,1241092
89.0,2011-10-03,10.93,10.93,9.92,10.52,1040252
90.0,2011-10-04,10.29,10.97,10.29,10.6,734425
91.0,2011-10-05,10.6,10.87,10.36,10.62,1187711
92.0,2011-10-06,10.56,10.89,10.43,10.86,930550
93.0,2011-10-07,10.78,11.01,10.63,10.73,568013
94.0,2011-10-10,10.88,11.24,10.88,11.15,541603
95.0,2011-10-11,10.99,11.49,10.99,11.14,1038044
96.0,2011-10-12,11.21,11.92,11.08,11.62,838496
97.0,2011-10-13,11.6,12.67,11.52,12.51,1216301
98.0,2011-10-14,12.53,12.95,12.27,12.75,952194
99.0,2011-10-17,12.6,12.75,12.35,12.51,585073
100.0,2011-10-18,12.45,12.82,12.21,12.72,575140
101.0,2011-10-19,12.37,12.5,11.85,11.87,389286
102.0,2011-10-20,11.75,12.2,10.92,12.12,1364225
103.0,2011-10-21,11.2,12.2,10.38,11.8,2313518
104.0,2011-10-24,11.84,12.88,11.57,12.57,1205490
105.0,2011-10-25,12.49,12.49,11.89,12.03,1427995
106.0,2011-10-26,12.27,12.3,11.95,12.21,400087
107.0,2011-10-27,12.75,14.35,12.7399,13.83,1251128
108.0,2011-10-28,13.86,14.35,13.57,13.68,707644
109.0,2011-10-31,13.57,13.76,12.97,13.18,351261
110.0,2011-11-01,12.39,12.48,11.56,12.18,1707519
111.0,2011-11-02,12.46,12.56,11.915,12.0,569545
112.0,2011-11-03,12.23,12.31,11.92,12.04,958075
113.0,2011-11-04,11.98,13.19,11.98,12.73,561593
114.0,2011-11-07,12.68,12.87,12.25,12.42,275019
115.0,2011-11-08,12.6,12.92,12.53,12.7,387461
116.0,2011-11-09,12.41,12.44,11.99,11.99,587820
117.0,2011-11-10,12.15,12.52,12.11,12.34,663197
118.0,2011-11-11,12.5,13.31,12.5,13.19,298911
119.0,2011-11-14,13.12,13.61,13.0,13.2,633776
120.0,2011-11-15,13.18,13.49,13.05,13.35,238990
121.0,2011-11-16,13.21,13.69,13.21,13.49,937421
122.0,2011-11-17,13.5,13.61,13.03,13.26,976188
123.0,2011-11-18,13.39,13.55,12.65,12.75,429434
124.0,2011-11-21,12.51,12.568,11.94,12.16,907715
125.0,2011-11-22,12.08,12.62,12.02,12.12,687503
126.0,2011-11-23,11.99,12.07,11.3,11.39,511066
127.0,2011-11-25,11.39,11.609,11.3101,11.52,341797
128.0,2011-11-28,11.95,12.16,11.84,12.01,571201
129.0,2011-11-29,11.99,12.14,11.87,11.93,741623
130.0,2011-11-30,12.34,12.85,12.22,12.68,624778
131.0,2011-12-01,12.63,13.11,12.58,12.89,467365
132.0,2011-12-02,13.05,13.38,12.8984,13.16,501496
133.0,2011-12-05,13.39,13.61,13.17,13.61,371685
134.0,2011-12-06,13.48,13.87,13.05,13.26,476408
135.0,2011-12-07,13.25,13.98,13.11,13.92,584508
136.0,2011-12-08,13.68,13.96,13.56,13.7,518473
137.0,2011-12-09,13.55,14.11,13.4375,13.68,917757
138.0,2011-12-12,13.3,13.59,13.15,13.27,826550
139.0,2011-12-13,13.35,13.49,12.25,12.59,3008934
140.0,2011-12-14,12.5,12.5,11.76,12.15,677246
141.0,2011-12-15,12.28,12.49,12.08,12.19,439972
142.0,2011-12-16,12.25,13.04,12.18,12.41,647515
143.0,2011-12-19,12.51,12.72,11.73,11.75,320335
144.0,2011-12-20,11.96,12.58,11.84,12.56,474415
145.0,2011-12-21,12.45,12.45,11.95,12.03,384605
146.0,2011-12-22,12.13,13.0,12.13,12.94,1257945
147.0,2011-12-23,13.0,13.04,12.86,12.99,738406
148.0,2011-12-27,13.0,13.11,12.89,13.0,249388
149.0,2011-12-28,13.02,13.07,12.65,12.77,463181
150.0,2011-12-29,12.84,13.0,12.66,12.96,227580
151.0,2011-12-30,12.95,13.02,12.61,12.66,373826
152.0,2012-01-03,12.7,13.06,12.2,12.99,827056
153.0,2012-01-04,12.9,13.01,12.65,12.93,335510
154.0,2012-01-05,12.82,13.0,12.72,12.96,863842
155.0,2012-01-06,12.98,13.79,12.23,12.82,784167
156.0,2012-01-09,12.83,13.4,12.73,13.11,1831607
157.0,2012-01-10,13.37,13.37,12.84,12.99,723566
158.0,2012-01-11,12.9,13.05,12.73,12.82,860964
159.0,2012-01-12,12.94,13.035,12.76,12.98,675929
160.0,2012-01-13,12.94,13.09,12.82,12.84,305211
161.0,2012-01-17,12.98,13.19,12.89,12.97,506654
162.0,2012-01-18,13.32,14.7,13.27,14.2,2749000
163.0,2012-01-19,14.45,16.11,14.31,15.08,1916613
164.0,2012-01-20,15.02,15.15,14.8,15.0,1314747
165.0,2012-01-23,15.08,15.46,14.92,15.05,940413
166.0,2012-01-24,14.98,16.13,14.8,15.72,1428089
167.0,2012-01-25,15.71,15.94,14.89,15.61,1466440
168.0,2012-01-26,15.78,16.06,15.5,15.78,1400072
169.0,2012-01-27,15.0,17.49,14.96,16.4,1634903
170.0,2012-01-30,16.21,16.21,14.85,15.95,646494
171.0,2012-01-31,16.0,16.18,15.73,15.97,1205140
172.0,2012-02-01,16.17,16.49,15.93,16.26,816618
173.0,2012-02-02,16.19,16.68,16.0,16.61,469934
174.0,2012-02-03,16.75,17.84,16.75,17.7,1197920
175.0,2012-02-06,17.36,17.53,16.83,17.28,882462
176.0,2012-02-07,17.22,17.34,16.69,16.77,524827
177.0,2012-02-08,16.83,17.01,16.27,16.7,1100225
178.0,2012-02-09,16.77,17.04,16.48,16.96,292612
179.0,2012-02-10,16.69,16.89,16.5,16.61,242207
180.0,2012-02-13,16.81,16.81,16.37,16.6907,154565
181.0,2012-02-14,16.54,16.97,16.08,16.94,694724
182.0,2012-02-15,16.98,17.43,16.66,17.2,969588
183.0,2012-02-16,17.27,17.76,17.07,17.41,972512
184.0,2012-02-17,17.46,17.49,16.65,17.34,803363
185.0,2012-02-21,17.36,17.37,16.55,16.63,685667
186.0,2012-02-22,16.7,16.715,16.15,16.24,746707
187.0,2012-02-23,16.22,16.5501,15.95,16.47,486526
188.0,2012-02-24,16.53,16.79,16.49,16.7,780171
189.0,2012-02-27,16.58,16.71,16.14,16.48,428726
190.0,2012-02-28,16.56,16.75,16.45,16.55,352509
191.0,2012-02-29,16.57,16.86,16.04,16.16,379348
192.0,2012-03-01,16.33,16.33,15.53,15.6,971870
193.0,2012-03-02,15.55,15.79,14.85,15.31,1141935
194.0,2012-03-05,15.25,15.395,13.86,14.24,1680491
195.0,2012-03-06,14.05,14.72,14.02,14.47,1176463
196.0,2012-03-07,14.6,14.99,14.47,14.92,924394
197.0,2012-03-08,15.03,15.1,14.85,14.98,618692
198.0,2012-03-09,14.98,15.27,14.8,15.05,467913
199.0,2012-03-12,15.5,15.52,14.5,14.8,765237
200.0,2012-03-13,14.93,15.25,14.7,15.08,949097
201.0,2012-03-14,15.05,15.49,15.05,15.34,687464
202.0,2012-03-15,15.32,15.6,15.25,15.48,349453
203.0,2012-03-16,15.49,16.05,15.385,15.89,581260
204.0,2012-03-19,15.86,16.06,15.83,15.88,334424
205.0,2012-03-20,15.76,15.8009,15.51,15.71,437579
206.0,2012-03-21,15.73,15.875,15.41,15.57,806643
207.0,2012-03-22,15.46,16.01,15.27,15.88,1113430
208.0,2012-03-23,15.86,16.34,15.77,16.04,640902
209.0,2012-03-26,16.2,16.355,15.99,16.3,419750
210.0,2012-03-27,16.27,16.305,15.88,15.93,330403
211.0,2012-03-28,15.88,15.94,15.26,15.49,605376
212.0,2012-03-29,15.37,15.48,15.19,15.4,407055
213.0,2012-03-30,15.53,15.66,15.25,15.39,313783
214.0,2012-04-02,15.3,15.55,15.12,15.42,288788
215.0,2012-04-03,15.37,15.37,14.84,15.19,778277
216.0,2012-04-04,15.03,15.15,14.75,14.98,562904
217.0,2012-04-05,14.93,14.97,14.49,14.59,366905
218.0,2012-04-09,14.25,14.34,14.03,14.15,358009
219.0,2012-04-10,14.05,14.2,13.45,13.59,825397
220.0,2012-04-11,13.75,14.21,13.75,13.84,518288
221.0,2012-04-12,13.88,14.395,13.88,14.32,553476
222.0,2012-04-13,14.28,14.31,13.94,14.08,299610
223.0,2012-04-16,14.09,14.25,13.81,13.97,248725
224.0,2012-04-17,14.15,14.46,14.08,14.08,558547
225.0,2012-04-18,14.0,14.28,13.73,14.13,631471
226.0,2012-04-19,14.18,14.77,14.08,14.28,1796527
227.0,2012-04-20,13.55,14.0,12.135,12.49,5809318
228.0,2012-04-23,12.3,12.48,11.99,12.33,1281259
229.0,2012-04-24,12.43,12.81,12.04,12.24,1920181
230.0,2012-04-25,12.36,12.45,12.11,12.25,828581
231.0,2012-04-26,12.28,12.3,12.07,12.12,736483
232.0,2012-04-27,12.11,12.63,11.97,12.33,2266725
233.0,2012-04-30,12.36,12.42,12.13,12.409,584751
234.0,2012-05-01,12.37,12.46,12.29,12.44,658445
235.0,2012-05-02,12.3,12.74,12.26,12.73,1242891
236.0,2012-05-03,12.71,12.76,11.9,12.26,982003
237.0,2012-05-04,12.17,12.3,11.95,12.0,875138
238.0,2012-05-07,11.95,12.03,11.82,11.95,695543
239.0,2012-05-08,11.81,11.85,11.43,11.59,628013
240.0,2012-05-09,11.39,11.49,11.17,11.31,651324
241.0,2012-05-10,11.53,11.63,11.05,11.1,711514
242.0,2012-05-11,11.08,11.45,11.03,11.2,577907
243.0,2012-05-14,11.05,11.12,10.77,10.84,921624
