Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,6.5,7.0,6.5,7.0,106200
1.0,2000-01-04,6.75,7.375,6.75,7.375,64800
2.0,2000-01-05,7.25,7.375,6.75,6.75,18200
3.0,2000-01-06,6.875,6.875,6.5,6.5625,8000
4.0,2000-01-07,6.0,6.375,5.875,6.25,44000
5.0,2000-01-10,6.375,6.75,6.375,6.6875,46300
6.0,2000-01-11,6.75,7.25,6.75,6.875,54900
7.0,2000-01-12,6.75,7.0,6.75,7.0,34700
8.0,2000-01-13,7.0,7.0,6.75,6.9375,19000
9.0,2000-01-14,7.0,7.0,6.8125,7.0,34400
10.0,2000-01-18,7.75,8.375,7.75,7.9375,518100
11.0,2000-01-19,8.0,8.1875,7.9375,8.1875,154400
12.0,2000-01-20,8.1875,8.25,7.5,7.75,199400
13.0,2000-01-21,7.75,8.1875,7.625,8.125,98500
14.0,2000-01-24,8.3125,8.3125,8.0,8.125,168700
15.0,2000-01-25,8.0,8.0,7.6875,7.9375,59400
16.0,2000-01-26,8.0,8.0,7.8125,7.8125,34500
17.0,2000-01-27,7.8125,8.0,7.8125,7.9375,59500
18.0,2000-01-28,7.875,7.9375,7.6875,7.8125,83700
19.0,2000-01-31,7.75,7.75,7.5,7.5625,65700
20.0,2000-02-01,7.5,7.5,7.0,7.0625,150600
21.0,2000-02-02,7.0,7.125,6.875,6.9375,86000
22.0,2000-02-03,6.9375,6.9375,6.75,6.75,61400
23.0,2000-02-04,6.8125,6.8125,6.75,6.8125,51600
24.0,2000-02-07,6.8125,6.8125,6.5625,6.6875,29800
25.0,2000-02-08,6.5,6.6875,6.5,6.6875,38900
26.0,2000-02-09,6.75,6.875,6.5,6.625,57500
27.0,2000-02-10,6.5625,6.75,6.375,6.625,25100
28.0,2000-02-11,6.75,6.75,6.4375,6.4375,33900
29.0,2000-02-14,6.5625,6.75,6.4375,6.5,39300
30.0,2000-02-15,6.5625,6.5625,6.4375,6.5,77100
31.0,2000-02-16,6.4375,6.6875,6.4375,6.625,79200
32.0,2000-02-17,6.625,6.625,6.4375,6.5625,27700
33.0,2000-02-18,6.4375,6.625,6.25,6.3125,54200
34.0,2000-02-22,6.25,6.25,5.875,6.0,89100
35.0,2000-02-23,5.9375,6.125,5.875,6.0,293200
36.0,2000-02-24,6.0,6.625,5.875,6.5,63500
37.0,2000-02-25,6.625,6.9375,6.375,6.375,43200
38.0,2000-02-28,6.25,6.3125,5.625,6.0625,78100
39.0,2000-02-29,6.0,6.3125,6.0,6.25,31500
40.0,2000-03-01,6.25,7.0625,6.25,7.0,51500
41.0,2000-03-02,7.0,7.375,7.0,7.3125,83700
42.0,2000-03-03,7.5,7.5,7.1875,7.375,44300
43.0,2000-03-06,7.25,7.875,7.25,7.8125,73200
44.0,2000-03-07,7.625,7.875,7.5,7.875,84500
45.0,2000-03-08,7.8125,8.0,7.8125,7.9375,124300
46.0,2000-03-09,7.625,7.75,7.3125,7.3125,57100
47.0,2000-03-10,7.25,7.25,7.0625,7.125,50300
48.0,2000-03-13,7.0625,7.875,7.0625,7.625,92100
49.0,2000-03-14,7.625,7.75,7.3125,7.625,51800
50.0,2000-03-15,7.5,7.8125,7.375,7.75,58100
51.0,2000-03-16,7.5,7.875,7.4375,7.875,50400
52.0,2000-03-17,7.75,7.75,7.4375,7.5,78000
53.0,2000-03-20,7.625,7.875,7.4375,7.625,47600
54.0,2000-03-21,7.5,7.5625,7.25,7.25,53800
55.0,2000-03-22,7.25,7.25,7.0625,7.0625,31900
56.0,2000-03-23,7.0625,7.125,6.75,6.75,58200
57.0,2000-03-24,6.5,7.0,6.5,6.75,53900
58.0,2000-03-27,6.875,6.9375,6.625,6.6875,65400
59.0,2000-03-28,6.6875,6.8125,6.4375,6.75,61800
60.0,2000-03-29,6.8125,7.3125,6.8125,7.0,81900
61.0,2000-03-30,7.125,7.5,7.0,7.0625,87700
62.0,2000-03-31,7.4375,7.5625,7.25,7.5,66300
63.0,2000-04-03,7.625,7.75,7.5,7.5,72700
64.0,2000-04-04,7.375,7.5,6.9375,7.0625,61400
65.0,2000-04-05,7.125,7.125,6.8125,7.0,14000
66.0,2000-04-06,6.9375,6.9375,6.375,6.5,64100
67.0,2000-04-07,6.5,6.8125,6.375,6.75,68700
68.0,2000-04-10,6.875,6.9375,6.75,6.875,18500
69.0,2000-04-11,6.75,6.875,6.6875,6.875,13500
70.0,2000-04-12,6.8125,7.0,6.75,6.8125,74300
71.0,2000-04-13,6.8125,6.9375,6.6875,6.8125,23300
72.0,2000-04-14,6.75,6.75,6.4375,6.4375,38900
73.0,2000-04-17,6.375,6.375,6.0,6.125,62400
74.0,2000-04-18,6.25,6.3125,5.9375,6.0625,54000
75.0,2000-04-19,6.0,6.3125,6.0,6.25,77100
76.0,2000-04-20,6.4375,6.875,6.25,6.75,107500
77.0,2000-04-24,6.625,6.625,6.5,6.625,54600
78.0,2000-04-25,6.5625,6.75,6.4375,6.4375,41600
79.0,2000-04-26,6.5,6.5,6.375,6.375,44300
80.0,2000-04-27,6.5,6.5,6.4375,6.4375,7400
