Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,28.25,28.3125,27.6875,28.1875,195600
1.0,2000-01-04,28.125,28.1875,27.875,28.0,191300
2.0,2000-01-05,28.0,28.25,27.875,28.125,143500
3.0,2000-01-06,28.25,28.3125,27.625,27.6875,152400
4.0,2000-01-07,27.6875,28.0,27.375,27.875,98000
5.0,2000-01-10,27.8125,27.8125,27.0,27.125,85400
6.0,2000-01-11,27.125,27.625,26.9375,27.5625,127900
7.0,2000-01-12,27.5625,28.125,27.375,28.0,101000
8.0,2000-01-13,27.875,29.0625,27.8125,29.0,146100
9.0,2000-01-14,28.75,28.8125,28.3125,28.5,157300
10.0,2000-01-18,28.5,28.75,28.3125,28.6875,129200
11.0,2000-01-19,28.75,28.9375,28.75,28.875,114300
12.0,2000-01-20,28.75,28.9375,28.375,28.4375,189700
13.0,2000-01-21,28.6875,28.6875,28.0,28.0,145400
14.0,2000-01-24,28.0625,28.5,27.5,27.5,142800
15.0,2000-01-25,27.5,27.6875,27.0,27.5625,111900
16.0,2000-01-26,27.5,27.5,27.0,27.3125,83100
17.0,2000-01-27,27.25,27.75,27.0625,27.5,159800
18.0,2000-01-28,27.3125,27.5,26.75,27.25,113100
19.0,2000-01-31,27.125,27.8125,26.5,27.5,105400
20.0,2000-02-01,27.5,27.5,26.125,27.0,108800
21.0,2000-02-02,27.125,27.9375,26.625,27.875,98800
22.0,2000-02-03,27.75,27.8125,26.25,27.0625,71400
23.0,2000-02-04,26.9375,27.375,26.3125,26.625,49700
24.0,2000-02-07,26.625,26.6875,24.875,26.6875,152400
25.0,2000-02-08,26.75,26.75,25.875,26.1875,59200
26.0,2000-02-09,26.0625,26.0625,25.0,25.375,92400
27.0,2000-02-10,25.25,25.9375,24.875,25.75,270600
28.0,2000-02-11,25.75,26.625,25.75,26.125,86700
29.0,2000-02-14,26.0,26.0,25.3125,25.5,81600
30.0,2000-02-15,25.5625,25.9375,25.5625,25.6875,96000
31.0,2000-02-16,25.9375,25.9375,25.4688,25.5,134800
32.0,2000-02-17,25.4375,25.625,25.0,25.125,94300
33.0,2000-02-18,24.875,24.9375,24.3125,24.875,109800
34.0,2000-02-22,25.0625,25.125,24.25,24.75,77800
35.0,2000-02-23,24.5,25.0,24.5,24.6875,51700
36.0,2000-02-24,24.75,24.75,23.0625,23.375,99500
37.0,2000-02-25,23.5,24.125,23.4375,23.6875,82100
38.0,2000-02-28,23.5625,24.1875,23.5625,24.125,125300
39.0,2000-02-29,24.0,24.3125,23.375,23.5,119400
40.0,2000-03-01,23.25,23.5625,23.0625,23.5625,132600
41.0,2000-03-02,23.625,23.625,22.6875,22.875,215000
42.0,2000-03-03,22.9375,23.75,22.75,22.8125,127300
43.0,2000-03-06,22.625,22.625,21.6875,22.0,143800
44.0,2000-03-07,22.125,22.125,20.8125,20.875,127200
45.0,2000-03-08,21.0625,21.5625,20.9375,21.125,214300
46.0,2000-03-09,21.375,21.375,21.0625,21.25,123700
47.0,2000-03-10,21.1875,21.1875,20.3125,20.5,141300
48.0,2000-03-13,19.875,21.5625,18.0,21.25,441500
49.0,2000-03-14,20.625,20.625,18.3125,18.6875,437600
50.0,2000-03-15,18.6875,19.125,17.3125,17.625,506100
51.0,2000-03-16,17.625,18.0,17.25,17.75,398100
52.0,2000-03-17,17.75,18.125,17.5625,18.0625,348100
53.0,2000-03-20,18.25,18.3125,17.5625,17.875,163500
54.0,2000-03-21,17.9375,19.125,17.8125,18.875,218400
55.0,2000-03-22,18.9375,19.75,18.8125,18.875,237300
56.0,2000-03-23,18.75,19.125,18.5,18.75,96200
57.0,2000-03-24,18.625,18.625,17.6875,18.125,227100
58.0,2000-03-27,18.25,18.375,17.8125,17.9375,152200
59.0,2000-03-28,18.625,19.375,18.3125,19.0625,241900
60.0,2000-03-29,19.375,20.0,19.25,19.4375,171400
61.0,2000-03-30,19.125,20.25,19.125,19.4375,136200
62.0,2000-03-31,19.25,19.8125,19.125,19.375,215200
63.0,2000-04-03,19.5,19.5,18.8125,19.0,110600
64.0,2000-04-04,19.1875,19.25,17.25,18.125,307200
65.0,2000-04-05,18.3125,19.0,17.9375,18.4375,194100
66.0,2000-04-06,18.5,19.375,18.5,18.75,145400
67.0,2000-04-07,18.5,18.8125,18.0,18.4375,110900
68.0,2000-04-10,18.5,18.5,17.375,17.5625,227800
69.0,2000-04-11,17.9375,19.25,17.875,18.75,148100
70.0,2000-04-12,18.6875,19.5625,18.6875,19.0,123600
71.0,2000-04-13,19.0,19.625,19.0,19.5625,289000
72.0,2000-04-14,19.3125,19.375,18.25,18.6875,233500
73.0,2000-04-17,18.375,18.75,18.0,18.25,121800
74.0,2000-04-18,18.0625,18.625,17.375,18.5,161900
75.0,2000-04-19,18.5,19.125,18.125,18.9375,141700
76.0,2000-04-20,18.8125,19.0,17.75,18.1875,119100
77.0,2000-04-24,18.25,18.3125,17.75,18.1875,177000
78.0,2000-04-25,18.4375,18.875,18.1875,18.75,123700
79.0,2000-04-26,18.75,18.9375,18.25,18.5,123500
80.0,2000-04-27,18.4375,18.5,18.25,18.3125,135200
81.0,2000-04-28,18.3125,18.4375,18.0625,18.25,125000
82.0,2000-05-01,18.75,19.5625,18.6875,19.0,256500
83.0,2000-05-02,19.0625,19.625,18.5,18.5,140200
84.0,2000-05-03,18.5,18.9375,18.0625,18.25,153900
85.0,2000-05-04,18.4375,18.5,17.8125,18.1875,99500
86.0,2000-05-05,18.375,18.5625,18.1875,18.5,126200
87.0,2000-05-08,18.75,18.9375,18.0,18.1875,102600
88.0,2000-05-09,18.1875,18.9375,17.9375,18.8125,102300
89.0,2000-05-10,18.875,18.9375,18.3125,18.5625,96600
90.0,2000-05-11,18.8125,18.8125,18.4375,18.6875,132500
91.0,2000-05-12,18.8125,18.8125,17.9375,18.0625,130800
92.0,2000-05-15,18.5,19.25,18.5,19.0625,239400
93.0,2000-05-16,18.875,19.1875,18.8125,18.875,192800
94.0,2000-05-17,18.875,18.875,18.5,18.625,50800
95.0,2000-05-18,19.0,19.0,18.5625,18.8125,51300
96.0,2000-05-19,18.5625,18.75,18.5625,18.5625,41600
97.0,2000-05-22,18.6875,18.8125,18.5,18.625,113300
98.0,2000-05-23,18.75,18.9375,18.4375,18.5,85300
99.0,2000-05-24,18.625,18.75,18.5,18.6875,114800
100.0,2000-05-25,18.6875,18.6875,18.5625,18.625,59200
101.0,2000-05-26,18.75,18.875,18.625,18.6875,84800
102.0,2000-05-30,18.875,19.0,18.25,18.3125,131100
103.0,2000-05-31,18.5,18.6875,18.375,18.375,128300
