Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2016-12-30,0.0101,0.0101,0.0101,0.0101,5343
1.0,2017-01-05,0.0092,0.0092,0.0092,0.0092,1300
2.0,2017-01-31,0.008,0.008,0.008,0.008,5000
3.0,2017-04-18,0.01,0.01,0.01,0.01,3206
4.0,2017-04-27,0.013,0.013,0.013,0.013,532500
5.0,2017-09-15,0.003,0.003,0.003,0.003,1200
6.0,2018-01-09,0.154,0.158,0.1539,0.1579,78797
7.0,2018-09-13,1.5399,1.5399,1.5399,1.5399,10060
8.0,2018-09-14,1.671,1.69,1.671,1.6758,11700
9.0,2018-09-17,1.626,1.626,1.619,1.619,10000
10.0,2018-09-18,1.588,1.588,1.5213,1.5442,38501
11.0,2018-09-19,1.46,1.5108,1.4594,1.4741,482890
12.0,2018-09-20,1.4531,1.4602,1.4522,1.4526,34440
13.0,2018-09-21,1.5191,1.7063,1.5191,1.6959,161068
14.0,2018-09-24,1.6532,1.6609,1.6532,1.6609,2149
15.0,2018-09-25,1.8263,1.9115,1.8187,1.9035,214902
16.0,2018-09-26,1.8898,1.8905,1.69,1.7849,19703
17.0,2018-09-27,1.8,1.8443,1.7427,1.8443,91949
18.0,2018-09-28,1.862,1.894,1.8214,1.8643,59285
19.0,2018-10-01,1.852,1.852,1.852,1.852,4463
20.0,2018-10-02,1.843,1.8735,1.843,1.8704,5030
21.0,2018-10-03,1.8427,1.8427,1.7955,1.7955,4240
22.0,2018-10-04,1.828,1.829,1.7999,1.7999,34715
23.0,2018-10-05,1.8195,1.8195,1.8035,1.8048,12000
24.0,2018-10-09,1.803,1.803,1.6956,1.7043,37949
25.0,2018-10-10,1.6988,1.6988,1.5712,1.5714,12256
26.0,2018-10-11,1.669,1.67,1.5765,1.5765,4350
27.0,2018-10-12,1.6073,1.6073,1.5796,1.5796,1672
28.0,2018-10-15,1.6,1.6292,1.5488,1.5952,16867
29.0,2018-10-16,1.6438,1.8114,1.6438,1.7497,35155
30.0,2018-10-17,1.7281,1.7752,1.6595,1.7247,78115
31.0,2018-10-18,1.7427,1.776,1.7167,1.7168,51482
32.0,2018-10-19,1.7399,1.76,1.6967,1.6975,60870
33.0,2018-10-22,1.63,1.63,1.5899,1.597,7583
34.0,2018-10-23,1.7196,1.734,1.6452,1.6466,53450
35.0,2018-10-24,1.6694,1.691,1.5901,1.5901,21975
36.0,2018-10-25,1.6044,1.6121,1.5312,1.5312,72577
37.0,2018-10-26,1.532,1.541,1.518,1.541,31800
38.0,2018-10-29,1.5039,1.5284,1.4392,1.4524,24800
39.0,2018-10-30,1.464,1.5255,1.45,1.48,15500
40.0,2018-10-31,1.5,1.5052,1.49,1.5052,6100
41.0,2018-11-01,1.517,1.517,1.517,1.517,162
42.0,2018-11-02,1.4922,1.4922,1.476,1.476,10670
43.0,2018-11-05,1.3698,1.417,1.3698,1.417,20102
44.0,2018-11-06,1.5527,1.5527,1.518,1.5192,58039
45.0,2018-11-07,1.5311,1.5399,1.5166,1.52,9420
46.0,2018-11-08,1.52,1.52,1.52,1.52,4450
47.0,2018-11-09,1.4889,1.4889,1.488,1.488,396
48.0,2018-11-12,1.4192,1.4192,1.4,1.4,900
49.0,2018-11-13,1.3483,1.3538,1.2922,1.2951,16828
50.0,2018-11-14,1.1961,1.25,1.1961,1.2309,15720
51.0,2018-11-15,1.24,1.2526,1.24,1.2452,4225
52.0,2018-11-16,1.2372,1.2372,1.214,1.2201,11040
53.0,2018-11-19,1.3,1.3371,1.2784,1.3371,9150
54.0,2018-11-20,1.3052,1.3052,1.1009,1.1383,16395
55.0,2018-11-21,1.1363,1.1363,1.1301,1.1301,5000
56.0,2018-11-23,0.9927,1.0,0.9184,0.9577,6890
57.0,2018-11-26,0.9483,0.9783,0.8333,0.8409,41715
58.0,2018-11-27,0.85,0.85,0.7389,0.7408,85485
59.0,2018-11-28,0.6936,0.7507,0.69,0.75,292708
60.0,2018-11-29,0.795,0.9396,0.795,0.9226,158140
61.0,2018-11-30,0.8904,0.9945,0.8475,0.8475,54686
62.0,2018-12-03,0.9291,0.9291,0.8967,0.9045,101957
63.0,2018-12-04,0.9284,0.9284,0.8336,0.8336,36765
64.0,2018-12-06,0.8158,0.846,0.7724,0.774,192955
65.0,2018-12-07,0.7802,0.8322,0.7401,0.7486,104676
66.0,2018-12-10,0.7919,0.7919,0.7346,0.79,201523
67.0,2018-12-11,0.8096,0.8096,0.7264,0.751,76073
68.0,2018-12-12,0.7524,0.8142,0.7467,0.75,48050
69.0,2018-12-13,0.7376,0.7746,0.7376,0.7746,144750
70.0,2018-12-14,0.7364,0.7364,0.7364,0.7364,123138
71.0,2018-12-17,0.7431,0.7715,0.6983,0.7639,123112
72.0,2018-12-18,0.7491,0.7599,0.7237,0.7249,63165
73.0,2018-12-19,0.8,0.8079,0.7515,0.7525,150838
74.0,2018-12-20,0.798,0.8198,0.7587,0.8079,86482
75.0,2018-12-21,0.8166,0.8198,0.8,0.8,68112
76.0,2018-12-24,0.8276,0.8452,0.7775,0.7779,26955
77.0,2018-12-27,0.744,0.744,0.6782,0.6782,1549737
78.0,2018-12-28,0.7154,0.7799,0.7154,0.7799,27500
79.0,2018-12-31,0.7819,0.782,0.7147,0.73,2801182
80.0,2019-01-02,0.8037,1.0604,0.8037,1.02,30270
81.0,2019-01-03,1.06,1.06,0.9899,0.9978,48980
82.0,2019-01-04,0.9971,1.0489,0.9969,1.0458,29079
83.0,2019-01-07,1.083,1.1727,1.083,1.1245,91683
84.0,2019-01-08,1.2045,1.2887,1.1346,1.1346,295654
85.0,2019-01-09,1.2254,1.2329,1.0926,1.145,96766
86.0,2019-01-10,1.136,1.169,1.0767,1.169,92527
87.0,2019-01-11,1.1064,1.132,1.0966,1.0966,12789
88.0,2019-01-14,1.0915,1.2017,1.0915,1.2017,15995
89.0,2019-01-15,1.195,1.2107,1.0967,1.0967,41570
90.0,2019-01-16,1.105,1.3217,1.105,1.3217,22321
91.0,2019-01-17,1.2528,1.2773,1.2397,1.2773,13345
92.0,2019-01-18,1.3011,1.315,1.2561,1.2788,25840
93.0,2019-01-22,1.3,1.3,1.1795,1.1795,1483
94.0,2019-01-23,1.2029,1.2029,1.0592,1.11,50410
95.0,2019-01-24,1.0823,1.1317,1.0456,1.1317,39785
96.0,2019-01-25,1.1268,1.1796,1.112,1.1296,16024
97.0,2019-01-28,1.18,1.18,0.9999,0.9999,40452
98.0,2019-01-29,1.0452,1.1056,1.0429,1.0431,11980
99.0,2019-01-30,1.1385,1.1385,1.0457,1.0458,13850
100.0,2019-01-31,1.0456,1.1164,1.0456,1.0773,25400
101.0,2019-02-01,1.0493,1.17,1.0493,1.1426,92825
102.0,2019-02-04,1.1539,1.1903,1.1034,1.1102,27035
103.0,2019-02-05,1.1069,1.1917,1.1069,1.1917,14386
104.0,2019-02-06,1.1498,1.16,1.1032,1.1172,6875
105.0,2019-02-07,1.123,1.2067,1.123,1.2,26200
106.0,2019-02-08,1.1867,1.2852,1.1112,1.2852,107045
107.0,2019-02-11,1.215,1.258,1.1825,1.2428,14580
108.0,2019-02-12,1.474,1.474,1.335,1.35,8252
109.0,2019-02-13,1.3915,1.4,1.25,1.25,22442
110.0,2019-02-14,1.25,1.2862,1.25,1.267,24940
111.0,2019-02-15,1.2781,1.3148,1.2705,1.2865,35340
112.0,2019-02-19,1.438,1.5579,1.438,1.4725,68652
113.0,2019-02-20,1.4977,1.5606,1.43,1.5602,250046
114.0,2019-02-21,1.5701,1.6731,1.4968,1.5,48037
115.0,2019-02-22,1.512,1.5563,1.3974,1.4509,196173
116.0,2019-02-25,1.4863,1.5299,1.395,1.5097,8370
117.0,2019-02-26,1.546,1.5484,1.492,1.492,5187
118.0,2019-02-27,1.565,1.565,1.48,1.4941,50275
119.0,2019-02-28,1.4978,1.55,1.4936,1.5,10830
120.0,2019-03-01,1.5448,1.5593,1.532,1.55,45544
121.0,2019-03-04,1.5503,1.5503,1.4665,1.4734,168061
122.0,2019-03-05,1.548,1.5931,1.4925,1.4925,43473
123.0,2019-03-06,1.536,1.55,1.5001,1.51,45865
124.0,2019-03-07,1.5245,1.5416,1.5049,1.5416,5070
125.0,2019-03-08,1.6038,1.6044,1.45,1.5553,59724
126.0,2019-03-11,1.6013,1.65,1.5545,1.5562,37824
127.0,2019-03-12,1.5567,1.563,1.5052,1.5052,113799
128.0,2019-03-13,1.4973,1.5374,1.4963,1.53,23050
129.0,2019-03-14,1.541,1.5499,1.51,1.52,4752
130.0,2019-03-15,1.5456,1.5992,1.517,1.54,14768
131.0,2019-03-18,1.578,1.83,1.5641,1.83,38325
132.0,2019-03-19,1.828,1.8387,1.7764,1.7848,25028
133.0,2019-03-20,1.775,1.8263,1.775,1.82,12012
134.0,2019-03-21,1.8393,1.8393,1.7601,1.8249,7238
135.0,2019-03-22,1.8199,1.964,1.8168,1.94,95195
136.0,2019-03-25,1.8955,1.8955,1.68,1.7,54021
137.0,2019-03-26,1.646,1.8346,1.631,1.7951,6991
138.0,2019-03-27,1.85,1.8617,1.8247,1.8617,14640
139.0,2019-03-28,1.8287,1.835,1.73,1.7673,7104
140.0,2019-03-29,1.8513,1.9048,1.8462,1.897,37875
141.0,2019-04-01,1.9077,1.9077,1.8527,1.8811,55900
142.0,2019-04-02,2.0526,2.1447,2.03,2.065,89311
143.0,2019-04-03,2.0739,2.0739,1.9547,1.9547,42803
144.0,2019-04-04,1.9788,1.981,1.7416,1.83,92572
145.0,2019-04-05,1.8495,1.8621,1.8036,1.849,124521
146.0,2019-04-08,1.8618,1.8729,1.7998,1.8298,25853
147.0,2019-04-09,1.8091,1.8657,1.7989,1.8427,56400
148.0,2019-04-10,1.8,2.0148,1.8,1.9177,30268
149.0,2019-04-11,1.8673,1.8673,1.8054,1.8283,12629
150.0,2019-04-12,1.857,1.8644,1.7869,1.8044,21550
151.0,2019-04-15,1.8067,1.8067,1.7008,1.7233,34188
152.0,2019-04-16,1.7837,1.7837,1.6966,1.7474,17685
153.0,2019-04-17,1.7304,1.7304,1.67,1.67,1961
154.0,2019-04-18,1.7148,1.73,1.6977,1.6977,5748
155.0,2019-04-22,1.6884,1.7411,1.681,1.7411,13781
156.0,2019-04-23,1.793,1.793,1.63,1.6556,45757
157.0,2019-04-24,1.6471,1.6471,1.469,1.5313,57067
158.0,2019-04-25,1.53,1.53,1.39,1.46,40066
159.0,2019-04-26,1.5498,1.608,1.4829,1.4964,9007
160.0,2019-04-29,1.5479,1.6473,1.5249,1.5397,36174
161.0,2019-04-30,1.593,1.6,1.5192,1.5192,12974
162.0,2019-05-01,1.55,1.568,1.5,1.5,9965
163.0,2019-05-02,1.4974,1.61,1.3925,1.4142,8971
164.0,2019-05-03,1.5975,1.5975,1.5391,1.5459,4120
165.0,2019-05-06,1.5451,1.56,1.5051,1.5423,6636
166.0,2019-05-07,1.5397,1.547,1.398,1.398,23708
167.0,2019-05-08,1.4593,1.4866,1.4365,1.448,14400
168.0,2019-05-09,1.4511,1.4523,1.3733,1.4516,30258
169.0,2019-05-10,1.481,1.51,1.4571,1.5,13170
170.0,2019-05-13,1.6116,1.9185,1.5437,1.7846,144142
171.0,2019-05-14,1.799,1.8208,1.5933,1.607,23062
172.0,2019-05-15,1.7166,1.7368,1.595,1.7368,37074
173.0,2019-05-16,1.7322,1.746,1.6034,1.6357,8464
174.0,2019-05-17,1.62,1.62,1.5465,1.59,24881
175.0,2019-05-21,1.6361,1.7173,1.576,1.6141,100771
176.0,2019-05-22,1.6171,1.6171,1.4833,1.6,18175
177.0,2019-05-23,1.5993,1.6062,1.5534,1.567,16612
178.0,2019-05-24,1.6,1.6721,1.5799,1.6101,59073
179.0,2019-05-28,1.823,1.823,1.727,1.7305,32271
180.0,2019-05-29,1.707,1.77,1.6601,1.6799,40042
181.0,2019-05-30,1.6985,1.7,1.62,1.65,48098
182.0,2019-05-31,1.664,1.677,1.57,1.609,38675
183.0,2019-06-03,1.5975,1.64,1.591,1.632,15817
184.0,2019-06-04,1.5,1.52,1.43,1.4973,33113
185.0,2019-06-05,1.5,1.521,1.48,1.5149,2680
186.0,2019-06-06,1.5571,1.5571,1.469,1.469,10815
187.0,2019-06-07,1.5031,1.5256,1.4953,1.5256,6858
188.0,2019-06-10,1.53,1.5637,1.4976,1.4976,30715
189.0,2019-06-11,1.504,1.5323,1.465,1.465,34699
190.0,2019-06-12,1.5019,1.571,1.4869,1.5,11405
191.0,2019-06-13,1.496,1.55,1.496,1.55,11010
192.0,2019-06-14,1.5,1.5215,1.4534,1.46,39725
193.0,2019-06-17,1.582,1.582,1.5013,1.5013,81182
194.0,2019-06-18,1.5468,1.5581,1.52,1.54,56140
195.0,2019-06-19,1.567,1.6,1.5,1.5,32915
196.0,2019-06-20,1.619,1.63,1.5567,1.597,38161
197.0,2019-06-21,1.631,1.6674,1.5867,1.61,111263
198.0,2019-06-24,1.68,1.765,1.5955,1.765,146183
199.0,2019-06-25,1.7822,1.8,1.6013,1.6421,231646
200.0,2019-06-26,1.745,1.9547,1.7253,1.909,137316
201.0,2019-06-27,1.7869,1.8711,1.74,1.7678,165278
202.0,2019-06-28,1.85,1.85,1.771,1.8236,147642
203.0,2019-07-02,1.7956,1.8027,1.5913,1.6448,54160
204.0,2019-07-03,1.739,1.739,1.6913,1.6913,14355
205.0,2019-07-05,1.6454,1.65,1.56,1.6172,9750
206.0,2019-07-08,1.65,1.85,1.65,1.8,30042
207.0,2019-07-09,1.7964,1.8291,1.75,1.7901,24686
208.0,2019-07-10,1.85,1.85,1.775,1.8,26015
209.0,2019-07-11,1.7953,1.82,1.717,1.718,44706
210.0,2019-07-12,1.6927,1.6927,1.61,1.61,30328
211.0,2019-07-15,1.645,1.714,1.6219,1.6781,24932
212.0,2019-07-16,1.618,1.629,1.48,1.5265,60238
213.0,2019-07-17,1.4914,1.5448,1.474,1.536,31604
214.0,2019-07-18,1.4958,1.59,1.4724,1.4724,58820
215.0,2019-07-19,1.4573,1.49,1.4197,1.44,60440
216.0,2019-07-22,1.4397,1.4397,1.3024,1.3283,59920
217.0,2019-07-23,1.3468,1.479,1.3283,1.479,19119
218.0,2019-07-24,1.4894,1.5428,1.484,1.54,18971
219.0,2019-07-25,1.54,1.5694,1.5238,1.5694,7527
220.0,2019-07-26,1.5446,1.5454,1.5446,1.5454,4100
221.0,2019-07-29,1.5611,1.6,1.5611,1.5998,16600
222.0,2019-07-30,1.51,1.599,1.51,1.599,4000
223.0,2019-07-31,1.5961,1.6119,1.59,1.6,26246
224.0,2019-08-01,1.6234,1.6234,1.62,1.62,1300
225.0,2019-08-02,1.55,1.65,1.55,1.6,12904
226.0,2019-08-05,1.59,1.59,1.59,1.59,10000
227.0,2019-08-06,1.59,1.645,1.59,1.645,9412
228.0,2019-08-07,1.5724,1.646,1.547,1.551,8388
229.0,2019-08-08,1.546,1.55,1.54,1.55,9490
230.0,2019-08-09,1.5451,1.5707,1.538,1.5491,14755
231.0,2019-08-12,1.5461,1.5461,1.45,1.476,44133
232.0,2019-08-13,1.4746,1.4746,1.426,1.4287,99060
233.0,2019-08-14,1.4394,1.4394,1.3252,1.33,74450
234.0,2019-08-15,1.3306,1.34,1.3306,1.34,12400
235.0,2019-08-16,1.339,1.38,1.3362,1.368,6250
236.0,2019-08-19,1.35,1.4529,1.35,1.4529,74407
237.0,2019-08-20,1.44,1.44,1.303,1.34,14887
238.0,2019-08-21,1.3455,1.3684,1.3372,1.35,12450
239.0,2019-08-22,1.35,1.35,1.31,1.31,8095
240.0,2019-08-23,1.303,1.3186,1.2916,1.2968,26475
241.0,2019-08-26,1.3119,1.34,1.2893,1.3326,8282
242.0,2019-08-27,1.3322,1.34,1.2768,1.2863,15195
243.0,2019-08-28,1.3024,1.3477,1.3024,1.319,17560
244.0,2019-08-29,1.2818,1.2818,1.2592,1.2592,50050
245.0,2019-08-30,1.3,1.35,1.2873,1.2873,65446
246.0,2019-09-03,1.3574,1.4034,1.323,1.4034,16340
247.0,2019-09-04,1.453,1.453,1.3926,1.45,2230
248.0,2019-09-05,1.4569,1.48,1.44,1.48,18056
249.0,2019-09-06,1.4828,1.52,1.42,1.4312,64564
250.0,2019-09-09,1.455,1.455,1.4088,1.4475,14111
251.0,2019-09-10,1.447,1.4492,1.447,1.4492,3216
252.0,2019-09-11,1.4171,1.4475,1.4171,1.4294,9630
253.0,2019-09-12,1.4288,1.4426,1.4278,1.4278,17725
