Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,158.0625,163.0,149.0,157.875,1094900
1.0,2000-01-04,152.0,153.5,135.375,138.5,674500
2.0,2000-01-05,141.75,155.5,136.0,145.0,1029100
3.0,2000-01-06,151.5625,151.6875,145.0,149.25,517100
4.0,2000-01-07,145.375,160.5,144.875,160.25,833400
5.0,2000-01-10,163.0,190.5,163.0,177.625,1107000
6.0,2000-01-11,176.875,177.0,163.5,164.0,890000
7.0,2000-01-12,160.25,163.5,144.875,152.9375,691700
8.0,2000-01-13,158.0,173.0,155.0,171.0938,977600
9.0,2000-01-14,174.875,199.0,174.875,184.625,1125600
10.0,2000-01-18,192.5,194.25,183.0,194.125,658300
11.0,2000-01-19,194.5,200.0,188.5,193.0,667100
12.0,2000-01-20,199.375,215.0,198.4375,210.5,1097200
13.0,2000-01-21,219.0,232.0,214.5,221.875,1288600
14.0,2000-01-24,239.0,241.0,205.0,215.25,1165100
15.0,2000-01-25,213.75,214.0,196.8125,205.0,1186200
16.0,2000-01-26,207.25,207.5,192.5,193.875,1327900
17.0,2000-01-27,199.25,205.5,198.0,199.875,1494100
18.0,2000-01-28,199.0,200.25,185.0,191.0625,871800
19.0,2000-01-31,98.8125,101.5,82.5,98.25,1833400
20.0,2000-02-01,99.0,100.625,91.25,99.75,1098300
21.0,2000-02-02,101.5,103.75,98.0,99.0,946600
22.0,2000-02-03,101.375,108.0,99.3125,105.125,1161800
23.0,2000-02-04,107.5,124.875,107.4375,115.0,2223000
24.0,2000-02-07,117.0,145.0,115.25,141.0312,2314300
25.0,2000-02-08,150.25,156.0,143.75,146.8125,2711200
26.0,2000-02-09,144.3125,155.0,141.75,152.6875,2079500
27.0,2000-02-10,155.75,166.0,151.3125,156.1875,1902300
28.0,2000-02-11,152.0,156.0,135.5625,149.8125,1583500
29.0,2000-02-14,150.25,153.5,142.5,149.75,1065800
30.0,2000-02-15,149.125,155.625,139.1875,155.0,1245900
31.0,2000-02-16,176.5,205.4375,175.0,187.3125,4027300
32.0,2000-02-17,199.5,231.0,198.5,217.5,5174600
33.0,2000-02-18,218.0,221.0,193.75,199.625,2633500
34.0,2000-02-22,200.5,204.25,169.0,174.375,3612500
35.0,2000-02-23,178.25,198.5,176.625,191.625,2166200
36.0,2000-02-24,195.4375,218.75,192.1875,217.0,2615000
37.0,2000-02-25,220.5625,228.0,203.0,206.5,2755300
38.0,2000-02-28,208.0,219.625,192.25,204.9375,1721800
39.0,2000-02-29,211.0,218.5625,208.5,218.0625,1386700
40.0,2000-03-01,226.75,232.75,221.5,225.25,1427400
41.0,2000-03-02,225.4375,225.875,201.0,214.0625,1846700
42.0,2000-03-03,223.4375,223.4375,202.25,216.0,1646800
43.0,2000-03-06,211.625,211.625,197.0,197.5,1748800
44.0,2000-03-07,195.0,195.4375,165.0,186.5,2299900
45.0,2000-03-08,190.0,194.0,172.5,185.5,1813900
46.0,2000-03-09,187.8125,187.875,171.5,179.0,1851900
47.0,2000-03-10,176.5625,184.75,169.125,172.375,1120300
48.0,2000-03-13,162.0,165.5,151.0,152.5,1793600
49.0,2000-03-14,155.125,157.5,108.5,123.75,11939700
