Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2006-02-06,22.05,22.19,21.35,21.7,1625400
1.0,2006-02-07,21.7,21.8,20.63,20.63,1086400
2.0,2006-02-08,20.72,21.05,20.6,20.8001,489900
3.0,2006-02-09,21.05,21.1,20.5,20.69,596700
4.0,2006-02-10,20.69,20.8,20.39,20.5,297600
5.0,2006-02-13,20.5,20.75,20.49,20.6,646500
6.0,2006-02-14,20.1,20.61,20.1,20.51,431000
7.0,2006-02-15,20.5,21.149,20.45,21.03,167700
8.0,2006-02-16,21.08,21.55,21.04,21.25,285800
9.0,2006-02-17,21.25,21.6799,21.25,21.6499,352300
10.0,2006-02-21,21.8,22.9,21.75,22.85,336500
11.0,2006-02-22,22.85,23.34,22.63,23.25,476200
12.0,2006-02-23,23.3,23.65,23.15,23.4,262100
13.0,2006-02-24,23.4,23.41,23.18,23.34,118500
14.0,2006-02-27,23.34,23.7,23.3,23.63,217300
15.0,2006-02-28,23.7,23.76,23.54,23.6,350100
16.0,2006-03-01,23.6,24.19,23.46,23.4799,290200
17.0,2006-03-02,23.4,23.41,22.3,22.72,419600
18.0,2006-03-03,22.5,22.57,21.97,22.0,113900
19.0,2006-03-06,21.54,21.92,21.28,21.61,206500
20.0,2006-03-07,21.5,22.6,21.5,22.35,427700
21.0,2006-03-08,22.45,23.2,22.03,23.02,196400
22.0,2006-03-09,23.12,23.169,22.78,22.82,133500
23.0,2006-03-10,22.67,22.82,22.51,22.66,120100
24.0,2006-03-13,22.65,22.65,22.03,22.13,234400
25.0,2006-03-14,21.95,21.95,19.12,19.3599,2217900
26.0,2006-03-15,19.2,19.2,16.61,17.43,4345100
27.0,2006-03-16,17.6,18.09,17.35,18.0,1180100
28.0,2006-03-17,17.95,18.0,17.81,17.85,164100
29.0,2006-03-20,17.85,18.06,17.69,17.9,373400
30.0,2006-03-21,17.95,18.15,17.85,17.97,246000
31.0,2006-03-22,18.1,18.26,17.75,18.26,174100
32.0,2006-03-23,18.15,18.84,18.15,18.82,265800
33.0,2006-03-24,18.85,19.05,18.6,18.8,350900
34.0,2006-03-27,18.75,19.01,18.62,18.75,95000
35.0,2006-03-28,18.7,18.85,18.36,18.55,130700
36.0,2006-03-29,18.63,18.75,17.8,18.3,201200
37.0,2006-03-30,18.32,18.84,18.2,18.75,88200
38.0,2006-03-31,18.75,19.0899,18.2,18.61,1032600
39.0,2006-04-03,18.61,18.9,18.22,18.74,196300
40.0,2006-04-04,18.81,19.02,18.11,18.32,520900
41.0,2006-04-05,18.45,18.69,18.4,18.4,145100
42.0,2006-04-06,18.25,18.33,17.9,17.99,212400
43.0,2006-04-07,17.95,17.97,17.24,17.33,369000
44.0,2006-04-10,17.3,17.31,16.36,16.51,383900
45.0,2006-04-11,16.35,16.45,15.41,15.93,459300
46.0,2006-04-12,16.17,16.85,16.12,16.76,866400
47.0,2006-04-13,17.0,17.15,16.8,17.01,192800
48.0,2006-04-17,17.24,17.26,16.96,17.14,166900
49.0,2006-04-18,17.3,17.58,17.29,17.45,544100
50.0,2006-04-19,17.5,17.54,17.251,17.2899,395300
51.0,2006-04-20,17.29,17.33,17.13,17.21,308400
52.0,2006-04-21,17.25,17.35,17.19,17.309,164100
53.0,2006-04-24,17.27,17.91,17.15,17.72,164300
54.0,2006-04-25,17.56,17.56,17.15,17.26,295900
55.0,2006-04-26,17.25,17.86,17.09,17.49,304500
56.0,2006-04-27,17.4,17.41,16.59,16.84,363900
57.0,2006-04-28,16.79,17.1,16.22,16.88,422800
58.0,2006-05-01,17.62,17.81,16.5,16.79,1023000
59.0,2006-05-02,16.97,17.01,16.7,16.81,395300
60.0,2006-05-03,16.81,16.849,16.45,16.64,325500
61.0,2006-05-04,16.51,16.52,16.16,16.25,172500
62.0,2006-05-05,16.12,16.35,16.09,16.25,168100
63.0,2006-05-08,16.41,16.45,16.17,16.35,322400
64.0,2006-05-09,16.17,16.43,16.141,16.3999,629700
65.0,2006-05-10,16.85,17.87,16.71,16.9901,1929600
66.0,2006-05-11,17.25,17.3,15.76,16.29,823300
67.0,2006-05-12,16.51,16.69,16.23,16.65,767800
68.0,2006-05-15,16.7,16.75,16.39,16.49,208100
69.0,2006-05-16,16.5,16.69,16.4,16.52,420500
70.0,2006-05-17,16.45,16.7,16.35,16.48,261100
71.0,2006-05-18,16.49,16.55,16.22,16.22,161000
72.0,2006-05-19,16.13,16.19,15.66,15.83,350300
73.0,2006-05-22,15.8,15.98,15.6,15.65,384000
74.0,2006-05-23,15.85,16.2,15.7,15.95,397300
75.0,2006-05-24,15.85,16.43,15.81,15.97,401900
76.0,2006-05-25,16.1,16.51,16.04,16.27,238200
77.0,2006-05-26,16.34,16.47,16.2,16.3,140300
78.0,2006-05-30,16.55,16.59,16.04,16.21,266400
79.0,2006-05-31,16.09,17.1,16.09,16.76,381000
80.0,2006-06-01,16.8,17.35,16.8,17.35,151900
81.0,2006-06-02,17.49,17.737,17.35,17.49,108800
82.0,2006-06-05,17.4,17.64,16.6,16.61,168500
83.0,2006-06-06,16.65,16.7,16.3,16.57,182700
84.0,2006-06-07,16.6,17.186,16.57,16.97,199600
85.0,2006-06-08,16.87,16.99,16.5,16.94,171700
86.0,2006-06-09,17.0,17.1,16.8,17.0,345400
87.0,2006-06-12,17.01,17.15,16.86,16.96,370900
88.0,2006-06-13,16.77,17.5,16.76,17.01,238500
89.0,2006-06-14,17.03,17.63,17.03,17.49,326400
90.0,2006-06-15,17.37,18.39,17.34,18.22,218000
91.0,2006-06-16,18.19,18.35,17.64,17.91,420500
92.0,2006-06-19,18.0,18.0,17.43,17.51,218900
93.0,2006-06-20,17.43,17.43,17.0,17.21,186500
94.0,2006-06-21,17.06,17.8,17.0,17.74,165300
95.0,2006-06-22,17.71,18.4,17.47,18.37,121500
96.0,2006-06-23,18.35,18.99,18.14,18.99,107700
97.0,2006-06-26,19.0,19.42,18.5,18.65,134600
98.0,2006-06-27,18.67,18.8,18.13,18.25,62500
99.0,2006-06-28,18.22,18.41,17.68,17.91,89500
100.0,2006-06-29,18.0,18.91,18.0,18.71,333600
101.0,2006-06-30,18.8,18.8,18.12,18.63,315500
102.0,2006-07-03,18.82,18.9,18.44,18.78,160100
103.0,2006-07-05,18.69,18.94,18.34,18.75,275200
104.0,2006-07-06,18.77,18.8,18.59,18.72,129700
105.0,2006-07-07,18.71,18.71,18.27,18.27,54000
106.0,2006-07-10,18.17,18.63,18.155,18.51,69600
107.0,2006-07-11,18.54,18.99,18.3,18.75,221200
108.0,2006-07-12,18.71,18.85,18.41,18.47,222600
109.0,2006-07-13,18.2,18.42,17.72,18.31,205100
110.0,2006-07-14,18.25,18.45,18.05,18.29,76000
111.0,2006-07-17,18.29,18.36,17.86,17.92,46700
112.0,2006-07-18,17.85,18.29,17.85,17.98,126100
113.0,2006-07-19,17.91,18.38,17.84,18.33,138400
114.0,2006-07-20,18.28,18.43,17.43,17.48,152000
115.0,2006-07-21,17.48,17.56,16.66,17.47,86800
116.0,2006-07-24,17.46,17.96,17.3396,17.95,70100
117.0,2006-07-25,17.96,18.25,17.96,18.2,47400
118.0,2006-07-26,18.15,18.2,17.67,17.86,56500
119.0,2006-07-27,17.95,18.25,17.86,18.19,60000
120.0,2006-07-28,18.22,18.44,18.1,18.4,65900
121.0,2006-07-31,18.16,18.69,18.12,18.6,79600
122.0,2006-08-01,20.38,21.16,18.95,18.97,781000
123.0,2006-08-02,18.91,19.48,18.55,18.65,389300
124.0,2006-08-03,18.5,19.15,18.33,18.99,318100
125.0,2006-08-04,19.05,19.1,18.5,19.05,748600
126.0,2006-08-07,19.01,19.6,18.97,19.39,279700
127.0,2006-08-08,19.39,19.65,19.25,19.39,422500
128.0,2006-08-09,19.4,19.67,17.5,19.4,480100
129.0,2006-08-10,19.3,19.77,19.15,19.69,235400
130.0,2006-08-11,19.69,19.7,19.18,19.5,104700
131.0,2006-08-14,19.55,19.79,19.36,19.5,109200
132.0,2006-08-15,19.51,19.75,19.47,19.68,208400
133.0,2006-08-16,19.6,20.33,19.55,20.07,287600
134.0,2006-08-17,20.06,20.14,19.84,19.88,251200
135.0,2006-08-18,19.96,20.04,18.98,19.15,440600
136.0,2006-08-21,19.16,19.57,19.04,19.54,194100
137.0,2006-08-22,19.55,19.74,19.49,19.66,181000
138.0,2006-08-23,19.61,19.62,19.2101,19.5,115500
139.0,2006-08-24,19.48,19.57,19.27,19.5,212000
140.0,2006-08-25,19.48,19.53,19.26,19.27,76800
141.0,2006-08-28,19.25,19.49,18.98,19.39,106600
142.0,2006-08-29,19.43,19.55,19.28,19.55,217300
143.0,2006-08-30,19.62,20.05,19.59,19.93,457200
144.0,2006-08-31,19.92,20.05,19.88,19.92,374300
145.0,2006-09-01,20.01,20.3599,19.92,20.28,200300
146.0,2006-09-05,20.28,20.28,19.88,20.01,175000
147.0,2006-09-06,19.95,19.95,19.52,19.65,97300
148.0,2006-09-07,19.63,19.83,19.56,19.7,106300
149.0,2006-09-08,19.75,19.85,19.62,19.79,188200
150.0,2006-09-11,19.8,20.25,19.77,20.15,219700
151.0,2006-09-12,20.1,20.99,20.09,20.98,469300
152.0,2006-09-13,21.1,22.2,21.1,22.11,472800
153.0,2006-09-14,21.99,22.25,21.68,22.2,266100
154.0,2006-09-15,22.43,22.43,21.95,22.27,278200
155.0,2006-09-18,21.2,21.2,19.65,19.88,546800
156.0,2006-09-19,19.87,20.83,19.52,20.7,328200
157.0,2006-09-20,20.5,20.96,20.4,20.42,354600
158.0,2006-09-21,20.51,20.52,19.77,20.03,420200
159.0,2006-09-22,20.0,20.08,19.55,20.01,127600
160.0,2006-09-25,20.0,20.3,19.86,20.3,65200
161.0,2006-09-26,20.17,20.34,20.07,20.34,62600
162.0,2006-09-27,20.33,20.39,19.9,20.39,92900
163.0,2006-09-28,20.49,20.66,20.39,20.55,82300
164.0,2006-09-29,20.65,20.65,19.14,19.24,603900
165.0,2006-10-02,19.25,19.25,18.55,18.82,379200
166.0,2006-10-03,18.7,19.14,18.25,18.96,684000
167.0,2006-10-04,19.25,19.68,19.19,19.35,4186800
168.0,2006-10-05,19.34,20.08,19.25,20.04,772200
169.0,2006-10-06,20.0,20.04,19.14,19.47,550900
170.0,2006-10-09,19.35,19.64,19.14,19.54,235600
171.0,2006-10-10,19.55,19.55,19.2,19.27,348300
172.0,2006-10-11,19.2,19.25,18.9,19.1,401700
173.0,2006-10-12,19.09,19.1,18.67,18.82,458600
174.0,2006-10-13,18.8,18.9,18.45,18.74,537600
175.0,2006-10-16,18.7,19.31,18.6,19.27,432500
