Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2021-04-14,340.0,346.67,335.18,336.5,1186100
1.0,2021-04-15,341.79,342.16,335.71,338.54,1198100
2.0,2021-04-16,339.07,339.86,332.98,333.0,958100
3.0,2021-04-19,330.96,333.62,318.28,324.39,1551700
4.0,2021-04-20,323.11,325.84,317.78,318.92,1477200
5.0,2021-04-21,322.45,332.22,319.57,331.79,1697700
6.0,2021-04-22,329.45,331.87,322.76,325.08,1045400
7.0,2021-04-23,327.99,334.1,326.69,332.07,1182000
8.0,2021-04-26,334.01,337.57,330.99,335.81,1039400
9.0,2021-04-27,340.0,340.0,329.26,330.49,939800
10.0,2021-04-28,329.5,330.74,324.23,324.84,983200
11.0,2021-04-29,325.92,328.73,318.66,326.36,1294900
12.0,2021-04-30,315.03,321.65,312.92,315.35,1434100
13.0,2021-05-03,317.62,318.8,308.49,311.23,1412200
14.0,2021-05-04,305.82,308.09,299.42,307.94,1592200
15.0,2021-05-05,313.17,316.74,306.4,311.92,1157100
16.0,2021-05-06,309.51,316.28,307.69,315.89,935200
17.0,2021-05-07,319.99,323.0,316.66,319.7,848300
18.0,2021-05-10,309.95,313.88,299.46,299.9,1576900
19.0,2021-05-11,291.01,301.56,289.72,300.28,987700
20.0,2021-05-12,292.54,295.76,285.89,286.74,1400300
21.0,2021-05-13,294.54,300.67,293.73,296.76,1533300
22.0,2021-05-14,298.48,309.09,296.02,305.75,1508100
23.0,2021-05-17,298.45,300.85,292.18,297.72,1352800
24.0,2021-05-18,302.37,302.99,293.48,293.92,1087600
25.0,2021-05-19,288.05,304.24,286.58,303.94,1301000
26.0,2021-05-20,305.43,315.0,305.43,313.36,1449900
27.0,2021-05-21,314.97,314.97,308.71,310.14,1049700
28.0,2021-05-24,314.34,320.12,313.81,317.55,1209100
29.0,2021-05-25,320.13,323.91,316.54,317.92,1258300
30.0,2021-05-26,319.2,322.0,315.71,317.39,1078100
31.0,2021-05-27,316.85,321.58,315.9,316.54,1195100
32.0,2021-05-28,318.19,320.31,316.46,316.89,885500
33.0,2021-06-01,319.89,324.75,314.39,315.73,1024700
34.0,2021-06-02,316.1,318.48,312.8,315.59,881700
35.0,2021-06-03,311.78,312.46,307.33,308.78,1243000
36.0,2021-06-04,311.38,318.07,311.15,316.99,898400
37.0,2021-06-07,315.38,319.33,312.63,318.55,1098500
38.0,2021-06-08,322.6,323.65,311.85,313.8,615000
39.0,2021-06-09,321.13,322.82,313.86,314.16,748000
40.0,2021-06-10,316.12,320.6,314.53,319.31,690900
41.0,2021-06-11,320.65,321.35,317.4,320.11,770300
42.0,2021-06-14,320.93,325.91,318.93,325.21,634300
43.0,2021-06-15,324.45,326.59,319.29,320.59,718400
