Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2007-12-31,16.35,16.74,16.06,16.43,6900600
1.0,2008-01-02,16.12,16.22,15.45,15.59,12440181
2.0,2008-01-03,15.61,15.77,15.31,15.35,8579508
3.0,2008-01-04,15.16,15.2,14.46,14.5,10752866
4.0,2008-01-07,14.56,15.49,14.41,15.22,9156245
5.0,2008-01-08,15.3,15.36,14.18,14.2,9733029
6.0,2008-01-09,14.11,14.35,13.51,14.34,8445023
7.0,2008-01-10,13.63,14.95,13.54,14.58,9769618
8.0,2008-01-11,14.45,16.01,14.25,15.25,13394659
9.0,2008-01-14,15.15,15.36,14.81,15.05,6130960
10.0,2008-01-15,14.88,14.92,14.38,14.57,5717773
11.0,2008-01-16,14.48,15.73,14.48,15.47,11248027
12.0,2008-01-17,15.5,15.93,14.85,14.91,9026729
13.0,2008-01-18,15.06,15.23,14.07,14.34,8225348
14.0,2008-01-22,12.64,16.6,12.64,15.32,14291339
15.0,2008-01-23,14.0,16.8,14.0,15.43,34325310
16.0,2008-01-24,15.46,16.5,15.3,16.49,30640726
17.0,2008-01-25,16.93,17.25,16.09,16.36,17357667
18.0,2008-01-28,16.35,16.89,16.02,16.85,10708252
19.0,2008-01-29,16.89,17.4,16.61,17.32,15946730
20.0,2008-01-30,17.23,17.82,16.76,17.02,16320016
21.0,2008-01-31,16.88,17.97,16.67,17.77,17429690
22.0,2008-02-01,17.83,18.14,17.65,17.96,10610968
23.0,2008-02-04,17.95,17.95,17.22,17.28,8704618
24.0,2008-02-05,17.23,17.28,16.71,16.72,8372441
25.0,2008-02-06,16.83,17.25,16.48,16.69,10605425
26.0,2008-02-07,16.62,17.2,16.53,16.84,9302007
27.0,2008-02-08,16.72,16.81,16.0,16.23,8990447
28.0,2008-02-11,16.25,16.45,16.02,16.2,6749096
29.0,2008-02-12,16.26,17.04,16.26,16.62,8342888
30.0,2008-02-13,16.77,17.01,16.39,16.68,6619007
31.0,2008-02-14,16.67,16.89,16.23,16.31,6120044
32.0,2008-02-15,16.29,16.58,16.0,16.4,5079041
