Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2025-08-13,0.4627,0.4989,0.39,0.4715,12304529
1.0,2025-08-14,0.459,0.459,0.4,0.4328,886969
2.0,2025-08-15,0.42,0.445,0.4015,0.4335,536770
3.0,2025-08-18,0.4399,0.4778,0.4215,0.4591,982435
4.0,2025-08-19,0.458,0.458,0.4224,0.4349,545619
5.0,2025-08-20,0.4219,0.4432,0.4011,0.4281,303786
6.0,2025-08-21,0.4399,0.45,0.4152,0.4418,442422
7.0,2025-08-22,0.45,0.4789,0.4268,0.4748,782434
8.0,2025-08-25,0.4698,0.51,0.46,0.486,1108374
9.0,2025-08-26,0.4795,0.4999,0.4795,0.489,297232
10.0,2025-08-27,0.4979,0.5248,0.4795,0.5,791765
11.0,2025-08-28,0.51,0.5102,0.48,0.5044,356037
12.0,2025-08-29,0.517,0.517,0.481,0.498,298411
13.0,2025-09-02,0.4493,0.4884,0.39,0.4259,2832764
14.0,2025-09-03,0.43,0.43,0.38,0.3801,591935
15.0,2025-09-04,0.3866,0.415,0.3825,0.405,498536
16.0,2025-09-05,0.4029,0.4048,0.37,0.3768,825065
17.0,2025-09-08,0.325,0.34,0.3248,0.3289,1359831
18.0,2025-09-09,0.325,0.3799,0.3208,0.3738,706705
19.0,2025-09-10,0.3626,0.4049,0.3599,0.3875,1713835
20.0,2025-09-11,0.4339,0.6314,0.4339,0.5733,119443148
21.0,2025-09-12,0.47,0.4734,0.38,0.3987,7424201
22.0,2025-09-15,0.4079,0.4388,0.398,0.42,2788250
23.0,2025-09-16,0.42,0.4799,0.4166,0.4698,2351364
24.0,2025-09-17,0.5353,0.545,0.4103,0.451,80892996
25.0,2025-09-18,0.446,0.5,0.44,0.4795,6848334
26.0,2025-09-19,0.4778,0.598,0.47,0.5444,17389825
27.0,2025-09-22,0.657,0.785,0.57,0.6072,70492348
28.0,2025-09-23,0.8284,1.15,0.8,0.8449,221573817
29.0,2025-09-24,0.9497,0.9686,0.86,0.921,35028643
30.0,2025-09-25,1.05,1.44,1.03,1.38,78966756
31.0,2025-09-26,1.72,2.55,1.63,1.84,157485848
32.0,2025-09-29,1.945,2.655,1.92,2.5,73777906
33.0,2025-09-30,2.13,2.35,1.73,1.84,34821783
34.0,2025-10-01,2.065,2.15,1.85,1.88,19344564
35.0,2025-10-02,1.9,2.1,1.81,1.9,14009036
36.0,2025-10-03,1.825,1.83,1.47,1.59,22656176
37.0,2025-10-06,1.74,1.9,1.61,1.79,18781476
38.0,2025-10-07,1.7,1.765,1.56,1.67,10439346
39.0,2025-10-08,1.65,1.73,1.51,1.54,8276696
40.0,2025-10-09,1.56,3.18,1.55,2.83,166766639
41.0,2025-10-10,2.805,2.925,2.33,2.6,28675798
42.0,2025-10-13,2.56,2.61,2.17,2.35,13969132
43.0,2025-10-14,2.35,3.48,2.35,3.07,54550525
44.0,2025-10-15,3.69,4.3,3.23,3.35,35064230
45.0,2025-10-16,3.74,4.1,2.9,3.15,24243660
46.0,2025-10-17,3.4,4.71,3.2,4.55,33819501
47.0,2025-10-20,5.2,6.21,5.06,5.64,41146605
48.0,2025-10-21,4.77,4.95,3.81,4.33,23277532
49.0,2025-10-22,3.87,4.9499,3.625,3.79,21663983
50.0,2025-10-23,4.2,4.4,3.84,3.95,11133643
51.0,2025-10-24,4.16,6.2,4.13,5.86,51810821
52.0,2025-10-27,5.52,6.71,5.01,6.27,28762639
53.0,2025-10-28,6.03,6.4813,5.61,5.64,12465135
54.0,2025-10-29,5.84,5.9347,5.2747,5.53,8418463
55.0,2025-10-30,5.62,6.23,4.88,5.59,11162478
56.0,2025-10-31,5.875,6.32,5.435,5.665,11138073
57.0,2025-11-03,5.91,7.59,5.62,6.32,27475417
58.0,2025-11-04,5.89,6.25,5.53,5.82,10941025
59.0,2025-11-05,5.96,6.1,5.65,5.67,8596275
60.0,2025-11-06,6.49,7.0199,5.9,6.04,44770335
61.0,2025-11-07,5.6,5.74,4.675,5.37,16226437
62.0,2025-11-10,5.59,5.63,4.92,5.085,8213061
63.0,2025-11-11,4.94,4.94,4.3,4.4,8913312
64.0,2025-11-12,4.43,5.0086,4.12,4.97,9727119
65.0,2025-11-13,4.59,4.73,4.12,4.235,6496225
66.0,2025-11-14,3.26,4.46,3.25,4.015,10779505
67.0,2025-11-17,3.93,4.09,3.82,3.99,3381306
68.0,2025-11-18,3.78,4.5,3.7,4.28,4962224
69.0,2025-11-19,4.29,4.4,3.68,3.785,5002646
70.0,2025-11-20,4.0,4.25,3.28,3.33,7254709
71.0,2025-11-21,3.36,3.84,3.23,3.8,6032522
72.0,2025-11-24,3.79,4.55,3.76,4.4,8739518
73.0,2025-11-25,4.23,4.775,3.95,4.68,6249681
74.0,2025-11-26,4.78,5.35,4.76,5.07,10999163
75.0,2025-11-28,5.07,5.16,4.91,5.09,3325416
76.0,2025-12-01,4.86,5.0099,4.63,4.84,3931221
77.0,2025-12-02,4.91,5.35,4.33,4.375,7665634
78.0,2025-12-03,4.42,4.42,3.87,4.23,4791355
79.0,2025-12-04,4.16,4.53,4.055,4.425,3934727
80.0,2025-12-05,4.4,4.44,4.1,4.32,3604085
81.0,2025-12-08,4.28,4.67,4.13,4.36,7123956
82.0,2025-12-09,4.3,4.32,3.8,4.0,7608889
83.0,2025-12-10,3.89,3.9393,3.52,3.56,6846426
84.0,2025-12-11,3.57,3.67,3.39,3.6,4372127
85.0,2025-12-12,3.53,3.79,3.24,3.35,8206984
86.0,2025-12-15,3.35,3.42,2.88,3.205,7561555
87.0,2025-12-16,3.0,3.415,3.0,3.36,3923441
88.0,2025-12-17,3.4,3.68,3.285,3.3,4290481
89.0,2025-12-18,3.35,3.75,3.35,3.63,4409932
90.0,2025-12-19,3.63,3.9,3.52,3.77,6931372
91.0,2025-12-22,3.8,4.4999,3.72,4.28,5899694
92.0,2025-12-23,4.185,4.84,4.11,4.78,7015280
93.0,2025-12-24,4.71,4.97,4.476,4.725,3334860
94.0,2025-12-26,4.6,4.74,4.383,4.56,2953214
95.0,2025-12-29,4.31,4.5799,2.66,2.69,17307212
96.0,2025-12-30,2.75,2.81,2.01,2.37,16093571
97.0,2025-12-31,2.3,2.93,2.285,2.93,9787735
98.0,2026-01-02,2.95,3.46,2.63,3.44,9833997
99.0,2026-01-05,3.495,3.645,3.2,3.56,6187059
100.0,2026-01-06,3.595,3.65,3.23,3.27,3800446
101.0,2026-01-07,3.32,3.6084,3.11,3.2,5013939
102.0,2026-01-08,3.15,3.6201,3.13,3.57,5266406
103.0,2026-01-09,3.57,3.71,3.485,3.58,3399571
104.0,2026-01-12,3.58,3.77,3.42,3.69,2516782
105.0,2026-01-13,3.76,4.45,3.76,4.41,6367030
106.0,2026-01-14,4.32,4.4,4.04,4.14,3170118
107.0,2026-01-15,4.14,4.75,4.11,4.55,5870448
108.0,2026-01-16,4.5,4.58,4.22,4.33,3020140
109.0,2026-01-20,5.02,6.32,5.0,5.49,22304343
110.0,2026-01-21,5.88,6.99,5.52,6.85,18911524
111.0,2026-01-22,7.18,9.445,7.16,8.06,22745232
112.0,2026-01-23,7.06,7.75,6.92,7.295,9717903
113.0,2026-01-26,7.38,7.5,6.2,6.34,5849945
114.0,2026-01-27,6.3,7.6,5.82,7.6,7708206
115.0,2026-01-28,7.658,8.27,6.8,7.68,9167184
116.0,2026-01-29,7.44,8.38,6.92,7.37,5070153
117.0,2026-01-30,7.26,7.77,6.2,6.86,5023504
118.0,2026-02-02,6.46,6.7,5.87,6.11,4297079
119.0,2026-02-03,6.2,6.78,5.85,6.665,4170273
120.0,2026-02-04,6.55,6.97,5.68,5.8,4636287
121.0,2026-02-05,5.4,5.9,5.07,5.21,5434081
122.0,2026-02-06,5.53,5.55,4.95,5.06,5596831
123.0,2026-02-09,5.06,5.15,4.78,5.07,4774033
124.0,2026-02-10,4.98,5.12,4.85,4.99,2824348
125.0,2026-02-11,5.06,5.39,4.71,5.02,2888094
126.0,2026-02-12,5.04,5.13,4.555,4.6,2340384
127.0,2026-02-13,4.63,5.055,4.4,4.92,2834406
128.0,2026-02-17,4.84,4.8954,4.12,4.265,2993439
129.0,2026-02-18,4.26,4.81,4.2,4.73,2205882
130.0,2026-02-19,4.71,4.84,4.5,4.84,1517275
131.0,2026-02-20,4.73,4.89,4.62,4.75,1977623
132.0,2026-02-23,4.78,5.235,4.6617,5.1,4452492
133.0,2026-02-24,5.19,5.35,4.75,5.04,3220064
134.0,2026-02-25,5.13,5.33,4.9,4.9,3318905
135.0,2026-02-26,4.92,5.15,4.7,4.93,2928592
136.0,2026-02-27,4.87,4.89,4.43,4.58,2898022
137.0,2026-03-02,4.41,4.5256,4.28,4.4,1918238
138.0,2026-03-03,4.34,4.36,4.08,4.31,2198141
139.0,2026-03-04,4.35,4.83,4.3469,4.77,3007777
140.0,2026-03-05,4.69,4.8997,4.55,4.71,2174981
141.0,2026-03-06,4.53,4.85,4.475,4.56,2183257
142.0,2026-03-09,4.55,4.6,4.31,4.59,1959409
143.0,2026-03-10,4.64,4.66,4.4199,4.51,1460326
144.0,2026-03-11,4.41,5.2656,4.3804,5.26,4521397
145.0,2026-03-12,5.18,5.35,4.88,4.92,3143364
146.0,2026-03-13,5.055,5.45,4.9,5.02,2728345
147.0,2026-03-16,5.12,6.08,5.08,5.56,5434035
148.0,2026-03-17,6.155,6.34,5.64,5.98,7316410
149.0,2026-03-18,5.55,5.55,4.85,5.3,7320456
150.0,2026-03-19,5.09,5.09,4.65,4.91,5291947
151.0,2026-03-20,4.89,5.197,4.77,4.955,3105800
152.0,2026-03-23,5.03,5.29,4.95,4.96,2893400
153.0,2026-03-24,4.95,5.14,4.68,4.75,3086700
154.0,2026-03-25,4.84,4.93,4.38,4.45,3354400
155.0,2026-03-26,4.4,4.76,4.26,4.31,3040600
156.0,2026-03-27,4.25,4.3,3.98,4.14,2472300
