Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2011-06-15,20.0,26.0,17.35,17.43,41967549
1.0,2011-06-16,16.99,16.99,12.99,13.2799,15298418
2.0,2011-06-17,13.0,13.6,12.16,13.36,4644671
3.0,2011-06-20,13.43,15.39,13.27,14.5425,3072756
4.0,2011-06-21,15.24,15.35,13.27,13.5,3269562
5.0,2011-06-22,14.07,14.18,13.02,13.35,1979511
6.0,2011-06-23,13.23,14.12,13.08,14.08,1446297
7.0,2011-06-24,14.39,15.3,14.021,15.25,1447215
8.0,2011-06-27,15.55,17.19,15.55,16.59,2384016
9.0,2011-06-28,17.18,18.0,16.95,17.52,2065207
10.0,2011-06-29,18.48,18.94,17.12,17.5,2335592
11.0,2011-06-30,18.51,19.0,18.0,18.8999,1320561
12.0,2011-07-01,19.46,21.2,18.97,20.05,3384860
13.0,2011-07-05,20.45,20.45,18.7,18.97,1553629
14.0,2011-07-06,18.9,19.0,17.61,18.43,2088936
15.0,2011-07-07,19.07,19.25,18.63,18.99,1051651
16.0,2011-07-08,18.34,19.6,18.3,19.32,1098318
17.0,2011-07-11,18.78,19.79,18.38,19.2,1082317
18.0,2011-07-12,19.1,19.1,17.97,17.98,847834
19.0,2011-07-13,18.47,18.5799,17.66,17.91,753293
20.0,2011-07-14,18.12,18.13,16.65,17.83,1681172
21.0,2011-07-15,18.05,18.25,17.15,17.81,804358
22.0,2011-07-18,17.13,17.52,16.67,16.9,1021393
23.0,2011-07-19,16.98,17.37,16.84,17.23,436634
24.0,2011-07-20,17.63,17.95,17.0,17.87,668363
25.0,2011-07-21,18.15,19.06,17.96,18.74,892780
26.0,2011-07-22,18.6,18.6,17.85,17.99,554843
27.0,2011-07-25,18.75,18.75,17.5,17.8,1066099
28.0,2011-07-26,17.98,18.13,17.2,17.26,822080
29.0,2011-07-27,17.2,17.25,16.5,16.55,532702
30.0,2011-07-28,16.58,16.85,15.88,16.2599,980664
31.0,2011-07-29,15.95,15.97,14.68,15.05,2482099
32.0,2011-08-01,16.43,16.7,13.7,14.28,3018472
33.0,2011-08-02,14.3,14.37,13.51,14.0,1342562
34.0,2011-08-03,14.13,14.13,13.0,13.46,1755440
35.0,2011-08-04,13.24,13.95,13.1301,13.6001,1470447
36.0,2011-08-05,14.08,14.17,13.2,13.52,845859
37.0,2011-08-08,12.63,13.0,12.25,12.5,1273586
38.0,2011-08-09,12.79,13.2191,11.0,11.74,1760562
39.0,2011-08-10,11.79,11.97,11.18,11.71,478983
40.0,2011-08-11,12.43,12.77,12.05,12.2,558554
41.0,2011-08-12,12.84,12.89,12.2,12.88,437348
42.0,2011-08-15,13.39,13.5,12.88,13.29,500558
43.0,2011-08-16,13.46,14.09,13.05,13.82,652323
44.0,2011-08-17,14.25,14.55,14.0,14.52,582786
45.0,2011-08-18,14.15,14.15,12.14,12.95,1034643
46.0,2011-08-19,12.63,13.48,12.51,13.02,727017
47.0,2011-08-22,13.59,13.59,11.6301,12.15,1414441
48.0,2011-08-23,12.69,12.69,11.25,12.15,654612
49.0,2011-08-24,12.11,12.41,11.9,12.01,695810
50.0,2011-08-25,12.26,12.49,11.419,12.39,1646193
51.0,2011-08-26,13.14,13.9,12.7,13.42,3614062
52.0,2011-08-29,14.02,14.2,13.42,13.7808,1028693
53.0,2011-08-30,13.98,14.1,13.45,13.76,584526
54.0,2011-08-31,13.98,14.0,12.82,13.21,1164680
55.0,2011-09-01,13.31,13.31,12.55,12.8,618549
56.0,2011-09-02,12.43,12.555,11.9,12.0392,734518
57.0,2011-09-06,11.75,12.26,11.7,12.11,519975
58.0,2011-09-07,12.36,12.58,12.3,12.375,497575
59.0,2011-09-08,12.26,12.31,11.01,11.02,1628858
60.0,2011-09-09,11.15,11.55,10.33,10.35,1533711
61.0,2011-09-12,10.25,10.49,9.33,9.86,1633197
62.0,2011-09-13,9.9,10.45,9.9,10.2,784510
63.0,2011-09-14,10.35,10.49,9.99,10.23,632950
64.0,2011-09-15,10.11,10.39,9.94,10.2696,740087
65.0,2011-09-16,10.3,10.45,10.08,10.222,492628
66.0,2011-09-19,9.88,10.92,9.8,10.78,770846
67.0,2011-09-20,10.9,10.95,10.42,10.46,635958
68.0,2011-09-21,10.33,10.61,9.8,10.04,823234
69.0,2011-09-22,9.8,10.24,9.68,10.05,1066908
70.0,2011-09-23,10.5,11.19,10.28,10.8,792372
71.0,2011-09-26,11.1,11.4,10.76,11.36,656007
72.0,2011-09-27,11.87,12.24,11.66,12.08,765432
73.0,2011-09-28,12.19,12.82,12.17,12.8,769852
74.0,2011-09-29,12.98,13.6,12.56,13.16,1041698
75.0,2011-09-30,13.03,14.15,12.3,14.15,2124298
76.0,2011-10-03,15.98,15.98,12.25,13.1201,866165
77.0,2011-10-04,13.48,13.48,11.7,12.19,749311
78.0,2011-10-05,12.5,12.52,12.01,12.13,290219
79.0,2011-10-06,12.05,13.2,12.05,13.141,561374
80.0,2011-10-07,13.18,13.4,12.6,13.1,363457
81.0,2011-10-10,13.33,13.6,13.1,13.44,317252
82.0,2011-10-11,13.45,14.49,13.11,14.3,442593
83.0,2011-10-12,14.5,14.75,14.06,14.12,548819
84.0,2011-10-13,14.07,15.0,14.07,14.74,653111
85.0,2011-10-14,15.08,15.66,14.91,15.3,1011074
86.0,2011-10-17,15.5,15.75,14.96,15.23,581417
87.0,2011-10-18,15.7,15.97,14.81,15.29,583111
88.0,2011-10-19,15.25,15.55,14.7,14.8,446442
89.0,2011-10-20,14.81,15.29,14.79,15.05,342838
90.0,2011-10-21,15.59,15.59,14.82,15.11,471994
91.0,2011-10-24,15.16,15.37,14.93,14.99,355622
92.0,2011-10-25,14.95,15.04,14.11,14.22,619158
93.0,2011-10-26,14.31,14.44,13.75,14.015,348191
94.0,2011-10-27,14.99,14.99,14.44,14.77,449056
95.0,2011-10-28,14.73,15.16,14.51,15.12,292309
96.0,2011-10-31,15.0,15.97,14.97,15.78,609330
97.0,2011-11-01,15.22,15.64,14.31,14.46,598235
98.0,2011-11-02,14.97,15.2,14.55,14.84,295350
99.0,2011-11-03,15.0,15.35,14.68,15.32,291353
100.0,2011-11-04,15.28,15.44,15.02,15.24,173564
101.0,2011-11-07,15.25,15.3499,14.99,15.1,151517
102.0,2011-11-08,15.28,15.72,14.97,15.66,264737
103.0,2011-11-09,15.3,15.89,15.07,15.34,421845
104.0,2011-11-10,15.45,15.474,14.39,14.79,628471
105.0,2011-11-11,14.92,14.96,13.52,13.73,681507
106.0,2011-11-14,13.8,13.92,12.45,12.7,880267
107.0,2011-11-15,12.62,12.95,12.12,12.78,577638
108.0,2011-11-16,12.74,12.76,12.1,12.14,502755
109.0,2011-11-17,12.27,12.55,12.11,12.27,432242
110.0,2011-11-18,12.5,12.95,12.35,12.84,618375
111.0,2011-11-21,12.5,12.685,12.01,12.46,738360
112.0,2011-11-22,12.53,12.59,11.65,11.821,1316224
113.0,2011-11-23,11.26,11.59,10.315,10.51,2157087
