Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,43.0,43.0625,38.625,38.9375,343900
1.0,2000-01-04,39.0,39.0,35.25,37.1875,357400
2.0,2000-01-05,35.375,40.625,35.0,39.75,158700
3.0,2000-01-06,39.5,40.0,38.8125,38.9375,203200
4.0,2000-01-07,39.1875,41.625,38.75,41.125,70000
5.0,2000-01-10,42.125,48.25,39.7188,42.0,686100
6.0,2000-01-11,41.6562,45.375,39.75,43.0,306000
7.0,2000-01-12,44.25,45.0,40.875,40.875,204000
8.0,2000-01-13,40.625,40.625,38.5,39.75,261900
9.0,2000-01-14,39.625,42.5,38.0,39.875,173200
10.0,2000-01-18,40.125,42.125,39.5,40.125,138300
11.0,2000-01-19,41.625,48.25,39.0,48.25,149600
12.0,2000-01-20,50.375,67.5,49.625,59.875,848000
13.0,2000-01-21,62.6875,70.0,62.0,63.75,577800
14.0,2000-01-24,63.6562,63.9375,59.75,61.625,175600
15.0,2000-01-25,60.75,62.125,53.5,56.25,80100
16.0,2000-01-26,60.9375,60.9375,52.0,58.5,142500
17.0,2000-01-27,56.75,59.25,54.75,55.375,80400
18.0,2000-01-28,55.1875,57.0,52.75,52.75,58900
19.0,2000-01-31,52.125,54.9688,48.0,50.0625,43600
20.0,2000-02-01,50.0625,54.75,49.875,52.0,119000
21.0,2000-02-02,52.375,54.5,52.0,53.875,72000
22.0,2000-02-03,54.875,57.125,52.75,56.375,118700
23.0,2000-02-04,57.875,68.25,57.0,67.0,323300
24.0,2000-02-07,68.125,68.25,63.0,66.125,110400
25.0,2000-02-08,65.375,68.0,65.375,66.5,103200
26.0,2000-02-09,66.375,68.0,63.375,63.625,143600
27.0,2000-02-10,65.0,65.0,56.0,58.5,166100
28.0,2000-02-11,61.5,65.0,59.875,60.3125,214800
29.0,2000-02-14,62.3125,64.75,59.875,61.25,62600
30.0,2000-02-15,60.875,63.0,59.25,62.75,93500
31.0,2000-02-16,64.75,72.0,64.75,68.75,338900
32.0,2000-02-17,71.0,83.75,69.0,83.1875,531400
33.0,2000-02-18,83.0,86.375,76.0,85.0,102800
34.0,2000-02-22,81.625,84.0,78.125,83.0,335500
35.0,2000-02-23,83.0,85.6875,75.375,83.75,163000
36.0,2000-02-24,84.25,85.375,76.875,78.125,270400
37.0,2000-02-25,78.0,80.5,77.5,78.75,134300
38.0,2000-02-28,78.6875,78.75,70.9375,75.625,94900
39.0,2000-02-29,76.125,79.9375,76.125,79.6875,107700
40.0,2000-03-01,79.9375,80.375,70.3125,77.8125,64700
41.0,2000-03-02,77.75,78.1875,75.5,76.0,66800
42.0,2000-03-03,74.0,80.0,74.0,79.5,199400
43.0,2000-03-06,78.625,81.875,77.25,80.0625,281900
44.0,2000-03-07,80.875,85.125,74.375,74.375,299800
45.0,2000-03-08,80.0,80.0,68.5,75.5,173900
46.0,2000-03-09,76.0,78.75,65.25,65.25,126800
47.0,2000-03-10,69.375,76.0938,69.375,73.875,172700
48.0,2000-03-13,70.25,75.875,69.0,73.0,201900
49.0,2000-03-14,73.5625,75.125,65.5,66.3125,292400
50.0,2000-03-15,71.0,71.0,65.0,66.625,247000
51.0,2000-03-16,66.125,66.125,60.25,62.3125,123500
52.0,2000-03-17,60.9375,64.5,59.0,59.375,82600
53.0,2000-03-20,61.0,61.5625,52.125,52.9375,176000
54.0,2000-03-21,53.0,55.0,43.375,51.625,301900
55.0,2000-03-22,52.5,57.375,52.375,53.75,191700
56.0,2000-03-23,53.875,55.25,51.125,54.0625,283200
57.0,2000-03-24,54.125,56.375,52.8125,55.125,176800
58.0,2000-03-27,55.25,55.25,51.0,52.125,138800
59.0,2000-03-28,52.0,52.25,51.0,52.125,87300
60.0,2000-03-29,52.0625,52.125,48.625,48.9375,111900
61.0,2000-03-30,48.8125,49.0,42.0625,43.625,283300
62.0,2000-03-31,47.0,66.375,44.75,55.6875,284300
63.0,2000-04-03,53.0,53.125,48.25,52.625,125700
64.0,2000-04-04,52.0625,54.0,40.75,48.875,179400
65.0,2000-04-05,47.0,54.0,44.5,54.0,138200
66.0,2000-04-06,55.0,57.0,53.75,55.875,200100
67.0,2000-04-07,54.5,59.0,53.25,53.9375,81300
68.0,2000-04-10,53.9375,53.9375,45.625,45.6875,36500
69.0,2000-04-11,45.0,45.75,40.375,41.5625,216700
70.0,2000-04-12,41.25,44.0,38.0,40.5,116300
71.0,2000-04-13,39.75,41.5,39.5,40.3125,88400
72.0,2000-04-14,39.9062,39.9062,31.75,32.4062,744900
73.0,2000-04-17,32.0,36.0625,28.0,31.1875,129000
74.0,2000-04-18,31.5,42.625,31.3125,38.125,113000
75.0,2000-04-19,40.0,46.25,38.0,46.25,195400
76.0,2000-04-20,44.0,45.0,36.75,37.0,246200
77.0,2000-04-24,37.0,39.375,34.5625,36.75,108000
78.0,2000-04-25,39.0,42.0,37.9062,40.0,89500
79.0,2000-04-26,38.25,39.875,37.75,38.875,105900
80.0,2000-04-27,38.875,43.875,38.4375,41.875,100900
81.0,2000-04-28,42.1562,46.0,42.125,45.375,71200
82.0,2000-05-01,45.75,53.5625,45.75,50.5,138700
83.0,2000-05-02,49.125,50.5,46.125,46.125,151300
84.0,2000-05-03,46.125,46.1875,40.0,41.375,276600
85.0,2000-05-04,41.5625,43.625,41.5625,42.25,129900
86.0,2000-05-05,42.1875,48.375,42.1875,44.125,60700
87.0,2000-05-08,44.75,44.75,41.125,41.25,27300
88.0,2000-05-09,41.0,42.4375,35.5,38.1875,138700
89.0,2000-05-10,38.125,38.125,34.5,37.25,61000
90.0,2000-05-11,37.3125,40.375,37.3125,38.625,67600
91.0,2000-05-12,38.5,39.9375,38.5,39.875,31600
92.0,2000-05-15,38.5625,44.25,37.8438,44.0625,47300
