Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,37.94,37.94,32.5,35.12,285202
1.0,2000-01-04,34.0,35.06,31.12,32.81,280601
2.0,2000-01-05,32.56,32.62,30.0,31.87,148401
3.0,2000-01-06,31.31,31.94,30.25,30.25,289605
4.0,2000-01-07,30.09,31.59,30.09,31.28,229624
5.0,2000-01-10,32.0,32.25,31.19,31.94,374203
6.0,2000-01-11,32.25,35.12,31.9,34.06,291800
7.0,2000-01-12,34.25,34.25,33.12,33.75,154600
8.0,2000-01-13,33.69,40.5,33.69,40.04,486400
9.0,2000-01-14,40.62,43.69,40.38,42.88,529200
10.0,2000-01-18,43.51,54.17,43.39,51.74,660405
11.0,2000-01-19,49.02,50.14,45.76,50.02,504861
12.0,2000-01-20,49.57,60.54,49.57,59.94,433697
13.0,2000-01-21,57.62,62.5,57.44,60.5,437800
14.0,2000-01-24,60.5,62.0,53.25,53.53,481600
15.0,2000-01-25,53.5,53.62,51.25,52.19,3450032
16.0,2000-01-26,53.05,53.64,52.42,52.7,1108144
17.0,2000-01-27,53.06,53.09,52.59,52.62,570402
18.0,2000-01-28,51.5,52.66,48.84,48.88,418800
19.0,2000-01-31,49.98,50.8,46.74,46.86,515753
20.0,2000-02-01,48.25,48.37,46.87,47.06,289401
21.0,2000-02-02,47.19,47.69,47.0,47.09,350606
22.0,2000-02-03,47.37,50.44,47.34,49.1,791652
23.0,2000-02-04,49.47,50.65,48.12,48.44,391402
24.0,2000-02-07,49.75,50.25,48.25,48.31,268000
25.0,2000-02-08,48.83,49.55,48.3,48.89,646582
26.0,2000-02-09,49.06,51.87,49.0,50.25,313604
27.0,2000-02-10,50.84,54.0,50.25,53.12,497202
28.0,2000-02-11,53.25,53.69,52.32,52.75,238800
29.0,2000-02-14,52.87,53.5,52.37,53.31,172400
30.0,2000-02-15,56.28,56.88,53.5,53.53,1302788
31.0,2000-02-16,53.88,54.51,51.32,51.45,509753
32.0,2000-02-17,50.53,50.53,48.88,49.41,394398
33.0,2000-02-18,49.44,49.75,45.07,47.63,678686
34.0,2000-02-22,48.56,48.84,46.5,46.62,241401
35.0,2000-02-23,46.72,48.0,46.0,47.5,194600
36.0,2000-02-24,47.69,48.25,45.5,46.62,201001
37.0,2000-02-25,47.09,47.4,42.84,46.72,512113
38.0,2000-02-28,46.56,50.47,46.41,48.47,394249
39.0,2000-02-29,48.34,50.09,48.34,49.91,435480
40.0,2000-03-01,50.25,52.0,50.06,51.31,422601
41.0,2000-03-02,51.49,51.52,47.39,48.01,201953
42.0,2000-03-03,48.0,50.06,48.0,48.5,216800
43.0,2000-03-06,49.0,49.0,45.5,46.0,158400
44.0,2000-03-07,45.59,48.0,45.12,46.0,357801
45.0,2000-03-08,48.0,50.12,46.88,49.62,412400
46.0,2000-03-09,50.44,61.0,50.0,60.25,670402
47.0,2000-03-10,60.44,60.44,55.5,56.03,400600
48.0,2000-03-13,53.0,68.5,53.0,61.25,527000
49.0,2000-03-14,65.49,65.49,60.85,62.41,417170
50.0,2000-03-15,61.16,61.79,55.2,57.5,192909
51.0,2000-03-16,58.5,62.38,56.5,61.38,347400
52.0,2000-03-17,60.09,64.97,60.03,62.34,458630
53.0,2000-03-20,62.5,63.0,55.0,58.06,260800
54.0,2000-03-21,57.13,67.88,45.0,65.97,686600
55.0,2000-03-22,70.0,75.0,67.0,72.19,862700
56.0,2000-03-23,74.75,75.88,72.63,74.75,560300
57.0,2000-03-24,75.13,76.0,69.0,71.63,510100
58.0,2000-03-27,72.06,84.0,70.63,76.88,572900
59.0,2000-03-28,78.13,81.38,77.5,78.91,610200
60.0,2000-03-29,79.0,81.63,68.88,78.0,597300
61.0,2000-03-30,78.0,82.13,70.0,81.5,702900
62.0,2000-03-31,82.25,94.75,78.5,86.25,612400
63.0,2000-04-03,86.75,90.75,70.25,77.0,599400
64.0,2000-04-04,74.5,76.88,47.75,57.88,961800
65.0,2000-04-05,57.88,75.75,57.69,68.94,928200
66.0,2000-04-06,71.13,75.38,66.69,75.0,379900
67.0,2000-04-07,73.12,74.92,66.7,73.06,255487
68.0,2000-04-10,76.0,77.19,66.38,67.88,348900
69.0,2000-04-11,66.5,71.88,55.5,64.88,419500
70.0,2000-04-12,64.5,67.88,60.38,63.56,356300
71.0,2000-04-13,64.17,64.17,40.88,40.88,944651
72.0,2000-04-14,49.81,50.13,38.44,41.88,1238800
73.0,2000-04-17,38.63,41.5,32.0,35.63,886100
74.0,2000-04-18,39.13,44.94,36.0,44.13,536000
75.0,2000-04-19,44.0,49.25,43.0,46.0,573300
76.0,2000-04-20,46.25,48.88,41.25,44.25,270400
77.0,2000-04-24,41.63,41.75,36.94,38.56,286500
78.0,2000-04-25,39.25,48.5,39.25,46.38,316700
79.0,2000-04-26,46.5,46.5,43.25,44.5,344100
80.0,2000-04-27,40.31,45.75,40.0,45.25,206100
81.0,2000-04-28,45.38,52.0,44.5,48.88,660400
82.0,2000-05-01,50.0,56.88,49.0,56.0,495800
83.0,2000-05-02,57.38,68.0,55.25,63.0,1627400
84.0,2000-05-03,63.5,68.54,57.56,64.0,565147
85.0,2000-05-04,62.97,63.0,59.0,60.0,393900
86.0,2000-05-05,60.35,60.97,56.97,60.97,652746
87.0,2000-05-08,60.5,60.63,57.94,58.63,149500
88.0,2000-05-09,58.88,59.0,52.94,55.75,162900
89.0,2000-05-10,54.81,55.25,50.25,54.38,409100
90.0,2000-05-11,51.75,55.0,51.56,52.5,302600
91.0,2000-05-12,52.5,52.75,51.13,52.13,334600
92.0,2000-05-15,51.75,57.88,51.5,57.44,397699
93.0,2000-05-16,58.75,59.5,54.88,57.88,316700
94.0,2000-05-17,58.0,63.63,57.0,62.25,479500
95.0,2000-05-18,62.31,65.13,59.88,62.63,570500
96.0,2000-05-19,63.63,64.38,60.38,62.56,409600
97.0,2000-05-22,62.0,63.63,52.88,58.5,546500
98.0,2000-05-23,55.38,59.0,54.75,56.44,458700
99.0,2000-05-24,56.38,57.5,53.25,56.63,618600
100.0,2000-05-25,57.94,60.0,55.75,56.5,472700
101.0,2000-05-26,56.0,56.75,53.5,55.81,114500
102.0,2000-05-30,55.81,65.0,55.75,64.13,528500
103.0,2000-05-31,61.75,70.81,61.63,69.88,865500
104.0,2000-06-01,70.88,74.13,70.38,73.19,701800
105.0,2000-06-02,75.63,77.0,71.75,72.81,443600
