Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2008-06-13,7.35,7.65,7.0,7.45,250901500
1.0,2008-06-17,7.9,8.05,7.7,7.8,121487000
2.0,2008-06-19,7.8,7.9,7.8,7.85,58891800
3.0,2008-06-20,7.85,7.9,7.7,7.8,61271800
4.0,2008-06-23,7.8,7.9,7.75,7.8,100392300
5.0,2008-06-24,7.8,7.8,7.55,7.7,56937400
6.0,2008-06-25,7.7,7.7,7.4,7.55,68547200
7.0,2008-07-02,7.35,7.5,7.2,7.25,60289500
8.0,2008-07-07,7.1,7.2,6.95,7.05,29579600
9.0,2008-07-09,6.9,7.0,6.75,6.8,33552700
10.0,2008-07-10,6.8,7.2,6.8,6.95,64655800
11.0,2008-07-14,6.9,6.95,6.7,6.85,17917100
12.0,2008-07-16,6.7,6.75,6.65,6.7,30187400
13.0,2008-07-17,6.7,6.7,6.5,6.6,18197600
14.0,2008-07-18,6.6,6.6,5.95,6.2,72494200
15.0,2008-07-21,6.2,6.5,6.2,6.3,21746600
16.0,2008-07-23,6.45,6.5,6.35,6.45,22007500
17.0,2008-07-24,6.45,6.5,6.4,6.45,17640000
18.0,2008-07-25,6.45,6.95,6.25,6.35,115173900
19.0,2008-07-28,6.35,6.4,6.05,6.3,13172000
20.0,2008-07-31,5.95,6.0,5.45,5.8,18269300
21.0,2008-08-01,5.8,5.9,5.5,5.7,23757400
22.0,2008-08-04,5.7,5.9,5.7,5.75,49777500
23.0,2008-08-05,5.75,5.9,5.75,5.8,18760700
24.0,2008-08-06,5.8,5.9,5.55,5.75,8851300
25.0,2008-08-07,5.75,5.85,5.55,5.75,14342700
26.0,2008-08-08,5.75,5.75,5.55,5.6,6418900
27.0,2008-08-11,5.6,5.75,5.4,5.5,13703300
28.0,2008-08-12,5.5,5.5,4.95,5.15,16923500
29.0,2008-08-13,5.15,5.5,5.05,5.2,22782500
30.0,2008-08-15,5.55,6.05,5.55,5.9,27467900
31.0,2008-08-18,5.9,6.0,5.7,5.9,8015400
32.0,2008-08-19,5.9,5.9,5.75,5.8,14860400
33.0,2008-08-20,5.8,5.9,5.8,5.8,9621000
34.0,2008-08-21,5.8,5.85,5.7,5.8,17235900
35.0,2008-08-22,5.8,5.85,5.7,5.75,6937700
