Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2007-05-21,667.2,691.2,667.2,691.2,1
1.0,2007-05-22,691.2,691.2,691.2,691.2,10
2.0,2007-05-29,662.4,691.2,657.6,657.6,1
3.0,2007-05-30,648.0,696.0,648.0,696.0,11
4.0,2007-05-31,648.0,691.2,648.0,691.2,2
5.0,2007-06-04,648.0,691.2,648.0,691.2,0
6.0,2007-06-12,657.6,696.0,657.6,696.0,2
7.0,2007-06-14,648.0,686.4,648.0,686.4,10
8.0,2007-06-19,672.0,686.4,672.0,686.4,17
9.0,2007-06-21,652.8,652.8,652.8,652.8,0
10.0,2007-06-22,686.4,686.4,686.4,686.4,0
11.0,2007-06-26,672.0,672.0,672.0,672.0,4
12.0,2007-06-27,648.0,657.6,648.0,657.6,10
13.0,2007-06-28,648.0,681.6,648.0,652.8,26
14.0,2007-06-29,662.4,662.4,652.8,652.8,1
15.0,2007-07-02,667.2,667.2,652.8,652.8,0
16.0,2007-07-03,652.8,652.8,624.0,638.4,21
17.0,2007-07-05,628.8,633.6,360.0,619.2,36
18.0,2007-07-06,576.0,614.4,576.0,614.4,13
19.0,2007-07-10,604.8,624.0,604.8,624.0,1
20.0,2007-07-13,614.4,614.4,614.4,614.4,1
21.0,2007-07-16,600.0,609.6,600.0,609.6,10
22.0,2007-07-17,628.8,628.8,619.2,619.2,1
23.0,2007-07-19,600.0,619.2,600.0,619.2,1
24.0,2007-07-20,600.0,619.2,600.0,619.2,0
25.0,2007-07-25,576.0,628.8,576.0,624.0,3
26.0,2007-07-26,600.0,600.0,600.0,600.0,1
27.0,2007-07-27,619.2,633.6,576.0,576.0,4
28.0,2007-07-30,576.0,576.0,552.0,556.8,26
29.0,2007-08-03,556.8,556.8,556.8,556.8,2
30.0,2007-08-07,552.0,556.8,552.0,552.0,17
31.0,2007-08-10,552.0,552.0,552.0,552.0,1
32.0,2007-08-13,528.0,532.8,528.0,532.8,2
33.0,2007-08-14,528.0,528.0,528.0,528.0,1
34.0,2007-08-15,547.2,547.2,547.2,547.2,11
35.0,2007-08-16,542.4,542.4,528.0,528.0,23
36.0,2007-08-17,528.0,542.4,504.0,504.0,31
37.0,2007-08-20,480.0,480.0,480.0,480.0,22
38.0,2007-08-21,480.0,489.6,475.2,489.6,12
39.0,2007-08-22,480.0,480.0,480.0,480.0,23
40.0,2007-08-23,504.0,504.0,504.0,504.0,0
41.0,2007-08-27,518.4,523.2,518.4,523.2,4
42.0,2007-08-31,528.0,537.6,504.0,537.6,1
43.0,2007-09-17,528.0,552.0,528.0,547.2,18
44.0,2007-09-18,571.2,724.8,566.4,724.8,41
45.0,2007-09-19,1324.8,1324.8,585.6,624.0,19
46.0,2007-09-20,1564.8,1564.8,619.2,672.0,13
47.0,2007-09-21,590.4,590.4,590.4,590.4,0
48.0,2007-09-24,600.0,600.0,595.2,600.0,1
49.0,2007-09-25,585.6,604.8,585.6,600.0,2
50.0,2007-09-26,585.6,595.2,585.6,590.4,2
51.0,2007-10-01,595.2,595.2,595.2,595.2,0
52.0,2007-10-03,590.4,710.4,528.0,643.2,16
53.0,2007-10-04,571.2,571.2,571.2,571.2,0
54.0,2007-10-05,628.8,628.8,628.8,628.8,0
55.0,2007-10-08,595.2,600.0,576.0,600.0,1
56.0,2007-10-10,566.4,600.0,537.6,600.0,24
