Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-11-21,11.0,11.0,9.75,9.9375,225900
1.0,2000-11-22,9.9375,9.9375,9.5,9.75,94000
2.0,2000-11-24,9.75,9.875,9.7188,9.75,18700
3.0,2000-11-27,10.0,10.0,9.0,9.25,21400
4.0,2000-11-28,9.25,9.375,7.375,7.625,100400
5.0,2000-11-29,7.5625,8.0,5.75,6.625,220900
6.0,2000-11-30,6.5,6.75,5.9375,6.75,174200
7.0,2000-12-01,7.5,8.0,7.125,7.375,58400
8.0,2000-12-04,7.3125,8.0,7.25,7.625,26400
9.0,2000-12-05,7.5,8.25,7.5,8.25,41200
10.0,2000-12-06,8.0,8.1875,7.25,7.75,56800
11.0,2000-12-07,7.5,7.5,7.0,7.5,28100
12.0,2000-12-08,7.5,7.5,7.125,7.375,36500
13.0,2000-12-11,7.4688,7.625,7.1875,7.625,6100
14.0,2000-12-12,7.5625,7.75,7.25,7.625,28200
15.0,2000-12-13,7.5,8.0,7.5,7.875,39200
16.0,2000-12-14,8.125,8.25,8.0,8.0,19600
17.0,2000-12-15,8.125,8.25,8.0,8.25,33200
18.0,2000-12-18,8.125,8.125,7.75,7.875,21700
19.0,2000-12-19,7.625,8.3125,7.625,8.25,27400
20.0,2000-12-20,8.375,8.375,7.375,7.375,18000
21.0,2000-12-21,7.375,8.0,7.375,7.5,36200
22.0,2000-12-22,7.4375,8.0,7.3125,7.8125,30400
23.0,2000-12-26,7.8125,8.0625,7.75,8.0625,3800
24.0,2000-12-27,8.0,8.875,7.625,8.0,74800
25.0,2000-12-28,7.9375,10.5,7.9375,10.0,126700
26.0,2000-12-29,9.6875,12.0,9.6875,11.25,130600
27.0,2001-01-02,10.9688,11.0,9.875,10.25,106400
28.0,2001-01-03,10.0,10.5,9.9375,10.5,75200
29.0,2001-01-04,10.25,10.25,9.9375,9.9375,73400
30.0,2001-01-05,10.0625,11.0625,10.0,10.9375,93900
31.0,2001-01-08,10.5625,10.75,10.4375,10.5,46900
32.0,2001-01-09,10.75,10.75,10.25,10.625,67400
33.0,2001-01-10,10.875,10.875,9.875,10.25,68300
34.0,2001-01-11,9.875,10.125,9.375,9.8125,143600
35.0,2001-01-12,9.8125,9.8125,8.5,9.0,110900
36.0,2001-01-16,9.0,9.5,8.75,9.25,105600
37.0,2001-01-17,9.0,9.25,8.875,9.125,102100
38.0,2001-01-18,9.125,9.25,9.0,9.0,213500
39.0,2001-01-19,9.0,9.125,8.8125,8.875,53000
40.0,2001-01-22,9.0,9.625,9.0,9.5,117100
41.0,2001-01-23,9.75,9.8125,9.375,9.5312,87900
42.0,2001-01-24,9.8125,11.375,9.375,10.9375,360400
43.0,2001-01-25,11.25,12.5,11.25,11.75,448200
44.0,2001-01-26,11.375,12.9375,11.1875,12.9375,285400
45.0,2001-01-29,13.0,14.375,12.625,13.125,197800
46.0,2001-01-30,13.25,13.25,12.875,13.125,110200
47.0,2001-01-31,13.125,13.375,12.75,12.875,127700
48.0,2001-02-01,13.1875,13.1875,11.375,12.0,45000
49.0,2001-02-02,11.875,12.375,11.5,11.9375,44700
50.0,2001-02-05,11.4375,12.375,11.375,12.0625,49600
51.0,2001-02-06,12.0,12.4375,12.0,12.0,14400
52.0,2001-02-07,12.5,12.5,12.0,12.5,32400
53.0,2001-02-08,12.375,13.25,12.375,12.75,66300
54.0,2001-02-09,13.125,13.875,12.5,13.625,284200
55.0,2001-02-12,13.9375,14.5,13.5,14.5,101200
56.0,2001-02-13,14.5,14.625,13.1875,13.8125,192700
57.0,2001-02-14,14.0,14.0,12.5625,13.125,17100
58.0,2001-02-15,13.75,14.375,13.75,14.125,611900
59.0,2001-02-16,14.4375,14.625,13.8125,14.25,150700
60.0,2001-02-20,14.3125,14.375,13.0,13.75,68100
61.0,2001-02-21,14.0,14.5,13.5,14.0,44600
62.0,2001-02-22,14.0,15.5,13.75,14.75,219400
63.0,2001-02-23,14.5,14.5,13.6875,14.125,41500
64.0,2001-02-26,13.875,14.5,13.8125,14.0,119500
65.0,2001-02-27,14.125,14.125,13.0,13.625,24900
66.0,2001-02-28,13.1875,13.75,12.125,12.625,94300
67.0,2001-03-01,12.5,12.5,11.25,11.9375,81700
68.0,2001-03-02,11.625,12.0,11.5,12.0,64600
69.0,2001-03-05,12.1875,12.375,12.0,12.375,72700
70.0,2001-03-06,12.5625,13.25,12.5,13.25,70900
71.0,2001-03-07,13.5,14.125,13.3125,14.125,112600
72.0,2001-03-08,13.625,14.125,13.125,13.9375,116700
73.0,2001-03-09,14.0,14.5,13.625,14.5,45500
74.0,2001-03-12,13.875,13.9375,13.25,13.25,160900
75.0,2001-03-13,13.2812,13.75,12.75,13.5,127400
76.0,2001-03-14,13.0312,13.75,12.75,13.3125,76100
77.0,2001-03-15,13.3438,13.5,11.625,11.875,48600
78.0,2001-03-16,11.75,12.5,11.25,12.25,63000
79.0,2001-03-19,12.0,13.125,12.0,12.75,296300
80.0,2001-03-20,12.75,13.5625,12.625,13.3125,192200
81.0,2001-03-21,13.1875,13.25,12.8125,12.9375,92300
82.0,2001-03-22,12.75,12.9375,12.5,12.9375,103800
83.0,2001-03-23,13.0,13.125,12.75,12.75,32000
84.0,2001-03-26,13.0,13.5,13.0,13.3125,23800
85.0,2001-03-27,13.25,13.5625,13.25,13.5625,53200
86.0,2001-03-28,13.375,14.0,13.375,13.75,117000
87.0,2001-03-29,13.6875,14.25,13.5,14.25,72500
88.0,2001-03-30,14.0,15.0,14.0,15.0,140300
89.0,2001-04-02,14.625,15.0,14.5625,14.8125,115600
90.0,2001-04-03,14.75,14.75,13.75,13.9375,45900
91.0,2001-04-04,13.75,14.375,13.75,14.125,43300
92.0,2001-04-05,14.3125,14.9375,14.125,14.5,97300
93.0,2001-04-06,14.4375,16.3125,14.4375,15.0625,294800
94.0,2001-04-09,15.27,15.7,14.68,15.7,124800
95.0,2001-04-10,15.52,16.1,15.42,16.01,196300
96.0,2001-04-11,16.01,16.6,15.75,16.45,319800
97.0,2001-04-12,16.5,16.75,16.37,16.45,134200
