Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2026-02-09,64.91,65.8553,63.9,64.66,2569286
1.0,2026-02-10,64.7,65.33,63.52,63.8,2583074
2.0,2026-02-11,67.58,75.43,66.105,74.95,7784713
3.0,2026-02-12,78.66,84.44,77.44,78.03,9358890
4.0,2026-02-13,77.0,79.7499,75.66,78.22,4663304
5.0,2026-02-17,78.06,83.31,77.6,80.9,4671737
6.0,2026-02-18,81.57,82.881,78.5,80.92,3336557
7.0,2026-02-19,80.84,80.9,77.45,77.86,2485443
8.0,2026-02-20,77.5,80.5,77.18,80.05,2882439
9.0,2026-02-23,80.0,80.8899,77.69,78.55,2410070
10.0,2026-02-24,79.46,80.6616,78.08,79.09,2229722
11.0,2026-02-25,80.83,80.99,76.77,79.87,2921919
12.0,2026-02-26,80.01,81.7,75.81,78.32,3497117
13.0,2026-02-27,76.12,78.59,74.13,78.51,3219584
14.0,2026-03-02,77.73,78.99,75.945,78.88,2998178
15.0,2026-03-03,75.0,75.4425,72.25,73.9,2575752
16.0,2026-03-04,74.5,75.595,72.88,75.11,2247016
17.0,2026-03-05,74.25,78.81,74.231,76.72,3598945
18.0,2026-03-06,74.49,74.71,71.11,72.17,2398780
19.0,2026-03-09,70.36,73.93,69.0001,73.87,3540782
20.0,2026-03-10,74.19,76.34,73.67,74.95,2577179
21.0,2026-03-11,75.51,75.55,72.6105,75.18,1608026
22.0,2026-03-12,74.305,74.64,71.75,72.08,1963715
23.0,2026-03-13,72.28,74.205,71.24,73.22,2394409
24.0,2026-03-16,74.0,75.88,73.08,73.27,1858670
25.0,2026-03-17,73.775,75.67,71.82,75.15,1488249
26.0,2026-03-18,75.0,76.5,74.07,74.41,2772089
27.0,2026-03-19,71.91,73.43,70.12,73.08,1788608
28.0,2026-03-20,73.86,74.69,66.55,67.05,29609600
29.0,2026-03-23,69.46,72.02,69.0,70.95,2571800
30.0,2026-03-24,70.15,73.58,70.11,72.11,2148000
31.0,2026-03-25,73.47,76.47,73.45,76.35,1673600
32.0,2026-03-26,74.38,75.84,74.0,74.43,1205100
33.0,2026-03-27,73.78,75.6,73.3,75.03,1722400
34.0,2026-03-30,75.99,77.0,72.3,72.4,1989500
35.0,2026-03-31,72.74,76.67,72.6,76.16,2023900
36.0,2026-04-01,77.47,79.5,77.37,77.52,1837800
37.0,2026-04-02,75.4,79.85,74.95,76.42,1656500
38.0,2026-04-06,76.5,78.61,75.98,78.03,1233900
39.0,2026-04-07,77.8,79.28,76.819,77.55,1080600
40.0,2026-04-08,80.83,83.45,80.58,83.35,2446300
41.0,2026-04-09,83.26,83.96,81.6,82.81,1779100
42.0,2026-04-10,83.315,84.0,81.52,81.96,1020900
43.0,2026-04-13,81.72,82.34,81.3,82.01,1270800
44.0,2026-04-14,80.36,80.88,78.45,80.22,1872700
45.0,2026-04-15,79.8,81.263,78.56,79.24,1787400
46.0,2026-04-16,79.36,80.07,77.815,79.96,2128800
47.0,2026-04-17,81.02,82.0,78.831,81.2,2660300
48.0,2026-04-20,81.3,81.91,79.5,81.4,1858500
49.0,2026-04-21,82.495,84.0,78.16,80.33,2326100
