Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2013-10-25,8.5,9.17,8.279,8.62,553091
1.0,2013-10-28,8.52,9.0,8.25,8.4,82934
2.0,2013-10-29,8.74,9.88,8.25,9.88,73521
3.0,2013-10-30,9.58,10.0,9.3501,9.5,36349
4.0,2013-10-31,9.78,9.78,8.71,9.599,13265
5.0,2013-11-01,9.5,9.6,8.9501,9.49,11670
6.0,2013-11-04,9.51,9.55,9.45,9.55,4151
7.0,2013-11-05,9.55,9.55,9.0201,9.4,3491
8.0,2013-11-06,9.4,9.4499,8.6601,8.74,157844
9.0,2013-11-07,9.12,9.15,8.45,8.75,36000
10.0,2013-11-08,8.251,8.99,8.251,8.75,8775
11.0,2013-11-11,9.1499,9.1499,8.57,8.91,1075
12.0,2013-11-12,8.6001,8.98,8.6001,8.945,5100
13.0,2013-11-13,8.6,8.8,8.6,8.74,26607
14.0,2013-11-14,8.9799,8.9799,8.6,8.74,10530
15.0,2013-11-15,8.5901,8.75,8.5901,8.68,20062
16.0,2013-11-18,9.0,9.0,8.6,8.6,10389
17.0,2013-11-19,9.0,9.0,8.5,8.75,52769
18.0,2013-11-20,8.75,8.75,8.55,8.55,38203
19.0,2013-11-21,8.75,8.8499,8.11,8.21,42452
20.0,2013-11-22,8.6,8.6,8.25,8.48,34530
21.0,2013-11-25,8.55,8.55,8.42,8.42,20560
22.0,2013-11-26,8.54,8.54,8.4,8.54,14576
23.0,2013-11-27,8.54,8.55,8.3,8.55,1500
24.0,2013-11-29,8.54,8.85,8.3,8.8,9939
25.0,2013-12-02,8.99,8.99,8.5,8.72,20320
26.0,2013-12-03,9.64,9.75,8.5,8.5,160911
27.0,2013-12-04,8.69,8.69,8.45,8.57,31420
28.0,2013-12-05,8.61,9.1136,8.6,8.99,52214
29.0,2013-12-06,8.701,9.01,8.66,8.74,26789
30.0,2013-12-09,8.83,9.39,8.61,9.28,13617
31.0,2013-12-10,9.3,9.39,9.0,9.18,18029
32.0,2013-12-11,9.11,9.39,9.0,9.39,6893
33.0,2013-12-12,9.0,9.35,9.0,9.33,31998
34.0,2013-12-13,9.25,9.6,9.02,9.48,34680
35.0,2013-12-16,9.69,10.3,9.5,10.235,256561
36.0,2013-12-17,10.3,10.3,9.0,9.39,139995
37.0,2013-12-18,9.4,9.575,8.4,8.48,117876
38.0,2013-12-19,8.28,8.28,7.86,7.9,383746
39.0,2013-12-20,8.16,8.25,7.9,8.02,321387
40.0,2013-12-23,8.23,8.28,8.03,8.15,95843
41.0,2013-12-24,8.23,8.29,8.15,8.2,34105
42.0,2013-12-26,8.2299,8.3,8.15,8.17,44944
43.0,2013-12-27,8.2,8.35,8.09,8.11,64398
44.0,2013-12-30,8.1,8.24,8.08,8.24,57119
45.0,2013-12-31,8.19,8.385,8.1,8.1,71289
46.0,2014-01-02,8.19,8.25,7.92,8.09,54813
47.0,2014-01-03,8.19,8.19,7.94,8.0,45461
48.0,2014-01-06,8.14,8.28,7.93,8.2,134901
49.0,2014-01-07,8.22,8.365,8.1,8.24,70273
50.0,2014-01-08,8.38,8.4,8.04,8.12,81345
51.0,2014-01-09,8.27,8.4,8.12,8.36,100826
52.0,2014-01-10,8.46,8.84,8.36,8.75,137313
53.0,2014-01-13,8.84,8.9,8.51,8.77,72725
54.0,2014-01-14,8.82,9.032,8.64,8.94,59098
55.0,2014-01-15,9.01,9.079,8.75,8.86,62820
56.0,2014-01-16,8.99,8.99,8.66,8.89,47287
57.0,2014-01-17,8.78,9.0,8.75,8.84,59880
58.0,2014-01-21,8.5,9.0299,8.5,9.0,76938
59.0,2014-01-22,8.9,9.95,8.81,9.82,288960
60.0,2014-01-23,9.8,10.8,9.5,10.26,754472
61.0,2014-01-24,10.04,10.59,9.64,10.035,141916
62.0,2014-01-27,10.0,10.36,9.4,9.81,165178
63.0,2014-01-28,9.84,10.02,9.25,9.92,159152
64.0,2014-01-29,9.95,10.16,8.95,9.9,85030
65.0,2014-01-30,10.24,10.24,9.61,10.07,33001
66.0,2014-01-31,9.96,9.96,9.0,9.55,20633
67.0,2014-02-03,9.5,9.75,9.3301,9.54,24579
68.0,2014-02-04,9.39,9.69,9.01,9.27,61825
69.0,2014-02-05,9.32,9.7,8.96,9.19,69936
70.0,2014-02-06,9.25,9.33,9.02,9.19,28728
71.0,2014-02-07,9.01,9.27,8.81,9.2,62061
72.0,2014-02-10,9.34,9.34,8.91,9.22,32643
73.0,2014-02-11,9.35,10.38,9.35,10.15,158812
74.0,2014-02-12,9.8,10.15,9.67,9.74,140075
75.0,2014-02-13,9.76,9.92,9.445,9.65,47583
76.0,2014-02-14,9.96,9.96,9.25,9.66,75773
77.0,2014-02-18,9.89,10.0,9.41,9.79,83959
78.0,2014-02-19,9.79,9.8,9.4501,9.79,65574
79.0,2014-02-20,9.53,9.79,9.5,9.56,75232
80.0,2014-02-21,9.52,9.53,9.11,9.4,72819
81.0,2014-02-24,9.49,9.83,9.21,9.77,101202
82.0,2014-02-25,9.8,10.25,9.669,10.18,107853
83.0,2014-02-26,10.14,10.4,9.71,10.37,64864
84.0,2014-02-27,10.45,11.75,10.435,11.515,352270
85.0,2014-02-28,11.63,12.2,11.3384,11.52,240468
86.0,2014-03-03,11.51,12.9899,11.2157,12.62,205140
87.0,2014-03-04,12.86,14.2399,12.65,13.49,314905
88.0,2014-03-05,13.59,14.75,13.56,14.65,399845
89.0,2014-03-06,14.8,14.95,12.53,14.09,342068
90.0,2014-03-07,14.0,14.0,12.77,13.53,282083
91.0,2014-03-10,13.86,14.49,13.53,14.14,302187
92.0,2014-03-11,14.15,14.94,14.1499,14.66,181382
93.0,2014-03-12,14.87,14.87,14.181,14.48,128976
94.0,2014-03-13,14.22,14.25,13.7069,13.8,133778
95.0,2014-03-14,13.58,13.75,13.0001,13.22,63979
96.0,2014-03-17,13.25,14.16,13.25,13.96,118027
97.0,2014-03-18,13.92,14.6,13.55,14.48,79427
98.0,2014-03-19,14.57,14.9,14.261,14.5,56053
99.0,2014-03-20,14.55,15.98,14.31,15.91,135548
100.0,2014-03-21,15.8,16.4,15.7,16.33,384264
101.0,2014-03-24,16.1,16.1,14.19,15.74,440159
102.0,2014-03-25,15.75,15.75,14.97,15.07,88103
103.0,2014-03-26,15.0,15.3,13.47,13.555,235083
104.0,2014-03-27,13.47,13.95,12.16,13.91,196277
105.0,2014-03-28,13.9,13.905,12.8,12.99,64698
106.0,2014-03-31,13.05,13.3399,12.605,12.82,79768
107.0,2014-04-01,12.9,13.21,12.51,12.84,125730
108.0,2014-04-02,12.94,13.3,12.75,13.07,111796
109.0,2014-04-03,13.03,13.19,12.04,12.53,118491
110.0,2014-04-04,12.53,12.53,10.7,11.26,432304
111.0,2014-04-07,11.15,11.71,10.51,10.68,140639
112.0,2014-04-08,10.75,10.7555,8.54,8.92,432974
113.0,2014-04-09,8.92,9.49,8.66,8.9,193443
114.0,2014-04-10,9.11,9.75,8.91,9.23,210050
115.0,2014-04-11,9.0,9.31,9.0,9.21,76862
116.0,2014-04-14,9.13,9.8687,9.13,9.54,62536
117.0,2014-04-15,9.52,9.84,9.15,9.49,112108
118.0,2014-04-16,9.64,9.85,9.27,9.65,57272
119.0,2014-04-17,9.67,11.3,9.5,10.55,70743
120.0,2014-04-21,10.63,10.85,9.97,10.27,46749
121.0,2014-04-22,10.23,10.63,9.9,10.41,70469
122.0,2014-04-23,10.46,10.59,10.21,10.41,35760
123.0,2014-04-24,10.44,10.46,9.94,10.07,62710
124.0,2014-04-25,10.05,10.05,9.52,9.63,36500
125.0,2014-04-28,9.62,9.91,9.25,9.46,39552
126.0,2014-04-29,9.44,9.72,9.27,9.4,46045
127.0,2014-04-30,9.31,9.68,9.06,9.19,36628
128.0,2014-05-01,9.17,9.68,9.01,9.48,46447
129.0,2014-05-02,9.46,9.69,9.14,9.3,59527
130.0,2014-05-05,9.29,9.59,9.25,9.3,26886
131.0,2014-05-06,9.31,9.6,8.75,8.91,78557
132.0,2014-05-07,8.89,9.29,7.95,8.08,131061
133.0,2014-05-08,7.9,8.28,7.3,7.61,123297
134.0,2014-05-09,7.56,8.19,7.31,7.99,55403
135.0,2014-05-12,8.08,8.49,7.5246,8.07,56403
136.0,2014-05-13,8.07,8.07,7.52,7.63,77007
137.0,2014-05-14,7.53,7.53,6.56,6.7,197273
138.0,2014-05-15,5.2,5.25,5.07,5.11,2388940
139.0,2014-05-16,5.11,5.12,4.91,5.0,383419
140.0,2014-05-19,4.96,5.18,4.75,5.14,270756
141.0,2014-05-20,5.22,5.38,5.096,5.21,324783
142.0,2014-05-21,5.288,5.3,5.17,5.24,279898
143.0,2014-05-22,5.28,5.3,5.1501,5.21,113982
144.0,2014-05-23,5.18,5.28,4.91,4.92,394634
145.0,2014-05-27,5.08,5.22,5.0,5.1,176661
146.0,2014-05-28,5.17,5.17,5.03,5.12,55708
147.0,2014-05-29,5.11,5.25,5.08,5.09,80552
148.0,2014-05-30,5.15,5.35,4.91,5.21,304353
149.0,2014-06-02,5.42,5.43,5.08,5.16,281179
150.0,2014-06-03,5.13,5.35,5.05,5.3,210343
151.0,2014-06-04,5.29,5.3,5.12,5.22,43830
152.0,2014-06-05,5.25,5.29,5.11,5.22,78552
153.0,2014-06-06,5.21,5.32,5.1339,5.2,79291
154.0,2014-06-09,5.34,5.34,5.16,5.27,144411
155.0,2014-06-10,5.24,5.28,5.15,5.23,54347
156.0,2014-06-11,5.2,5.25,5.2,5.23,45347
157.0,2014-06-12,5.28,5.3,5.02,5.13,258571
158.0,2014-06-13,5.04,5.8,5.02,5.43,130318
159.0,2014-06-16,4.94,5.7,4.94,5.59,187849
160.0,2014-06-17,5.8,5.8,5.5,5.68,90647
161.0,2014-06-18,5.65,5.65,5.504,5.62,42374
162.0,2014-06-19,6.0,6.0,5.75,5.85,226821
163.0,2014-06-20,5.88,6.25,5.844,6.19,203990
164.0,2014-06-23,6.2,6.65,6.105,6.34,354365
165.0,2014-06-24,6.28,6.33,6.12,6.16,93332
166.0,2014-06-25,6.17,6.67,6.13,6.64,222005
167.0,2014-06-26,6.6,6.769,6.44,6.63,102927
168.0,2014-06-27,6.64,7.15,6.53,7.1,297585
169.0,2014-06-30,7.03,7.04,6.5,6.75,192704
170.0,2014-07-01,6.82,6.87,6.46,6.61,99317
171.0,2014-07-02,6.64,6.7999,6.44,6.79,64968
172.0,2014-07-03,6.84,6.84,6.75,6.78,13980
173.0,2014-07-07,6.76,6.86,6.1,6.4,137724
174.0,2014-07-08,6.36,6.38,6.1,6.2,112502
175.0,2014-07-09,6.17,6.31,6.14,6.27,34117
176.0,2014-07-10,6.1,6.175,5.76,5.85,203707
177.0,2014-07-11,5.74,5.9,5.55,5.67,116716
178.0,2014-07-14,5.71,5.85,5.45,5.83,103595
179.0,2014-07-15,5.87,5.94,5.65,5.74,76571
180.0,2014-07-16,5.77,5.77,5.57,5.6,41595
181.0,2014-07-17,5.55,5.58,5.11,5.14,214919
182.0,2014-07-18,5.11,5.249,5.1,5.17,79481
183.0,2014-07-21,5.13,5.3,5.02,5.1,83238
184.0,2014-07-22,5.08,5.6023,5.03,5.44,101940
185.0,2014-07-23,5.34,5.58,5.25,5.35,77219
186.0,2014-07-24,5.33,5.392,5.25,5.27,48177
187.0,2014-07-25,5.24,5.33,5.11,5.17,54047
188.0,2014-07-28,5.21,5.336,5.05,5.06,127972
189.0,2014-07-29,5.01,5.34,5.01,5.28,58324
190.0,2014-07-30,5.24,5.31,5.06,5.28,37472
191.0,2014-07-31,5.24,5.5,5.24,5.44,50856
192.0,2014-08-01,5.34,5.58,5.14,5.46,59498
193.0,2014-08-04,5.51,5.51,5.23,5.32,41314
194.0,2014-08-05,5.24,5.385,5.2,5.34,27219
195.0,2014-08-06,5.26,5.36,5.195,5.3,22881
196.0,2014-08-07,5.328,5.328,5.21,5.26,4738
197.0,2014-08-08,5.24,5.34,5.17,5.29,8086
198.0,2014-08-11,5.34,5.43,5.21,5.29,16780
199.0,2014-08-12,5.32,5.5,5.31,5.32,25920
200.0,2014-08-13,5.31,5.37,5.24,5.27,63297
201.0,2014-08-14,5.23,5.42,5.23,5.42,29898
202.0,2014-08-15,5.41,5.85,5.41,5.74,41980
203.0,2014-08-18,5.79,5.8,5.51,5.58,86781
204.0,2014-08-19,5.72,5.72,5.445,5.55,84502
205.0,2014-08-20,5.51,5.6,5.4519,5.49,32975
206.0,2014-08-21,5.48,5.54,5.418,5.47,15217
207.0,2014-08-22,5.46,5.57,5.4101,5.51,4320
208.0,2014-08-25,5.55,5.55,5.3,5.44,43249
209.0,2014-08-26,5.48,5.57,5.3501,5.4,43844
210.0,2014-08-27,5.368,5.49,5.368,5.43,33284
211.0,2014-08-28,5.38,5.54,5.38,5.45,10589
212.0,2014-08-29,5.338,5.65,5.338,5.5,124699
213.0,2014-09-02,5.5,5.615,5.42,5.43,62360
214.0,2014-09-03,5.49,5.55,5.39,5.44,48287
215.0,2014-09-04,5.49,5.5,5.4,5.46,39267
216.0,2014-09-05,5.43,5.46,5.345,5.43,48982
217.0,2014-09-08,5.4499,5.45,5.35,5.45,157731
218.0,2014-09-09,5.4001,5.47,5.35,5.42,89766
219.0,2014-09-10,5.38,5.43,5.28,5.3,26953
220.0,2014-09-11,5.27,5.43,5.25,5.3,46056
221.0,2014-09-12,5.3,5.3,5.0,5.11,71863
222.0,2014-09-15,5.07,5.11,4.92,4.97,73055
223.0,2014-09-16,4.95,5.0,4.27,4.94,184427
224.0,2014-09-17,5.0,5.0,4.69,4.78,77553
225.0,2014-09-18,4.78,4.95,4.77,4.87,39395
