Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,4.5,5.0,4.3125,5.0,2004700
1.0,2000-01-04,4.8125,4.9375,4.625,4.75,99900
2.0,2000-01-05,4.875,4.875,4.625,4.6875,59300
3.0,2000-01-06,4.625,4.8125,4.5625,4.6875,71200
4.0,2000-01-07,4.8125,4.8125,4.5,4.625,68100
5.0,2000-01-10,4.625,4.875,4.5625,4.6875,117000
6.0,2000-01-11,4.625,4.9375,4.625,4.875,97400
7.0,2000-01-12,4.8125,5.3125,4.8125,5.0,387200
8.0,2000-01-13,5.125,5.1875,4.9375,5.0,188000
9.0,2000-01-14,5.125,5.1875,5.0,5.0,106500
10.0,2000-01-18,5.1875,5.1875,4.9375,4.9375,154300
11.0,2000-01-19,5.0,5.25,4.875,5.25,294900
12.0,2000-01-20,5.375,5.5,5.1875,5.1875,184800
13.0,2000-01-21,5.125,5.1875,5.0,5.0,117800
14.0,2000-01-24,5.0,5.0,4.6875,4.8125,132800
15.0,2000-01-25,4.8125,4.9375,4.625,4.75,122500
16.0,2000-01-26,4.8125,4.9375,4.6875,4.8125,34300
17.0,2000-01-27,4.8125,4.875,4.625,4.75,71800
18.0,2000-01-28,4.625,4.6875,4.25,4.625,368800
19.0,2000-01-31,4.6875,4.9375,4.625,4.875,163200
20.0,2000-02-01,4.875,5.0,4.8125,4.9375,98000
21.0,2000-02-02,4.875,4.9375,4.6875,4.9375,115200
22.0,2000-02-03,4.875,5.0625,4.875,5.0625,177700
23.0,2000-02-04,5.0625,5.1875,5.0625,5.125,69000
24.0,2000-02-07,5.125,5.1875,4.875,4.9375,141800
25.0,2000-02-08,5.0,5.0,4.5625,4.5625,71400
26.0,2000-02-09,4.625,4.625,4.1875,4.5,187700
27.0,2000-02-10,4.4375,4.4375,4.1875,4.3125,85600
28.0,2000-02-11,4.375,4.5,4.25,4.375,67700
29.0,2000-02-14,4.375,4.5625,4.375,4.5,40900
30.0,2000-02-15,4.5,4.5625,4.375,4.5,43600
31.0,2000-02-16,4.375,4.5625,4.375,4.5,85700
32.0,2000-02-17,4.3125,4.625,4.3125,4.5,59700
33.0,2000-02-18,4.5,4.5625,4.375,4.4375,44800
34.0,2000-02-22,4.375,4.375,4.25,4.25,48100
35.0,2000-02-23,4.3125,4.6875,4.3125,4.6875,153400
36.0,2000-02-24,4.6875,4.75,4.625,4.6875,95700
37.0,2000-02-25,4.5625,4.6875,4.5625,4.6875,91500
38.0,2000-02-28,4.5625,4.5625,4.25,4.3125,53200
39.0,2000-02-29,4.25,4.4375,4.25,4.4375,70100
40.0,2000-03-01,4.5625,4.625,4.3125,4.375,55900
41.0,2000-03-02,4.3125,4.4375,4.25,4.375,55700
42.0,2000-03-03,4.3125,4.375,4.25,4.3125,79300
43.0,2000-03-06,4.3125,4.6875,4.3125,4.625,61900
44.0,2000-03-07,4.5625,4.8125,4.375,4.8125,53000
45.0,2000-03-08,4.6875,4.8125,4.6875,4.8125,44900
46.0,2000-03-09,4.875,4.875,4.75,4.8125,43500
47.0,2000-03-10,4.8125,4.8125,4.5625,4.75,55000
48.0,2000-03-13,4.75,4.875,4.4375,4.5,48500
49.0,2000-03-14,4.4375,4.625,4.4375,4.4375,31800
50.0,2000-03-15,4.4375,4.5,4.3125,4.5,56600
51.0,2000-03-16,4.5,4.6875,4.4375,4.6875,123100
52.0,2000-03-17,4.625,5.0,4.5,4.9375,306300
53.0,2000-03-20,4.875,5.1875,4.8125,4.9375,466000
54.0,2000-03-21,5.125,5.375,5.125,5.25,245700
55.0,2000-03-22,5.25,5.4375,5.25,5.3125,221300
56.0,2000-03-23,5.3125,5.375,5.0,5.125,121900
57.0,2000-03-24,5.0625,5.125,5.0,5.125,40400
58.0,2000-03-27,5.0,5.0625,5.0,5.0,49600
59.0,2000-03-28,5.0,5.0625,4.9375,4.9375,23000
60.0,2000-03-29,4.875,4.875,4.5,4.5625,36900
61.0,2000-03-30,4.375,4.5,4.375,4.4375,18300
62.0,2000-03-31,4.4375,4.4375,4.3125,4.4375,23300
63.0,2000-04-03,4.375,4.375,4.3125,4.375,28600
64.0,2000-04-04,4.375,4.4375,4.25,4.25,78600
65.0,2000-04-05,4.3125,4.3125,4.25,4.3125,65000
66.0,2000-04-06,4.3125,4.625,4.3125,4.5625,50900
67.0,2000-04-07,4.5,4.5,4.25,4.375,57100
68.0,2000-04-10,4.5,4.5,4.25,4.25,56300
69.0,2000-04-11,4.3125,4.375,4.0625,4.125,159600
70.0,2000-04-12,4.125,4.125,4.0,4.0625,133300
71.0,2000-04-13,4.0,4.0625,4.0,4.0625,108700
72.0,2000-04-14,4.0,4.0625,3.875,3.875,111500
73.0,2000-04-17,3.75,3.8125,3.5625,3.5625,90500
74.0,2000-04-18,3.5,3.625,3.375,3.5625,124600
75.0,2000-04-19,3.5,3.75,3.5,3.75,98500
76.0,2000-04-20,3.75,3.75,3.5625,3.625,54400
77.0,2000-04-24,3.5625,3.6875,3.5625,3.5625,86500
78.0,2000-04-25,3.5625,3.6875,3.125,3.5,153400
79.0,2000-04-26,3.5,3.75,3.375,3.625,53200
80.0,2000-04-27,3.5625,4.0,3.5,3.875,108000
81.0,2000-04-28,4.0,4.25,4.0,4.1875,51300
82.0,2000-05-01,4.125,4.4375,4.0,4.4375,104900
83.0,2000-05-02,4.375,4.5,4.3125,4.3125,51400
84.0,2000-05-03,4.4375,4.4375,3.9375,4.0,34600
85.0,2000-05-04,4.0625,4.0625,3.8125,3.8125,71600
86.0,2000-05-05,3.8125,3.9375,3.5625,3.625,111400
87.0,2000-05-08,3.75,3.8125,3.5,3.625,120800
88.0,2000-05-09,3.625,3.75,3.625,3.6875,36200
89.0,2000-05-10,3.6875,3.75,3.625,3.6875,28000
90.0,2000-05-11,3.75,3.8125,3.625,3.8125,33800
91.0,2000-05-12,3.75,3.875,3.6875,3.8125,85400
92.0,2000-05-15,3.75,4.1875,3.75,4.0,56100
93.0,2000-05-16,4.0,4.0625,3.8125,3.9375,16600
94.0,2000-05-17,4.0,4.0,3.8125,3.9375,23300
95.0,2000-05-18,3.9375,3.9375,3.75,3.875,31000
96.0,2000-05-19,3.8125,3.875,3.6875,3.8125,64900
97.0,2000-05-22,3.8125,3.875,3.6875,3.8125,41900
98.0,2000-05-23,3.75,3.9375,3.75,3.75,50700
99.0,2000-05-24,3.75,3.75,3.625,3.625,21700
100.0,2000-05-25,3.5625,3.6875,3.5,3.6875,53000
101.0,2000-05-26,3.625,3.875,3.625,3.8125,41400
102.0,2000-05-30,3.875,4.125,3.75,4.0625,52200
103.0,2000-05-31,4.0625,4.4375,4.0,4.3125,80700
104.0,2000-06-01,4.375,4.875,4.3125,4.875,107700
105.0,2000-06-02,5.0,5.0,4.5,4.75,91300
106.0,2000-06-05,4.8125,4.875,4.75,4.8125,54100
107.0,2000-06-06,4.75,4.75,4.5625,4.625,50600
108.0,2000-06-07,4.625,4.625,4.5,4.5,28600
109.0,2000-06-08,4.5,4.625,4.5,4.5,33700
110.0,2000-06-09,4.5625,4.8125,4.1875,4.8125,34200
111.0,2000-06-12,4.8125,4.875,4.4375,4.5,70500
112.0,2000-06-13,4.4375,4.8125,4.375,4.8125,30100
113.0,2000-06-14,4.875,5.0,4.875,5.0,80700
114.0,2000-06-15,4.9375,5.0,4.875,4.875,86500
115.0,2000-06-16,4.9375,5.0,4.875,4.9375,45100
116.0,2000-06-19,4.9375,4.9375,4.75,4.9375,37900
117.0,2000-06-20,4.9375,4.9375,4.8125,4.8125,44700
118.0,2000-06-21,4.8125,4.9375,4.8125,4.875,24700
119.0,2000-06-22,4.875,4.9375,4.75,4.75,34400
120.0,2000-06-23,4.75,4.9375,4.625,4.625,49800
121.0,2000-06-26,4.625,4.6875,4.5625,4.5625,34300
122.0,2000-06-27,4.625,4.625,4.5,4.5,48500
123.0,2000-06-28,4.5,4.9375,4.5,4.8125,90400
124.0,2000-06-29,4.9375,4.9375,4.6875,4.875,64300
125.0,2000-06-30,4.8125,4.9375,4.5625,4.8125,243700
126.0,2000-07-03,4.8125,5.125,4.8125,5.0625,126600
127.0,2000-07-05,5.125,5.3125,5.0625,5.0625,201300
128.0,2000-07-06,5.0,5.125,4.625,5.0,205500
129.0,2000-07-07,5.125,5.3125,4.875,5.0,144800
130.0,2000-07-10,5.0,5.0,4.75,4.875,59400
131.0,2000-07-11,4.875,5.1875,4.875,5.0,61300
132.0,2000-07-12,5.0,5.0,4.875,5.0,36700
133.0,2000-07-13,5.0,5.1875,4.9375,5.0625,56500
134.0,2000-07-14,5.0625,5.1875,5.0,5.0,48700
135.0,2000-07-17,5.0625,5.1875,5.0,5.0625,55800
136.0,2000-07-18,5.0625,5.25,5.0625,5.1875,59000
137.0,2000-07-19,5.1875,5.625,5.1875,5.5,174500
138.0,2000-07-20,5.5,6.0,5.5,5.625,258900
139.0,2000-07-21,5.625,5.625,5.0625,5.25,434900
140.0,2000-07-24,5.375,5.625,5.1875,5.25,64500
141.0,2000-07-25,5.25,5.375,5.1875,5.25,80800
142.0,2000-07-26,5.375,5.375,5.1875,5.25,57200
143.0,2000-07-27,5.25,5.25,4.8125,4.875,98600
144.0,2000-07-28,4.875,4.875,4.625,4.6875,32200
145.0,2000-07-31,4.6875,4.6875,4.5,4.5625,75200
146.0,2000-08-01,4.5,4.625,4.5,4.5625,29100
147.0,2000-08-02,4.6875,4.875,4.6875,4.8125,41400
148.0,2000-08-03,4.8125,5.0,4.5625,5.0,97300
149.0,2000-08-04,5.0,5.0,4.875,5.0,49500
150.0,2000-08-07,5.125,5.25,5.0625,5.1875,46100
151.0,2000-08-08,5.25,6.0,5.25,6.0,189100
152.0,2000-08-09,6.0625,7.375,6.0,6.875,520900
153.0,2000-08-10,6.9375,7.375,6.8125,7.0,429500
154.0,2000-08-11,6.9375,7.3125,6.75,7.25,191600
155.0,2000-08-14,7.5625,8.25,7.25,7.8125,593200
156.0,2000-08-15,7.8125,8.0,7.1875,7.3125,220400
157.0,2000-08-16,7.125,7.5625,7.125,7.25,94300
158.0,2000-08-17,7.375,7.875,7.25,7.75,101700
159.0,2000-08-18,7.75,7.75,7.5,7.625,68300
160.0,2000-08-21,7.625,7.625,7.4375,7.5,79600
161.0,2000-08-22,7.5,7.5,7.125,7.25,111000
162.0,2000-08-23,7.25,7.3125,6.9375,6.9375,95300
163.0,2000-08-24,6.9375,7.75,6.9375,7.5,91500
164.0,2000-08-25,7.5,7.5,7.25,7.5,50800
165.0,2000-08-28,7.625,7.875,7.4375,7.875,100600
166.0,2000-08-29,7.9375,8.625,7.9375,8.625,181500
167.0,2000-08-30,8.625,8.75,8.125,8.5,87500
168.0,2000-08-31,8.5625,8.75,8.5,8.625,147200
169.0,2000-09-01,8.875,8.9375,8.25,8.25,75600
170.0,2000-09-05,8.25,8.6875,7.875,8.0,171600
171.0,2000-09-06,7.9375,7.9375,7.625,7.625,132600
172.0,2000-09-07,7.75,7.9375,7.5625,7.75,176000
173.0,2000-09-08,7.75,7.8125,7.6875,7.8125,77800
174.0,2000-09-11,7.8125,7.8125,7.625,7.625,45600
175.0,2000-09-12,7.6875,7.75,7.4375,7.6875,33300
176.0,2000-09-13,7.5,7.6875,7.4375,7.4375,61500
177.0,2000-09-14,7.4375,7.875,7.375,7.875,56900
178.0,2000-09-15,7.8125,7.8125,7.625,7.6875,43300
179.0,2000-09-18,7.6875,7.8125,7.5,7.6875,56400
180.0,2000-09-19,7.625,7.6875,7.4375,7.5,95200
181.0,2000-09-20,7.375,7.4062,7.3125,7.3125,42400
182.0,2000-09-21,7.3125,7.375,7.0,7.125,88000
183.0,2000-09-22,7.0625,7.1875,7.0,7.125,135800
184.0,2000-09-25,7.125,7.9375,7.125,7.9375,189600
185.0,2000-09-26,7.875,8.5,7.5,8.125,231400
186.0,2000-09-27,8.0625,8.125,7.875,7.9375,33800
187.0,2000-09-28,7.8125,8.3125,7.625,8.0,41500
188.0,2000-09-29,8.0,8.3125,8.0,8.1875,41200
189.0,2000-10-02,8.125,8.1875,7.875,7.9375,46600
190.0,2000-10-03,8.0,8.0,7.75,7.875,46000
191.0,2000-10-04,7.6875,7.75,7.625,7.6875,36700
192.0,2000-10-05,7.75,7.75,7.625,7.6875,24300
193.0,2000-10-06,7.625,7.625,7.4375,7.4375,29800
194.0,2000-10-09,7.375,7.375,7.0625,7.3125,31100
195.0,2000-10-10,7.1875,7.3438,7.125,7.125,31600
196.0,2000-10-11,7.0,7.0,6.25,6.5,76000
197.0,2000-10-12,6.5,6.625,6.125,6.125,62800
198.0,2000-10-13,6.375,6.4375,6.1875,6.3125,64400
199.0,2000-10-16,6.3125,6.3125,6.0625,6.25,26500
200.0,2000-10-17,6.25,6.375,6.0,6.1875,31100
201.0,2000-10-18,6.125,6.25,6.0625,6.25,48500
202.0,2000-10-19,6.125,6.75,6.125,6.5,206100
203.0,2000-10-20,6.5,6.75,6.5,6.5,70900
204.0,2000-10-23,6.375,6.5,6.25,6.5,20200
205.0,2000-10-24,6.4375,6.5625,6.375,6.5625,39800
206.0,2000-10-25,6.4375,6.5625,6.375,6.375,27900
207.0,2000-10-26,6.375,6.625,6.375,6.625,55100
208.0,2000-10-27,6.625,7.0,6.5,6.6875,32100
209.0,2000-10-30,6.75,7.0,6.75,6.875,10400
210.0,2000-10-31,6.75,7.5,6.75,7.4375,35900
211.0,2000-11-01,7.3125,7.3125,7.0625,7.0625,16700
212.0,2000-11-02,7.125,7.1875,6.875,7.1875,56200
213.0,2000-11-03,7.125,7.125,6.875,6.9375,17400
214.0,2000-11-06,6.625,6.75,6.5625,6.5625,34300
215.0,2000-11-07,6.6875,6.8125,6.6875,6.6875,34900
216.0,2000-11-08,6.8125,6.8125,6.625,6.625,19300
217.0,2000-11-09,6.5625,6.625,6.5625,6.5625,3400
218.0,2000-11-10,6.5,6.5625,6.5,6.5,54700
219.0,2000-11-13,6.4375,6.625,6.3125,6.625,25400
220.0,2000-11-14,6.5625,6.625,6.5625,6.625,12800
221.0,2000-11-15,6.6875,6.8125,6.625,6.8125,98500
222.0,2000-11-16,6.875,6.875,6.6875,6.8125,16900
223.0,2000-11-17,6.9375,7.0625,6.75,6.9375,38700
224.0,2000-11-20,6.9375,7.1875,6.9375,7.1875,123600
225.0,2000-11-21,7.0625,7.1875,7.0625,7.125,19700
226.0,2000-11-22,7.0,7.125,6.9375,6.9375,25100
227.0,2000-11-24,6.8125,7.0,6.8125,6.875,18300
228.0,2000-11-27,7.0625,7.375,7.0,7.3125,34900
229.0,2000-11-28,7.375,7.375,7.25,7.25,72300
230.0,2000-11-29,7.25,7.25,6.875,6.9375,34600
231.0,2000-11-30,6.875,6.9375,6.625,6.9375,50300
232.0,2000-12-01,6.8125,6.8125,6.5625,6.625,20000
233.0,2000-12-04,6.625,6.75,6.5625,6.625,73400
234.0,2000-12-05,6.875,6.9375,6.8125,6.8125,47100
235.0,2000-12-06,6.875,6.875,6.75,6.875,13900
236.0,2000-12-07,6.75,6.75,6.6875,6.6875,25600
237.0,2000-12-08,6.6875,6.75,6.625,6.6875,40600
238.0,2000-12-11,6.75,7.125,6.6875,7.0625,18900
239.0,2000-12-12,7.125,7.25,7.0,7.125,28300
240.0,2000-12-13,7.0,7.0625,6.75,6.75,24900
241.0,2000-12-14,6.8125,6.9375,6.75,6.875,57000
242.0,2000-12-15,6.875,6.9375,6.75,6.8125,11200
243.0,2000-12-18,6.875,7.0625,6.75,7.0,47100
244.0,2000-12-19,6.875,7.4375,6.8125,7.125,54900
245.0,2000-12-20,7.25,7.25,6.8125,6.8125,27400
246.0,2000-12-21,6.9375,6.9375,6.6875,6.6875,55500
247.0,2000-12-22,6.8125,6.9375,6.75,6.8125,30400
248.0,2000-12-26,6.875,6.9375,6.6875,6.6875,93100
249.0,2000-12-27,6.75,6.875,6.6875,6.8125,50700
250.0,2000-12-28,6.6875,6.9375,6.6875,6.75,49300
251.0,2000-12-29,6.75,7.0,6.5625,6.75,72100
252.0,2001-01-02,6.875,6.875,6.8125,6.875,44800
253.0,2001-01-03,6.75,6.9375,6.6875,6.8125,19300
254.0,2001-01-04,6.8125,7.0,6.8125,7.0,43200
255.0,2001-01-05,6.875,7.0625,6.875,7.0625,10000
256.0,2001-01-08,7.0625,7.0625,7.0,7.0625,17600
257.0,2001-01-09,7.0625,7.75,6.9375,7.5625,110600
258.0,2001-01-10,7.625,7.9375,7.5,7.9375,99600
259.0,2001-01-11,8.0,8.3125,8.0,8.3125,103800
260.0,2001-01-12,8.375,9.5625,8.375,9.4375,306700
261.0,2001-01-16,9.5625,9.875,9.5625,9.75,265600
262.0,2001-01-17,9.625,9.875,9.3125,9.8125,95200
263.0,2001-01-18,9.875,10.5625,9.8125,10.4375,264600
264.0,2001-01-19,10.4375,10.5,9.625,9.875,80300
265.0,2001-01-22,9.875,10.0,9.75,10.0,66700
266.0,2001-01-23,10.0,10.1875,9.6875,10.125,86600
267.0,2001-01-24,10.125,10.125,9.5625,9.625,65700
268.0,2001-01-25,9.1875,9.9375,9.1875,9.8125,71700
269.0,2001-01-26,9.6875,9.75,9.5,9.5,140500
270.0,2001-01-29,9.5,9.67,9.31,9.5,132700
271.0,2001-01-30,9.6,9.74,9.5,9.73,101700
272.0,2001-01-31,9.75,10.22,9.75,10.08,206800
273.0,2001-02-01,10.11,10.49,10.11,10.31,106900
274.0,2001-02-02,10.31,10.62,10.31,10.51,114800
275.0,2001-02-05,10.46,10.46,10.14,10.14,92900
276.0,2001-02-06,10.24,10.3,10.0,10.05,48500
277.0,2001-02-07,10.1,10.1,9.77,9.8,45100
278.0,2001-02-08,9.8,9.8,9.25,9.47,61800
279.0,2001-02-09,9.4,9.5,9.1,9.3,62700
280.0,2001-02-12,9.25,9.3,9.1,9.2,53700
281.0,2001-02-13,9.24,9.5,9.15,9.44,67700
282.0,2001-02-14,9.45,9.73,9.45,9.71,30900
283.0,2001-02-15,9.75,9.75,9.59,9.75,11600
284.0,2001-02-16,9.7,9.87,9.55,9.85,56100
285.0,2001-02-20,9.75,9.75,9.4,9.49,26000
286.0,2001-02-21,9.45,9.45,9.15,9.3,27800
287.0,2001-02-22,9.25,9.25,8.65,8.88,68100
288.0,2001-02-23,8.84,8.95,8.51,8.95,44600
289.0,2001-02-26,9.05,9.35,9.0,9.1,96300
290.0,2001-02-27,9.1,9.15,8.9,9.0,28900
291.0,2001-02-28,9.09,9.1,8.65,8.65,55400
292.0,2001-03-01,8.5,8.94,8.25,8.62,69800
293.0,2001-03-02,8.6,8.89,8.29,8.45,31900
294.0,2001-03-05,8.5,8.98,8.5,8.76,40200
295.0,2001-03-06,8.8,9.2,8.8,9.08,43700
296.0,2001-03-07,9.09,9.35,9.06,9.32,64700
