Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-03,2.38,3.88,2.25,3.69,2740000
1.0,2000-01-04,3.56,3.63,2.69,2.88,1861800
2.0,2000-01-05,2.94,3.0,2.75,2.88,640200
3.0,2000-01-06,2.94,2.94,2.69,2.81,341100
4.0,2000-01-07,2.88,2.94,2.75,2.81,237600
5.0,2000-01-10,2.88,2.88,2.56,2.75,249800
6.0,2000-01-11,2.75,2.81,2.63,2.63,261500
7.0,2000-01-12,2.75,2.75,2.56,2.63,159400
8.0,2000-01-13,2.63,2.69,2.56,2.56,85500
9.0,2000-01-14,2.56,2.63,2.5,2.56,200400
10.0,2000-01-18,2.63,2.63,2.38,2.44,149300
11.0,2000-01-19,2.38,2.44,2.25,2.38,111400
12.0,2000-01-20,2.25,2.25,2.0,2.19,291300
13.0,2000-01-21,2.25,2.38,2.19,2.38,130300
14.0,2000-01-24,2.44,2.44,2.31,2.31,86000
15.0,2000-01-25,2.38,2.5,2.38,2.38,62100
16.0,2000-01-26,2.44,2.56,2.38,2.56,91300
17.0,2000-01-27,2.56,2.56,2.38,2.5,53200
18.0,2000-01-28,2.5,2.5,2.31,2.31,47900
19.0,2000-01-31,2.31,2.38,2.19,2.19,87400
20.0,2000-02-01,2.25,2.25,2.13,2.25,138200
21.0,2000-02-02,2.19,2.31,2.19,2.19,164600
22.0,2000-02-03,2.19,2.25,2.13,2.13,111600
23.0,2000-02-04,2.19,2.31,2.13,2.25,198600
24.0,2000-02-07,2.31,2.5,2.31,2.5,105300
25.0,2000-02-08,2.63,2.69,2.44,2.5,114700
26.0,2000-02-09,2.5,2.63,2.5,2.56,88100
27.0,2000-02-10,2.5,2.5,2.06,2.13,344200
28.0,2000-02-11,2.13,2.25,2.06,2.19,98400
29.0,2000-02-14,2.13,2.25,2.13,2.13,71200
30.0,2000-02-15,2.19,2.19,2.06,2.06,78700
31.0,2000-02-16,2.06,2.13,2.0,2.06,254900
32.0,2000-02-17,2.0,2.13,2.0,2.06,119300
33.0,2000-02-18,2.13,2.19,2.0,2.13,130100
34.0,2000-02-22,2.13,2.38,2.06,2.31,139600
35.0,2000-02-23,2.19,2.31,2.13,2.19,163000
36.0,2000-02-24,2.25,2.31,2.13,2.31,43300
37.0,2000-02-25,2.25,2.31,2.19,2.25,139500
38.0,2000-02-28,2.25,2.31,2.13,2.25,63200
39.0,2000-02-29,2.31,2.38,2.25,2.25,79900
40.0,2000-03-01,2.19,2.38,2.19,2.38,90100
41.0,2000-03-02,2.5,2.5,2.19,2.25,109600
42.0,2000-03-03,2.31,2.63,2.19,2.31,159900
43.0,2000-03-06,2.25,2.38,2.25,2.25,47000
44.0,2000-03-07,2.25,2.44,2.19,2.19,43900
45.0,2000-03-08,2.25,2.25,2.19,2.19,77000
46.0,2000-03-09,2.19,2.25,2.0,2.06,109100
47.0,2000-03-10,2.06,2.25,1.94,2.19,215600
48.0,2000-03-13,2.13,2.38,2.06,2.06,113200
49.0,2000-03-14,2.13,2.25,2.06,2.06,134600
50.0,2000-03-15,2.13,2.19,1.94,2.13,171300
51.0,2000-03-16,2.13,2.31,2.13,2.31,136800
52.0,2000-03-17,2.25,2.31,2.13,2.19,224900
53.0,2000-03-20,2.13,2.25,2.13,2.25,91100
54.0,2000-03-21,2.25,2.31,2.19,2.25,193900
55.0,2000-03-22,2.25,2.31,2.19,2.25,190200
56.0,2000-03-23,2.25,2.31,2.13,2.31,109500
57.0,2000-03-24,2.25,2.31,2.19,2.19,46100
58.0,2000-03-27,2.25,2.25,2.13,2.19,84600
59.0,2000-03-28,2.19,2.19,2.06,2.13,208100
60.0,2000-03-29,2.13,2.13,2.06,2.13,59200
61.0,2000-03-30,2.13,2.19,2.06,2.13,68300
62.0,2000-03-31,2.13,2.44,2.13,2.31,310100
63.0,2000-04-03,2.31,2.5,2.25,2.5,123500
64.0,2000-04-04,2.44,2.56,2.31,2.31,77500
65.0,2000-04-05,2.38,2.44,2.31,2.31,39000
66.0,2000-04-06,2.38,2.5,2.38,2.38,39100
67.0,2000-04-07,2.44,2.56,2.38,2.44,27900
68.0,2000-04-10,2.5,2.56,2.38,2.44,48300
69.0,2000-04-11,2.44,2.44,2.31,2.31,38600
70.0,2000-04-12,2.38,2.56,2.25,2.38,108800
71.0,2000-04-13,2.38,2.38,2.25,2.25,38300
72.0,2000-04-14,2.31,2.31,2.13,2.25,127500
73.0,2000-04-17,2.31,2.31,2.13,2.13,68100
74.0,2000-04-18,2.13,2.25,2.13,2.19,75500
75.0,2000-04-19,2.13,2.19,2.06,2.06,40500
76.0,2000-04-20,2.13,2.25,2.13,2.13,66700
77.0,2000-04-24,2.19,2.25,2.06,2.13,63300
78.0,2000-04-25,2.13,2.13,2.06,2.13,55000
79.0,2000-04-26,2.06,2.69,2.06,2.69,256100
80.0,2000-04-27,2.63,2.69,2.38,2.69,153900
81.0,2000-04-28,2.63,2.75,2.5,2.75,215700
82.0,2000-05-01,2.75,2.88,2.56,2.56,133900
83.0,2000-05-02,2.63,2.63,2.38,2.38,71600
84.0,2000-05-03,2.5,2.5,2.31,2.44,115900
85.0,2000-05-04,2.38,2.44,2.19,2.31,123600
86.0,2000-05-05,2.25,2.38,2.13,2.19,187700
87.0,2000-05-08,2.13,2.31,2.13,2.19,34000
88.0,2000-05-09,2.19,2.25,2.19,2.25,13400
89.0,2000-05-10,2.19,2.19,2.13,2.13,25800
90.0,2000-05-11,2.13,2.19,2.13,2.19,17800
91.0,2000-05-12,2.13,2.38,2.13,2.38,149600
92.0,2000-05-15,2.44,2.44,2.31,2.38,37300
93.0,2000-05-16,2.38,2.38,2.31,2.31,10700
94.0,2000-05-17,2.31,2.38,2.19,2.25,44300
95.0,2000-05-18,2.25,2.31,2.19,2.19,55000
96.0,2000-05-19,2.13,2.25,2.06,2.06,40700
97.0,2000-05-22,2.06,2.31,1.94,2.31,132300
98.0,2000-05-23,2.38,2.56,2.31,2.5,195900
99.0,2000-05-24,2.5,2.56,2.38,2.5,233100
100.0,2000-05-25,2.5,2.63,2.44,2.44,128800
101.0,2000-05-26,2.44,2.5,2.25,2.38,77700
102.0,2000-05-30,2.31,2.31,2.06,2.13,99900
103.0,2000-05-31,2.13,2.19,2.06,2.06,53700
104.0,2000-06-01,2.06,2.13,1.5,1.81,419100
105.0,2000-06-02,1.88,1.88,1.75,1.75,129800
106.0,2000-06-05,1.88,1.88,1.69,1.75,181400
107.0,2000-06-06,1.88,1.88,1.75,1.81,66900
108.0,2000-06-07,1.81,1.81,1.75,1.75,23300
109.0,2000-06-08,1.75,1.75,1.56,1.63,94800
110.0,2000-06-09,1.63,1.75,1.31,1.44,366000
