Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2010-06-29,1.2667,1.6667,1.1693,1.5927,281494500
1.0,2010-06-30,1.7193,2.028,1.5533,1.5887,257806500
2.0,2010-07-01,1.6667,1.728,1.3513,1.464,123282000
3.0,2010-07-02,1.5333,1.54,1.2473,1.28,77097000
4.0,2010-07-06,1.3333,1.3333,1.0553,1.074,103003500
5.0,2010-07-07,1.0933,1.1087,0.9987,1.0533,103825500
6.0,2010-07-08,1.076,1.168,1.038,1.164,115671000
7.0,2010-07-09,1.172,1.1933,1.1033,1.16,60759000
8.0,2010-07-12,1.1967,1.2047,1.1333,1.1367,33037500
9.0,2010-07-13,1.1593,1.2427,1.1267,1.2093,40201500
10.0,2010-07-14,1.196,1.3433,1.184,1.3227,62928000
11.0,2010-07-15,1.3293,1.4333,1.2667,1.326,56097000
12.0,2010-07-16,1.38,1.42,1.3367,1.376,39319500
13.0,2010-07-19,1.4247,1.4833,1.3947,1.4607,37297500
14.0,2010-07-20,1.4567,1.4567,1.3367,1.3533,27379500
15.0,2010-07-21,1.3773,1.3933,1.3,1.348,18787500
16.0,2010-07-22,1.3667,1.4167,1.358,1.4,14367000
17.0,2010-07-23,1.4127,1.4373,1.404,1.4193,9804000
18.0,2010-07-26,1.4333,1.4333,1.3533,1.3967,13833000
19.0,2010-07-27,1.394,1.412,1.3507,1.37,9295500
20.0,2010-07-28,1.37,1.3933,1.3673,1.3813,7008000
21.0,2010-07-29,1.3847,1.392,1.3333,1.3567,9240000
22.0,2010-07-30,1.3467,1.3627,1.3033,1.3293,6403500
23.0,2010-08-02,1.3667,1.398,1.3553,1.3947,10771500
24.0,2010-08-03,1.4,1.4633,1.388,1.4633,18457500
25.0,2010-08-04,1.4633,1.4787,1.39,1.4173,13695000
26.0,2010-08-05,1.436,1.4367,1.3367,1.3633,11943000
27.0,2010-08-06,1.34,1.344,1.3013,1.306,11128500
28.0,2010-08-09,1.3267,1.332,1.2967,1.3067,12190500
29.0,2010-08-10,1.31,1.31,1.2547,1.2687,19219500
30.0,2010-08-11,1.246,1.2587,1.19,1.1933,11964000
31.0,2010-08-12,1.1867,1.1933,1.1593,1.1733,10365000
32.0,2010-08-13,1.212,1.23,1.1773,1.2213,9510000
33.0,2010-08-16,1.23,1.2533,1.2173,1.252,7287000
34.0,2010-08-17,1.264,1.2933,1.252,1.2767,6718500
35.0,2010-08-18,1.306,1.306,1.24,1.2513,9019500
36.0,2010-08-19,1.236,1.2833,1.222,1.2527,8686500
37.0,2010-08-20,1.2433,1.274,1.234,1.2733,4440000
38.0,2010-08-23,1.2727,1.3593,1.2667,1.342,16321500
39.0,2010-08-24,1.2833,1.314,1.2633,1.28,10096500
40.0,2010-08-25,1.2773,1.332,1.2373,1.3267,7549500
41.0,2010-08-26,1.326,1.3513,1.3067,1.3167,6507000
42.0,2010-08-27,1.3167,1.3247,1.3,1.3133,5694000
43.0,2010-08-30,1.3133,1.346,1.3073,1.3247,10992000
44.0,2010-08-31,1.3107,1.3193,1.2887,1.2987,3016500
45.0,2010-09-01,1.308,1.3793,1.3067,1.3633,7423500
46.0,2010-09-02,1.358,1.416,1.354,1.404,7306500
47.0,2010-09-03,1.3913,1.42,1.3773,1.4033,6519000
48.0,2010-09-07,1.374,1.4,1.3667,1.3693,3651000
49.0,2010-09-08,1.3773,1.3967,1.3733,1.3933,4326000
50.0,2010-09-09,1.4,1.4033,1.3793,1.3807,5643000
51.0,2010-09-10,1.3833,1.3953,1.3173,1.3447,5799000
52.0,2010-09-13,1.3927,1.3933,1.3667,1.3813,5412000
53.0,2010-09-14,1.3693,1.44,1.3687,1.408,9820500
54.0,2010-09-15,1.3987,1.4667,1.386,1.4653,10269000
55.0,2010-09-16,1.4767,1.544,1.3893,1.396,40267500
56.0,2010-09-17,1.4013,1.4213,1.32,1.3487,17977500
57.0,2010-09-20,1.378,1.4233,1.344,1.404,14212500
58.0,2010-09-21,1.3927,1.4367,1.378,1.3847,11940000
59.0,2010-09-22,1.3913,1.3967,1.32,1.3247,14443500
60.0,2010-09-23,1.326,1.3427,1.3,1.304,10021500
61.0,2010-09-24,1.33,1.346,1.31,1.34,8683500
62.0,2010-09-27,1.36,1.3873,1.3367,1.3687,6279000
63.0,2010-09-28,1.4027,1.4327,1.384,1.4267,18217500
64.0,2010-09-29,1.4127,1.4687,1.4087,1.4653,29539500
